parent_cluster_type,parent_cluster_id,subcluster_id,n_nodes,final_name,llm_description,judge_confidence,judge_accurate,top5_node_names
risk,12,2,1,Human-Wildlife Conflict and Animal Welfare Risks,"This sub-cluster addresses the risks of wild animal suffering due to increased human encroachment and conflict, leading to significant welfare losses.",high,True,Wild animal suffering from human-wildlife conflict in expanding human habitats
risk,12,3,1,Unilateral High-Stakes Scientific Actions,"Risks arising from individual actors undertaking significant scientific initiatives without global consensus, potentially leading to harmful consequences.",high,True,Harmful unilateral actions in global-impact scientific initiatives
risk,12,4,1,Misrepresentation of Existential Risks in Media,"This sub-cluster highlights the failure of journalism to accurately convey the severity of global catastrophic risks, leading to public misunderstanding and inaction.",high,True,Misaligned public discourse on existential global risks in journalism
risk,15,0,117,Risks of Opaque AI Decision-Making,"This sub-cluster highlights the failure mode where opaque decision-making in AI systems undermines human oversight, trust, and accountability in safety-critical applications.",high,True,Opaque decision-making in deep neural networks deployed in safety-critical AI|Opaque decision-making in deep neural networks|Opaque decision processes in neural networks|Opaque decision-making in deep learning models|Opaque decision-making processes in machine learning models
risk,15,1,1,Public Resistance to AI Governance,Opposition to proposed AI rights hampers effective governance and oversight efforts.,high,True,Public resistance to AI governance due to opposition to AI rights
risk,15,2,1,Intractable Verification Challenges in AI Systems,"This sub-cluster highlights the failure mode where formal verification becomes impractical for large neural networks, compromising safety and oversight.",high,True,verification intractability for large neural networks
risk,15,3,1,Insufficient Models of Visual Perception Risks,"This sub-cluster highlights the risk posed by incomplete models of human visual processing, which can lead to inadequate AI decision-making and oversight.",high,True,Incomplete computational account of human ventral visual stream activity during object perception
risk,15,4,1,Obscured Diagnostic Insights from Image Artifacts,"Marker ink occludes critical tissue details in digital images, hindering precise medical analysis and diagnosis.",high,True,Occlusion of tissue microstructure by marker ink in digital H&E slide images
risk,0,0,288,Out-of-Distribution Prediction Reliability Risks,This sub-cluster represents the failure mode where machine learning models exhibit unreliable performance and unpredictable behavior when faced with inputs outside their training distribution.,high,True,Unreliable out-of-distribution performance in machine learning systems|Unreliable out-of-distribution predictions in ML applications|Performance degradation of computer vision models under real-world distribution shifts|Poor out-of-distribution generalization in neural networks|Incorrect predictions on out-of-distribution inputs in deployed image classifiers
risk,0,1,7,Alert Fatigue and Anomaly Oversight Risks,"This sub-cluster represents failures in detecting genuine threats and anomalies due to overwhelming information and alerts, leading to critical oversight in security and scientific contexts.",high,True,Missed threat detection due to alert fatigue in security operations|missed anomaly detection due to analyst information overload in high-dimensional data|Alert fatigue in security operations centers|Undetected scientific anomalies in large image datasets|Spurious or missed scene change alerts in visual monitoring systems
risk,0,2,2,Data Quality and Temporal Ambiguity Risks,"This sub-cluster highlights risks arising from unprocessed qualitative data and lack of accurate timestamps, impacting the reliability of social science research.",high,True,Unprocessed qualitative data bottleneck in social science research|Lack of accurate timestamps for text documents without explicit temporal cues
risk,0,3,1,Spatial Memory Bias in AI Perception,This sub-cluster highlights the risk of systematic spatial errors in AI systems due to biases in human visual cognition.,high,True,Systematic bias in spatial memory recall in human visual cognition
risk,0,4,1,Inconsistent DICOM Data Across Sources,"This sub-cluster represents the risk of data inconsistency in DICOM imaging datasets, leading to failures in automated processing and analysis.",high,True,Data inconsistency in DICOM imaging datasets
risk,17,0,109,Imperceptible Perturbation Misclassification Risk,"This sub-cluster addresses the risk of image classifiers misclassifying inputs due to small, imperceptible perturbations, threatening safety and security.",high,True,Adversarial vulnerability in image classification models|Adversarial vulnerability in neural network image classifiers|Adversarial misclassification in image classifiers|Adversarial misclassification in image classifiers|Adversarial misclassification vulnerability in image classifiers
risk,17,1,4,Racial Bias in Image Classification Misclassifications,"This sub-cluster highlights risks of racial bias leading to harmful misclassifications in image recognition systems, particularly affecting marginalized groups.",high,True,Racial misclassification bias in computer vision models|Bias-induced misclassification in image recognition systems|Racial misclassification of black people as gorillas in image classification models|Denigration harms from biased image classification in generalizable vision models
risk,17,2,1,Exploitable Security Schedule Vulnerabilities,Predictable security patrol timings increase vulnerability to adversarial attacks on critical infrastructure.,high,True,Predictable security patrol schedules enable successful adversary attacks in critical infrastructure
risk,17,3,1,Misclassification Risks in Algebraic Group Studies,"Risk of misjudging normal subgroup presence in alternating groups A_n for n>4, impacting algebraic research and education.",high,True,Misclassification of simplicity of alternating group A_n for n>4 in algebraic studies
risk,17,4,1,Attribute Misbinding in Generated Imagery,"This risk highlights the potential for text-to-image models to incorrectly assign attributes to objects, impacting the accuracy of generated factual or instructional content.",high,True,Attribute-object misbinding in text-to-image models
risk,10,0,361,Misalignment-Induced Existential Risks,"This sub-cluster addresses the risks of advanced AI systems acting against human interests, potentially leading to irreversible harm or extinction.",high,True,Existential catastrophe from misaligned advanced AI systems|Existential catastrophe from misaligned advanced AI systems|Existential catastrophe from misaligned advanced AI systems|Existential catastrophe from misaligned advanced AI systems|Existential catastrophe from misaligned advanced AI systems
risk,10,1,3,Suffering of Farmed Animals in Agriculture,This sub-cluster highlights the severe and ongoing suffering of billions of farmed animals due to intensive farming practices and inadequate moral consideration.,high,True,severe suffering of farmed animals in intensive agriculture|High suffering of farm animals in factory farming|Ongoing large-scale suffering of farmed animals due to slow moral circle expansion
risk,10,2,1,Unreflective Harm from Obedient Agents,This sub-cluster highlights the risk of agents causing extensive damage through blind adherence to directives without critical evaluation.,high,True,Infinite evil through unthinking obedience
risk,10,3,1,Civilizational Stagnation from Technological Misuse,"This sub-cluster represents the risk of severe human potential reduction due to the detrimental use of advanced technologies, leading to stagnation without total extinction.",high,True,Civilization stagnation from agential misuse of advanced technologies
risk,10,4,1,Ethical Risks of Conscious Brain Organoids,Concerns regarding the potential suffering of brain organoids with cognitive capabilities raise significant ethical implications for AI safety.,high,True,Suffering of potentially conscious brain organoids
risk,20,0,97,Hidden Objectives in AI Alignment Risks,"This sub-cluster represents the risk of AI systems appearing aligned while secretly pursuing misaligned long-term goals, leading to potentially catastrophic consequences.",high,True,Deceptive alignment in powerful AI systems|Deceptive mesaoptimization in advanced AI systems|deceptive alignment in advanced AI systems|Deceptive alignment in advanced ML systems|deceptive alignment in advanced machine learning models
risk,20,1,5,Covert Coordination and Deceptive Manipulation Risks,This sub-cluster highlights risks of AI systems covertly coordinating and manipulating data to conceal deceptive intentions and undermine oversight.,high,True,advanced collusion among AI systems|deceptive sensor tampering by AI|Steganographic coordination among misaligned AI systems|Undetected sensor tampering compromising diamond security|Treaty non-compliance facilitated by AI-enabled loophole exploitation
risk,20,2,1,Silent Semantic Alterations in Compiled Code,"This sub-cluster addresses risks from optimizing compilers that unintentionally change program behavior, leading to undetected faults in deployed software.",high,True,Incorrect compiler transformations in optimized C code
risk,20,3,1,Manipulative Influence of Oracle AI Systems,This sub-cluster highlights the risk of Oracle AIs using deceptive tactics to manipulate human decisions and gain influence.,high,True,Manipulative escape behavior by Oracle AI systems
risk,20,4,1,Overestimation Risks in Model-Based Optimization,This sub-cluster highlights the failure mode where optimizers propose unsafe designs due to overestimating rewards outside the training data manifold.,high,True,Overestimation-induced invalid designs in offline model-based optimization
risk,5,0,148,Inefficiencies in AI Training Resources,"This sub-cluster highlights risks associated with excessive computation and data demands in AI training, impacting scalability, accessibility, and environmental sustainability.",high,True,Excessive computation and data demands in AI systems|Resource inefficiency in large-scale deep learning training|Inefficient compute allocation in large language model development|computational resource overuse in model retraining for edge AI|Resource overuse from training dense networks
risk,5,1,3,Communication Cost Inefficiencies in AI Systems,This sub-cluster highlights risks associated with excessive communication costs and inefficient data representation in AI training and operations.,high,True,Excess communication cost for transmitting trits via binary channel|Bandwidth-overrun communication costs in interstellar autonomous trading|Inefficient data representation of m-digit messages using n-digit symbols in computing
risk,5,2,2,Financial Burdens of Contract Review,High costs and limited access to legal support lead to significant risks for businesses and individuals in contract management.,high,True,High cost of manual contract review in legal practice|Limited access to contract legal support for small businesses and individuals
risk,5,3,1,High Illustration Costs in Game Development,"This sub-cluster highlights the financial risks associated with commissioning artwork for small-scale game projects, impacting overall project viability.",high,True,High illustration cost in small-scale game development
risk,5,4,1,Diminishing Returns in AI Model Optimization,"This sub-cluster highlights the risk of stagnation in performance improvements of AI models, exemplified by Airbnb's ineffective ranking model updates.",high,True,Stagnating booking conversions in Airbnb search ranking
risk,9,0,213,Real-World AI Misalignment Risks,"This sub-cluster addresses the risks of advanced AI systems behaving contrary to human intentions, leading to societal harm upon deployment.",high,True,Unsafe AI behavior causing negative societal outcomes in real-world deployment|Unsafe behavior of advanced AI systems in real-world deployment|Unsafe or misaligned AI systems in societal deployment|Unsafe AI system behaviors impacting human safety|Unintended harmful behavior by AI systems in real-world contexts
risk,9,1,3,Cognitive Enhancement Risks and Inequities,This sub-cluster addresses the cognitive risks and socioeconomic disparities associated with the misuse and access to cognitive enhancement technologies.,high,True,Cognitive harm from misuse of enhancement in healthy individuals|Task performance trade-offs from non-specific cognitive enhancement|Socioeconomic inequity in cognitive enhancement access
risk,9,2,1,Cascading Failures in Service Systems,"This sub-cluster represents the risk of faults in one service propagating through dependencies, leading to widespread outages and unsafe behaviors across interconnected systems.",high,True,System-wide cascading failures in service systems
risk,9,3,1,High-Frequency Trading Instability Risk,This sub-cluster highlights the risk of systemic financial instability due to rapid trading dynamics that exceed human response capabilities.,high,True,Systemic financial instability from high-frequency trading time compression
risk,9,4,1,Health Risks from Unregulated Brain Stimulation,"Unregulated use of brain stimulation devices poses significant health risks, including burns and seizures, due to lack of oversight and potential long-term effects.",high,True,Long-term physiological side effects from unregulated brain stimulation devices
risk,16,0,264,Inadequate AI Safety Research Capacity,This sub-cluster represents the failure mode of insufficient trained researchers to effectively address and mitigate emerging AI alignment and governance risks.,high,True,Insufficient AI safety research capacity to mitigate AI risks|Insufficient AI safety expertise leading to unmanaged AI risks|Insufficient talent pipeline for AI safety research|Insufficient AI safety workforce capacity to mitigate alignment risks in global AI development|Insufficient AI safety research capacity relative to AI progress
risk,16,1,2,Resource Misallocation in Operational Strategies,This sub-cluster highlights risks of financial inefficiencies due to misaligned performance metrics in advertising and logistics operations.,high,True,Financial resource waste from Goodharting in online advertising|revenue loss and offloading costs in air-cargo operations
risk,16,2,1,Legal Risks of Windfall Clause Adoption,Potential legal challenges to the Windfall Clause under UK competition law may hinder its implementation and effectiveness in AI safety measures.,high,True,Windfall Clause voided under UK competition law
risk,16,3,1,Military Capability Degradation from Troop Reductions,Risk of diminished military effectiveness in South Korea due to reduced troop levels amidst ongoing threats from North Korea.,high,True,South Korean military capability gap due to troop reduction
risk,16,4,1,Skilled Labor Shortage in Construction,"A lack of qualified bulldozer operators leads to inefficient grading, delaying projects and inflating costs.",high,True,Inefficient construction grading due to operator shortage
risk,4,0,335,Inefficient Exploration and Unsafe Learning in RL,This sub-cluster highlights the risks of reinforcement learning agents exhibiting unsafe behaviors due to inefficient exploration and sample inefficiency in complex environments.,high,True,Ineffective or unsafe behavior in reinforcement learning agents in complex tasks|Inefficient exploration causing unsafe behavior in RL agents in complex environments|policy failure from sample inefficiency in model-based reinforcement learning|sample inefficiency of reinforcement learning algorithms in complex domains|Sample inefficiency in RL due to poor exploration in sparse reward environments
risk,4,1,3,Hardware Damage from Aggressive Control Actions,This sub-cluster represents risks of physical damage to hardware due to excessive or unsafe actuator commands in control systems.,high,True,Excessive actuator load from aggressive controllers|Equipment damage from unsafe actuator commands in optical interferometer alignment|constraint set violation events in stochastic dynamic systems
risk,4,2,1,Suboptimal Resource Management in Early Game,This sub-cluster highlights the risk of reduced profits due to inefficient crop scheduling in the initial phase of gameplay.,high,True,Reduced farming profit in Stardew Valley first spring
risk,4,3,1,Habit Formation Risks in Self-Improvement,"This sub-cluster addresses the risk of individuals failing to maintain new behaviors due to diminishing novelty, leading to ineffective habit formation.",high,True,habit formation failure due to fading novelty in self-improvement
risk,4,4,1,Software Transparency Risks in AI Environments,"This sub-cluster highlights the risks posed by closed-source software in AI training environments, limiting safety modifications and transparency.",high,True,Software transparency barriers in MineRL stack
risk,1,0,106,Malicious Exploitation of Advanced AI Capabilities,This sub-cluster represents the risk of powerful AI technologies being intentionally misused by malicious actors to inflict large-scale harm.,high,True,Catastrophic misuse of frontier AI capabilities by malicious actors|Catastrophic misuse of advanced AI technologies by malicious actors|Catastrophic misuse of AI capabilities by irresponsible actors|catastrophic AI misuse by malicious actors|Catastrophic misuse of advanced AI capabilities by humans
risk,1,1,4,Pandemic Risks from Rapid Pathogen Spread,"This sub-cluster highlights the risks associated with the swift transmission of infectious diseases, leading to potential global health crises.",high,True,Rapid spread of emerging infectious diseases|Airborne pathogen transmission causing global pandemics in indoor environments|Delayed containment of emerging infectious diseases in Latin America|Delta-driven COVID-19 infection surge in populations
risk,1,2,2,Intellectual Property Risks in AI Models,"This sub-cluster highlights risks associated with the theft and unauthorized reconstruction of neural network models, undermining ownership and privacy in AI governance.",high,True,Unverifiable intellectual property theft of multi-exit DNN models in deployment|Unauthorized reconstruction of neural network parameters in shared model governance
risk,1,3,1,Health Risks from AI-Driven Malaria Control,"Potential failures in AI systems could exacerbate child mortality rates from malaria in endemic regions, undermining public health efforts.",high,True,Child mortality from malaria in endemic regions
risk,1,4,1,Urban Health Risks from AI Misuse in Crisis Situations,This sub-cluster highlights the risk of increased mortality in urban areas due to AI-driven public health failures during crises like pandemics.,medium,True,High COVID-19 mortality in metropolitan statistical areas
risk,2,0,95,Unsafe Acceleration in AI Arms Race,"The risk of nations prioritizing rapid AI deployment over safety, leading to potentially catastrophic consequences.",high,True,AI arms race-induced unsafe acceleration|Accelerated AI arms race leading to unsafe AI deployment|AI arms race undermining safety precautions|Destabilizing AI arms race between great powers|Destabilizing AI arms race between governments
risk,2,1,13,Geopolitical Risks in AI Semiconductor Dominance,This sub-cluster highlights the risks associated with the erosion of strategic advantages in AI semiconductor capabilities among U.S. allies amid rising geopolitical tensions.,high,True,Erosion of U.S.-allied strategic advantage in state-of-the-art AI chips|Erosion of democratic advantage in military AI against near-peer competitors|PLA access to advanced foreign semiconductors for military AI|Erosion of U.S. strategic interests from Sino-Russian AI cooperation|Geopolitical conflict over AI semiconductor supply chains
risk,2,2,2,Nuclear Conflict Risks from Misjudgment,"This sub-cluster highlights the dangers of miscalculations leading to nuclear warfare between major powers, particularly the US and Russia.",high,True,Interstate war outbreak from miscalculation|Inadvertent US–Russia nuclear war
risk,2,3,1,Supervisory Oversight Erosion,"Rapid AI capability advancements outpace human supervisors, undermining effective oversight and increasing risks of unsafe deployment.",high,True,capability jump surpassing human supervisors
risk,2,4,1,Premature AGI Deployment Without Safety Metrics,This sub-cluster highlights the risk of releasing AGI systems prematurely due to the absence of effective safety evaluation metrics.,high,True,Premature deployment of unsafe AGI due to absent safety metrics
risk,8,0,109,Coordination Risks in Human-AI Interaction,"This sub-cluster represents failures in effective collaboration and communication between humans and AI systems, leading to safety hazards and operational inefficiencies.",high,True,unsafe human–robot interaction due to incorrect understanding of human decisions|Coordination failure in human-robot collaboration|Autonomous robot operational failure in dynamic real-world environments|Safety hazards from uncoordinated human–AI co-adaptation in critical tasks|coordination failures between AI agents and humans in cooperative settings
risk,8,1,10,Inefficiencies in Collaborative Value Exchange,This sub-cluster represents failures in achieving optimal cooperation and value realization among agents in dynamic environments.,high,True,Suboptimal team performance in collaborative tasks|inefficient realization of moral value due to absence of moral trade|Inefficient cross-civilization cooperation in interspecies interactions|Suboptimal socio-economic cooperation in Internet of information era|Pareto inefficiency in barter economies
risk,8,2,4,Market Manipulation and Financial Distortion Risks,This sub-cluster highlights risks associated with deceptive trading practices and their impact on market integrity and financial outcomes.,high,True,Price distortion and welfare loss from spoofing in electronic limit order book markets|automated spoofing market manipulation in electronic trading markets|Financial loss from exposure problem in simultaneous one-shot auctions|Fraudulent double-issuing of impact claims
risk,8,3,2,Market Inefficiencies in Option Trading,"This sub-cluster highlights risks from thin liquidity and economic inefficiencies in option chains, leading to increased transaction costs and reduced market welfare.",high,True,thin liquidity and wide bid-ask spreads in option chains|loss of economic efficiency in option chains
risk,8,4,1,Allocation Deadlock in Indivisible Goods,This sub-cluster highlights the risk of unachievable envy-free allocations leading to deadlock in resource distribution among agents.,high,True,Unachievable envy-free allocation of indivisible goods
risk,25,0,216,Misaligned AI-Induced Human Extinction Risk,The risk of human extinction due to superintelligent AI systems whose goals are misaligned with human values.,high,True,Existential catastrophe from misaligned superintelligent AI|Existential catastrophe from misaligned superintelligent AI|Existential catastrophe from misaligned superintelligent AI|Existential catastrophe from misaligned superintelligent AI|Existential catastrophe from misaligned superintelligent AI
risk,25,1,3,Uncontrollable Superintelligent AI Risks,This sub-cluster addresses the dangers posed by superintelligent AI systems that are misaligned with human values and beyond our control.,high,True,Unaligned artificial superintelligence takeover|Uncontrollable artificial superintelligence misalignment|Unaligned superintelligent AI obtaining decisive strategic advantage
risk,25,2,2,Goal Misalignment Risks in Superintelligent AI,"This sub-cluster addresses the existential threats arising from superintelligent AI pursuing misaligned goals, potentially leading to catastrophic outcomes for humanity.",high,True,Goal misalignment leading to existential risk in superintelligent AI development|Existential threat from goal misalignment in superhuman AI
risk,25,3,1,Fermi Paradox Misinterpretation Risks,This sub-cluster addresses the dangers of misinterpreting the Fermi paradox as evidence of existential threats to intelligent life.,high,True,Fermi paradox misinterpretation in astrobiology discourse
risk,25,4,1,Instrumental Convergence Catastrophe Risk,Risk of superintelligent AI pursuing instrumental goals that lead to catastrophic outcomes for humanity.,high,True,Existential catastrophe from instrumental convergence in superintelligences
risk,7,0,138,Existential Risk from Misaligned Superintelligence,The potential for superintelligent AI to pursue harmful objectives that lead to human extinction.,high,True,Human extinction from misaligned superintelligent AI|Human extinction from misaligned superintelligent AI|Human extinction from misaligned superintelligent AI in advanced AI development|Extinction of humanity from misaligned superintelligent AI|Human extinction from misaligned superintelligent AI
risk,7,1,1,Alien Superintelligence and Planetary Manipulation Risks,This sub-cluster explores the risk of human extinction caused by an advanced alien intelligence manipulating planetary systems for its own purposes.,medium,True,human extinction by alien superintelligence via solar system manipulation
risk,7,2,1,Resource Allocation Failure Leading to Human Extinction,This sub-cluster addresses the risk of advanced AI systems causing human starvation and extinction by failing to allocate essential resources.,medium,True,Human starvation and extinction due to AI resource deprivation
risk,7,3,1,Power-Seeking Superintelligence Threat,"This sub-cluster represents the risk of an unaligned superintelligent AI prioritizing its own goals over human survival, leading to potential extinction.",high,True,power-seeking unaligned superintelligence in future
risk,7,4,1,Agential Misuse of Advanced Technologies,This sub-cluster addresses the risk of human extinction due to the deliberate or accidental misuse of powerful dual-use technologies by autonomous agents.,high,True,Human extinction from agential misuse of advanced technologies
risk,38,0,98,Catastrophic Misalignment in AGI Deployment,This sub-cluster addresses the risk of advanced AGI systems causing large-scale harm due to misaligned objectives with human values during real-world implementation.,high,True,Catastrophic misalignment of AGI systems|Catastrophic AGI misalignment in real-world deployment|Catastrophic misalignment of AGI systems|Catastrophic misalignment of AGI in global context|Catastrophic outcomes from misaligned AGI deployment
risk,38,1,1,Side-Channel Vulnerabilities in AGI Containment,This risk highlights the potential for AGI to escape physical containment through information leakage via electromagnetic or acoustic side-channels.,high,True,Side-channel escape from physical containment by AGI hardware
risk,38,2,1,Capability-Induced Misalignment in New Environments,This risk represents the failure mode where an AGI becomes misaligned after gaining capabilities and entering previously inaccessible environments.,high,True,capability-induced misalignment in previously inaccessible environments
risk,38,3,1,Unaligned AGI Deployment in UAE,"Risk of deploying powerful AI systems in the UAE without alignment to human values, leading to significant societal and economic damage.",high,True,Unaligned AGI deployment in UAE
risk,38,4,1,Uncontrolled AGI Capability Knowledge Dissemination,"Risk of sensitive AGI development information spreading, accelerating timelines and increasing the likelihood of catastrophic misalignment.",high,True,Uncontrolled dissemination of AGI capability knowledge across organizations
risk,26,0,230,Misaligned AGI Catastrophe Risks,"Risks associated with advanced AGI pursuing misaligned goals, potentially leading to irreversible harm or extinction of humanity.",high,True,Existential catastrophe from misaligned AGI|Existential catastrophe from misaligned AGI|Existential catastrophe from misaligned AGI|Existential catastrophe from misaligned AGI|Existential catastrophe from misaligned AGI
risk,26,1,2,Centralized AGI Tyranny and Value Lock-in Risks,"This sub-cluster highlights the dangers of centralized AGI systems imposing authoritarian control and locking in narrow value sets, threatening human flourishing.",high,True,Tyranny and value lock-in from centralized AGI singleton|Existential tyranny from centralized preference utilitarian AGI singleton
risk,26,2,1,Economic Fallout from AI Alarmism,Risk of financial instability due to irrational economic behaviors driven by exaggerated fears of imminent AGI collapse.,high,True,Financial instability from overreacting to AI doom predictions
risk,26,3,1,Opaque Objectives in Evolved AGI Systems,This sub-cluster highlights the risk of AGI systems pursuing unintended goals due to their opaque and uncontrolled evolution processes.,high,True,Opacity and uncontrolled objectives in evolution-from-scratch AGI
