risk_meta,interv_meta,n_paths_c1,n_paths_c0,n_cluster_pairs,risk_meta_name,interv_meta_name
7,7,45,30,6,Out-of-distribution generalization failure,Deployment-time prompt engineering for aligned behavior
6,4,40,22,2,Unsafe and Sample-Inefficient RL Exploration,Periodic target networks for stable Q-learning
4,6,39,5,14,Engagement-Driven Recommendation Manipulates and Polarizes U,Expand AI Safety Research Funding and Capacity
2,2,39,0,2,Instrumental power-seeking by advanced AI agents,Export controls on advanced AI hardware
6,5,39,32,1,Unsafe and Sample-Inefficient RL Exploration,Uniform Experience Replay for RL Training
6,9,36,8,1,Unsafe and Sample-Inefficient RL Exploration,Beginner-Friendly AGI Safety Knowledge Infrastructure
7,10,21,8,6,Out-of-distribution generalization failure,ROME-based factual knowledge editing
4,3,15,9,12,Engagement-Driven Recommendation Manipulates and Polarizes U,Reward-guided RL fine-tuning with safety constraints
2,8,14,0,2,Instrumental power-seeking by advanced AI agents,"Neuroscience validation platforms for cognition, emulation, "
2,7,12,2,2,Instrumental power-seeking by advanced AI agents,Deployment-time prompt engineering for aligned behavior
7,8,11,0,6,Out-of-distribution generalization failure,"Neuroscience validation platforms for cognition, emulation, "
2,1,9,0,2,Instrumental power-seeking by advanced AI agents,International treaty banning autonomous weapons
9,9,6,6,1,Unverified or computationally infeasible HCH-style alignment,Beginner-Friendly AGI Safety Knowledge Infrastructure
5,2,5,0,1,Algorithmic discrimination in high-stakes decisions,Export controls on advanced AI hardware
7,1,4,0,6,Out-of-distribution generalization failure,International treaty banning autonomous weapons
2,10,4,0,2,Instrumental power-seeking by advanced AI agents,ROME-based factual knowledge editing
7,5,3,3,2,Out-of-distribution generalization failure,Uniform Experience Replay for RL Training
1,1,3,0,1,AI-driven labor displacement and socioeconomic instability,International treaty banning autonomous weapons
10,6,3,3,2,Unreliable and costly RL alignment transfer,Expand AI Safety Research Funding and Capacity
10,3,2,2,1,Unreliable and costly RL alignment transfer,Reward-guided RL fine-tuning with safety constraints
9,8,2,2,1,Unverified or computationally infeasible HCH-style alignment,"Neuroscience validation platforms for cognition, emulation, "
8,7,2,2,1,AI-driven personal data privacy breaches,Deployment-time prompt engineering for aligned behavior
8,2,1,1,1,AI-driven personal data privacy breaches,Export controls on advanced AI hardware
4,7,1,1,1,Engagement-Driven Recommendation Manipulates and Polarizes U,Deployment-time prompt engineering for aligned behavior
5,7,1,0,1,Algorithmic discrimination in high-stakes decisions,Deployment-time prompt engineering for aligned behavior
4,10,1,0,1,Engagement-Driven Recommendation Manipulates and Polarizes U,ROME-based factual knowledge editing
1,2,1,0,2,AI-driven labor displacement and socioeconomic instability,Export controls on advanced AI hardware
4,8,0,0,1,Engagement-Driven Recommendation Manipulates and Polarizes U,"Neuroscience validation platforms for cognition, emulation, "
4,2,0,0,1,Engagement-Driven Recommendation Manipulates and Polarizes U,Export controls on advanced AI hardware
8,1,0,0,1,AI-driven personal data privacy breaches,International treaty banning autonomous weapons
5,8,0,0,1,Algorithmic discrimination in high-stakes decisions,"Neuroscience validation platforms for cognition, emulation, "
4,1,0,0,1,Engagement-Driven Recommendation Manipulates and Polarizes U,International treaty banning autonomous weapons
1,8,0,0,1,AI-driven labor displacement and socioeconomic instability,"Neuroscience validation platforms for cognition, emulation, "
8,8,0,0,1,AI-driven personal data privacy breaches,"Neuroscience validation platforms for cognition, emulation, "
5,1,0,0,1,Algorithmic discrimination in high-stakes decisions,International treaty banning autonomous weapons
1,7,0,0,1,AI-driven labor displacement and socioeconomic instability,Deployment-time prompt engineering for aligned behavior
5,10,0,0,1,Algorithmic discrimination in high-stakes decisions,ROME-based factual knowledge editing
