cluster_id,n_nodes,n_sources,centroid_sim_mean,top5_names
27,68,67,0.8768,Adversarial vulnerability in image classification models | Adversarial vulnerability in neural network image classifier | Adversarial misclassification in image classifiers | Adversarial misclassification in image classifiers | Adversarial misclassification vulnerability in image classif
28,67,66,0.8508,Unsafe behavior of advanced AI systems in real-world deploym | Catastrophic AI system failures in real-world deployment | Unsafe AI behavior causing negative societal outcomes in rea | Hazardous outcomes from AI decision-making in real-world dep | Unreliable AI behavior in safety-critical tasks
13,65,55,0.7332,Incorrect robotic manipulation due to ambiguous language ins | unsafe human-robot interaction due to incorrect understandin | Unsafe robot behavior from misaligned preference reward func | Unsafe robot behavior replicating suboptimal human demonstra | Inefficient task learning of RL robots from huma
32,65,61,0.7338,Unsafe behavior of autonomous AI systems in safety-critical  | Uncontrollable behavior of taskable AI systems in real-world | Unanticipated unsafe behavior in large-scale autonomous syst | Autonomous robot operational failure in dynamic real-world e | Operational safety failures in autonomous system
7,63,58,0.8406,Reward misspecification leading to misaligned behavior in co | Reward misspecification in reinforcement learning control ta | Reward misspecification-induced unintended behavior in reinf | Reward hacking due to misspecified reward functions in RL ag | Reward function misspecification in reinforcemen
8,58,55,0.7956,Insufficient alignment research capacity for AGI safety | Insufficient alignment research capacity increasing AI exist | Insufficient AI safety expertise to manage alignment risks | Insufficient skilled AI safety researchers for alignment cha | Insufficient skilled researchers for AI alignment progr
14,56,55,0.8264,Opaque internal decision-making in neural networks | Opaque decision-making in deep neural networks | Opaque decision-making by deep learning models in critical c | Opaque decision-making in large language models | Opaque decision processes in machine learning models
25,50,50,0.8637,Societal harm from unsafe AI technologies | Catastrophic societal harm from advanced AI systems | Catastrophic outcomes from unsafe dangerous AI systems | Catastrophic failure of advanced AI systems | Catastrophic AI system failures impacting humanity
35,45,39,0.7065,socioeconomic instability from AI-driven job displacement | Socioeconomic disempowerment from AI-driven power centraliza | Erosion of moral responsibility in AI-influenced societies | Job displacement due to inability to operate AI systems safe | Societal power imbalances and manipulation caused by 
33,40,40,0.8695,Sample inefficiency in deep reinforcement learning for real- | sample inefficiency of reinforcement learning algorithms in  | sample inefficiency in reinforcement learning for real-world | Sample inefficiency in reinforcement learning training | Sample inefficiency in visual reinforcement learning a
34,40,37,0.8627,Human extinction from misaligned superintelligent AI systems | extinction of humanity by misaligned goal-directed superinte | Human extinction due to misaligned goal-directed superhuman  | Irreversible human disempowerment by power-seeking AI system | Human extinction due to intent misalignment in a
36,37,28,0.7234,global catastrophic climate change impacts on long-term huma | Existential catastrophe terminating human potential | Human extinction from WMD-enabled arms races in global geopo | loss of long-term human potential from existential catastrop | human extinction from extreme anthropogenic climate chang
37,35,35,0.789,unexpected generalization failure in overparameterized deep  | Poor out-of-distribution generalization in neural networks | Overfitting and poor generalization in large-scale models wi | Poor generalization in overparameterized deep neural network | Poor generalization error in deployed AI systems
29,31,30,0.85,Harmful text generation by large language models in deployme | harmful or dishonest language model outputs | Unexpected harmful language model outputs in deployed contex | Harmful or dishonest behavior in large language models | Harmful or untruthful outputs in large language models
23,31,31,0.8193,Discriminatory outcomes from AI decision systems in social d | Algorithmic discrimination in high-stakes decision-making | Unfair decision outcomes in automated decision-making | Discriminatory outcomes from AI decision systems | Unfair socio-economic outcomes from AI decision systems
26,31,31,0.761,privacy breaches from pervasive AI data collection | Privacy violations from AI-based personal data processing | Privacy breaches from AI analytics | Privacy leakage of user data in AI services | Personal data re-identification risk in AI-intensive systems
30,31,30,0.7699,Inefficient resource allocation to low-impact AI safety fiel | Philanthropic resource misallocation due to incorrect AI fut | Inefficient allocation of limited AI safety research resourc | Misallocation of resources for AI safety due to poor researc | Misallocated AI safety research resources
38,30,28,0.7864,Accelerated AI arms race leading to unsafe AI deployment | Destabilizing AI arms race between great powers | AI arms race undermining safety precautions | Destabilizing international conflict from AI arms race | fragmented international AI governance fostering competitive
16,30,29,0.7985,Collision accidents in autonomous vehicles and robots | robot-human collision in autonomous navigation | Collision risk in multi-agent autonomous navigation | collisions between autonomous vehicles and human-driven vehi | Collision accidents in autonomous driving at intersections
21,29,28,0.8462,out-of-distribution performance degradation in vision models | Out-of-distribution prediction failure in neural networks | Performance degradation of computer vision models under real | Out-of-distribution accuracy degradation in vision models | Distribution shift performance degradation in vision c
19,25,25,0.8112,Automated large-scale disinformation campaigns using languag | manipulation of public opinion via AI-generated disinformati | Disinformation spread by AI-generated content in information | AI-generated misinformation and deception in human-AI intera | Misinformation propagation by AI systems
39,23,20,0.8538,overconfident predictions under distribution shift in safety | Overconfident predictions in neural networks on uncertain da | Prediction miscalibration in image classifiers | Overconfident predictions on out-of-distribution inputs in n | Overconfident incorrect predictions in neural network deploy
22,23,19,0.7076,Catastrophic pandemics from emerging bioengineering technolo | Engineered pandemic with highly transmissible lethal pathoge | Bioengineered pandemic enabled by AI-assisted bioterrorism | Catastrophic mortality from engineered pathogens | existential catastrophe from engineered biotechnology
31,21,21,0.8083,Human-AI coordination failures in cooperative tasks | human-AI coordination failure in cooperative settings | Coordination failures between independently trained AI agent | coordination failure with novel partners in multi-agent task | cooperation failure between AI agents and humans in socio-te
