cluster_id,n_nodes,n_sources,centroid_sim_mean,edge_only_path_fraction,top5_names,top_node_name,closest3_names,farthest3_names,centroid_sim_min,centroid_sim_max
8,230,178,0.678,0.8739,Fund and expand AI safety research teams within le | Provide targeted grants and fellowships to AI safe | Fund and expand technical AI alignment research pr | Provide grants and fellowships to train and hire a | Provide targeted philanthropic funding for AI safe,Fund and expand AI safety research teams within leading labs and academia,Fund and expand AI safety research teams within leading labs and academia | Fund and expand technical AI alignment research programs | Provide targeted grants and fellowships to AI safety researchers,Follow pre-event donor preparation checklist on Giving Tuesday | Shut down Lightcone office space by March 24 2023 | complete foundational deep learning coursework and Python coding exercises,0.4157,0.8824
23,99,84,0.6627,1.0,Deploy legible motion planning in robots interacti | Integrate active offline policy selection pipeline | Deploy internal-to-real dynamics transfer assistan | Deploy predictive robots with Bayesian intent infe | Integrate t-predictable planning algorithm into co,Deploy legible motion planning in robots interacting with humans,Deploy legible motion planning in robots interacting with humans | Integrate active offline policy selection pipeline during pre-deployment testing of robotic RL systems | Deploy internal-to-real dynamics transfer assistance in human-robot control interfaces,Install external HMI light signals on AVs to convey yielding to pedestrians | Rewrite safety-critical recursive algorithms into tail recursive form with tail call optimization | Integrate doubling time allocation across anytime components for interruptibility guarantees,0.4636,0.7972
10,84,74,0.658,0.9643,Implement international AI regulatory frameworks a | Legislate and enforce risk-based AI regulation req | Establish mandatory ethics boards with veto power  | Establish cross-disciplinary ethics committees gov | legislate rights-based data protection frameworks ,Implement international AI regulatory frameworks and enforcement mechanisms,Implement international AI regulatory frameworks and enforcement mechanisms | Legislate and enforce risk-based AI regulation requiring pre-deployment testing and compliance audits | Establish mandatory ethics boards with veto power over AI deployments,"Tie executive compensation to long-term equity vesting schedules extending beyond tenure | Invest in global wind, water, and solar infrastructure to replace fossil fuels | Deploy large-scale renewables and carbon pricing to cut GHG emissions",0.4266,0.8342
19,80,73,0.7083,0.9875,Pre-train policy networks via supervised imitation | Train agents via imitation learning from expert de | Train robot manipulation policies using recurrent  | Integrate demonstration-based pretraining and hier | Train RL agents on large procedurally generated le,Pre-train policy networks via supervised imitation learning on human demonstrations,Pre-train policy networks via supervised imitation learning on human demonstrations | Train agents via imitation learning from expert demonstrations prior to RL | Train robot manipulation policies using recurrent behavioral cloning on human demonstration datasets,Inject log-normal random multipliers into mainline reserves during data collection | Apply learning-based premise selection during large-theory ATP | Design observation spaces to include wrist camera images and pixel-shift randomisation while excluding unnecessary propr,0.4918,0.8073
2,75,67,0.6515,0.9867,Deploy RL-guided Monte Carlo Tree Search for plann | Deploy RL fine-tuning at inference time for planni | Design AI agents using policy/value network guided | Integrate deep RL meta-controller for runtime stop | Design models with combined policy/value networks ,Deploy RL-guided Monte Carlo Tree Search for planning in safety-critical AI systems,Deploy RL-guided Monte Carlo Tree Search for planning in safety-critical AI systems | Design AI agents using policy/value network guided Monte Carlo Tree Search for complex decision tasks | Deploy RL fine-tuning at inference time for planning in large action/state spaces,limit number of leading diagnoses considered during search | Construct human-powered aircraft with high aspect-ratio lightweight wings to achieve channel-crossing energy efficiency | Query NAS-Bench-Suite-Zero API instead of computing proxies during NAS runs,0.3933,0.7964
24,71,70,0.8148,0.8873,Fine-tune language models with RLHF to reduce misa | Fine-tune language models with RLHF to align behav | Fine-tune language models with RLHF using human pr | Fine-tune large language models with RLHF to reduc | Fine-tune language models with RLHF to align outpu,Fine-tune language models with RLHF to reduce misalignment,Fine-tune language models with RLHF to reduce misalignment | Fine-tune language models with RLHF to align behavior during training | Fine-tune language models with RLHF using human preference data,Add precomputed truthfulness steering vector at inference time for GPT models | Apply MLHF meta-optimizer with learned damping and preconditioning during model training | Fine-tune models with constitutional self-critique and revision process,0.4824,0.9231
34,70,57,0.6897,1.0,"Pretrain AI models on diverse large-scale datasets | Pre-train models on multimodal image-text datasets | Pre-train vision models on large-scale dataset bef | Pretrain transformers with large, diverse, self-su | Conduct large-scale generative pretraining before ",Pretrain AI models on diverse large-scale datasets before task-specific fine-tuning,Pretrain AI models on diverse large-scale datasets before task-specific fine-tuning | Pre-train models on multimodal image-text datasets to enhance robustness | Pre-train vision models on large-scale dataset before fine-tuning for target tasks,Remove listing ID embedding and rely on aggregated location embeddings | Use wordpiece segmentation (32k shared vocab) during NMT training and inference | Monitor Frechet Inception Distance and adjust hyperparameters during training,0.458,0.801
22,68,56,0.6666,1.0,Deploy rejection sampling filtering to block disal | Deploy Mahalanobis distance-based detector to reje | Deploy adversarially trained harmful-content outpu | Deploy rejection sampling with injury classifier t | Deploy policy-aligned content classifier as output,Deploy rejection sampling filtering to block disallowed model outputs,Deploy rejection sampling filtering to block disallowed model outputs | Deploy Mahalanobis distance-based detector to reject or flag low-confidence inputs during model deployment | Deploy adversarially trained harmful-content output filter during model deployment,Commit to partner selection using 1/e stopping rule during dating phase | Convert all ingested DICOM images to standardized matrix representations and structured metadata | deploy prediction-driven dynamic program booking acceptance rule in cargo revenue management system,0.3808,0.7951
38,66,55,0.7035,0.9394,Organize professional forecasting competitions on  | Run periodic incentivized AI timeline forecasting  | Run regular incentivized forecasting tournaments o | Establish crowd forecasting platform with elitist  | Form collaborative teams of high-performing foreca,Organize professional forecasting competitions on AI progress metrics to guide safety planning,Organize professional forecasting competitions on AI progress metrics to guide safety planning | Run periodic incentivized AI timeline forecasting tournaments to inform safety planning | Run regular incentivized forecasting tournaments on AI existential risk,Conduct catastrophe rate bounding using planetary age distribution before approval of high-energy particle accelerators | Conduct monthly program of ≥4 expert interviews to gather insights and build relationships | Deploy chronon-based timestamp prediction system for unlabeled text corpora,0.5111,0.8487
15,62,58,0.721,0.9677,Deploy interpretability analysis suites on models  | Deploy automated interpretability analyses during  | Deploy interpretability toolchain during pre-deplo | Conduct circuit-level interpretability audits pre- | Audit models pre-deployment using mechanistic inte,Deploy interpretability analysis suites on models before deployment,Conduct mechanistic interpretability audits before deployment | Perform mechanistic interpretability audits on models pre-deployment | Conduct mechanistic interpretability audits on frontier models during pre-deployment testing,"Apply deconfounder pipeline (factor modeling, predictive checking, substitute confounder, outcome modeling) during causa | Deploy Grad-CAM visual saliency explanations for image classifiers | Provide SGBP-based saliency explanations at deployment",0.5382,0.9213
21,47,39,0.6974,0.9787,Conduct formal verification of AI codebases before | Integrate formal verification of AI components in  | Apply formal verification tools to ensure no catas | Integrate formal verification and exhaustive autom | Integrate adversarial scenario search and formal v,Conduct formal verification of AI codebases before deployment,Conduct formal verification of AI codebases before deployment | Integrate formal verification of AI components in development pipeline | Apply formal verification tools to ensure no catastrophic actions before deployment,Use semidefinite-program-based sparse recovery in model parameter estimation | Deploy ASP-based optimization during WRONoC design to select non-conflicting radii and wavelengths | Rebuild compilers from minimal trusted bootstraps using diverse double compilation,0.4997,0.8466
18,45,44,0.7249,0.9778,Fine-tune models jointly for task and critique gen | Fine-tune language models using language feedback  | Deploy model-assisted human-in-the-loop feedback w | Fine-tune LLMs on high-quality expert datasets bef | Fine-tune models with AI-generated critiques to im,Fine-tune models jointly for task and critique generation to assist human evaluation,Fine-tune models jointly for task and critique generation to assist human evaluation | Fine-tune language models with language feedback signals to align with human preferences | Fine-tune language models using language feedback instead of scalar rewards,Collect and integrate Moral Machine style crowdsourced data before training models | Train categorical distributional value head (C51) during fine-tuning | Utilize supervised high-level labels alongside unsupervised learning to disentangle latent factors,0.5503,0.8393
17,42,40,0.622,1.0,deploy self-triggered robustness-surrogate communi | Deploy cooperative delegate agents in collective-r | Deploy retrieval-augmented generation pipelines at | integrate imaginary play execution module into dep | Deploy selective advising policies in operational ,deploy self-triggered robustness-surrogate communication protocol during MARL execution,deploy self-triggered robustness-surrogate communication protocol during MARL execution | Deploy cooperative delegate agents in collective-risk platforms | Deploy retrieval-augmented generation pipelines at inference time to mitigate hallucinations,Group n-digit symbols into fixed-length blocks of length a = ⌈log_n m⌉ for message encoding | Adopt variable-length prefix-free binary encoding for trit transmission | Mandate minimum 100ms order latency in equity exchanges,0.3456,0.727
39,38,35,0.8263,0.8158,Implement export controls on advanced AI chips to  | Enforce export controls on advanced AI chips durin | Implement export controls on advanced AI chips to  | Implement export controls restricting shipment of  | Implement national export controls restricting sup,Implement export controls on advanced AI chips to high-risk actors,Enforce export controls on advanced AI chips during distribution | Implement export controls on advanced AI chips to high-risk actors | Implement export controls on advanced AI chips to limit adversary capabilities,Fund domestic semiconductor fabrication facilities via national initiatives | Enact national bans/restrictions on foreign adversary social media apps with harmful effects | Allocate subsidies and incentives to boost domestic semiconductor fab capacity,0.5494,0.9376
36,38,34,0.7187,1.0,Apply AugMix-style data augmentation during model  | Apply extensive random data augmentation during su | Augment and rebalance image training datasets duri | apply AugMix augmentation and JS divergence consis | Apply PixMix data augmentation during pre-training,Apply AugMix-style data augmentation during model pre-training,Apply AugMix-style data augmentation during model pre-training | Apply extensive random data augmentation during supervised training | Augment and rebalance image training datasets during pre-training to reduce misclassification bias,Deploy PUTWorkbench during data preprocessing to select minimal attribute subset | Apply TrackIn self-influence ranking to flag and relabel mislabeled dataset examples | Apply fairness constraints (equalized odds) using race attribute during model training,0.5468,0.8265
33,34,32,0.7105,1.0,Deploy HHH prompt during model interactions to red | Deploy persona-based prompted interfaces for langu | Deploy standardized robust prompts for CLIP-like m | Deploy system prompts enforcing factuality and hel | Deploy language models with helpful-honest-harmles,Deploy HHH prompt during model interactions to reduce harmful or dishonest outputs,Deploy HHH prompt during model interactions to reduce harmful or dishonest outputs | Deploy persona-based prompted interfaces for language models in production systems | Deploy standardized robust prompts for CLIP-like models,Enable multi-step reasoning search feature in Bing mobile | Deploy increased conversation turn limit to eight in Bing Chat | Deploy models with JSON mode enabled for production data exchange,0.4799,0.8464
32,29,26,0.7519,0.8966,Apply attainable utility preservation penalty with | Fine-tune RL agents with Attainable Utility Preser | Apply Attainable Utility Preservation penalty duri | Fine-tune RL agents with attainable utility preser | Fine-tune agents with stepwise relative reachabili,Apply attainable utility preservation penalty with stepwise inaction baseline during RL fine-tuning ,Fine-tune reinforcement-learning agents with attainable utility preservation penalty during training | Apply attainable utility preservation penalty during RL fine-tuning to limit side effects | Fine-tune RL agents with Attainable Utility Preservation impact penalty,Remove utility offsets and fix one scale factor in utility aggregation algorithm | Implement visible transgressor markers and reward-based punishment mechanisms in environment design | Train safety editor with hinge-loss utility distance instead of L2,0.4974,0.9225
31,27,24,0.6746,1.0,Deploy coding-based AI assistants to accelerate al | Deploy generative-model-based productivity tools i | Deploy human-AI collaborative tools that keep huma | Adopt skill-conditioned behavior cloned AI assista | Adopt AI code completion tools during coding phase,Deploy coding-based AI assistants to accelerate alignment research before TAI,Deploy coding-based AI assistants to accelerate alignment research before TAI | Deploy generative-model-based productivity tools in alignment research labs | Deploy human-AI collaborative tools that keep humans responsible for symbolic reasoning tasks,Release open-source wake-neutral voice browser implementing VNS architecture | Provide personalized Wavenet TTS voice banking service for ALS patients | Design EA educational curricula using self-determination theory principles,0.4783,0.817
13,26,22,0.6922,1.0,replace click-through RL objectives with supervise | Deploy multi-objective recommender optimization wi | Incorporate periodic user well-being surveys as op | Integrate meaningful social interactions predictio | Roll out aligned recommender systems with extrapol,replace click-through RL objectives with supervised preference prediction in recommender systems bef,replace click-through RL objectives with supervised preference prediction in recommender systems before deployment | Deploy multi-objective recommender optimization with fairness and misinformation penalties | Incorporate periodic user well-being surveys as optimization targets during recommender retraining,"Use sample-and-rank decoding (N=20, top-k=40, T=1) during chatbot response generation | Replace like button with respect reaction to improve cross-ideological engagement | Use CPM-based best-of-N sampling at deployment to select higher-quality outputs",0.5505,0.8022
20,25,22,0.7889,1.0,Integrate experience replay buffer with uniform ra | Integrate experience replay buffer into deep RL tr | Integrate experience replay buffers in Deep RL tra | Integrate experience replay into RL fine-tuning to | Include experience replay buffer when fine-tuning ,Integrate experience replay buffer with uniform random sampling during RL training,Integrate experience replay buffer with uniform random sampling during RL training | Integrate experience replay buffer into deep RL training pipelines | Integrate experience replay buffers in Deep RL training at fine-tuning stage to decorrelate updates,Apply frame skipping (k=3–4) during Atari RL agent training | Integrate Sparse Graphical Memory with two-way consistency into agent architecture during training | Integrate bsuite memory tasks into RL agent model design process,0.5948,0.9213
16,25,19,0.6578,1.0,train and deploy deep ensembles to improve uncerta | Train ensembles with varied random seeds to quanti | Perform multi-scale test-time evaluation by averag | Deploy ensemble prediction averaging in production | Deploy inference-time neural network ensemble plur,train and deploy deep ensembles to improve uncertainty robustness,train and deploy deep ensembles to improve uncertainty robustness | Train ensembles with varied random seeds to quantify underspecification before deployment | Perform multi-scale test-time evaluation by averaging predictions across scales,Calculate biodiversity metrics using genetic distance-based diversity indices | Use FAISS HNSW approximate k-NN to scale retrieval during training and inference | Avoid interpreting cluster size and inter-cluster distance based on single t-SNE plot during analysis,0.4496,0.7861
3,22,21,0.6555,1.0,Adopt neuromorphic spiking hardware for deployment | Adopt specialised energy-efficient hardware and al | Deploy domain-specific programmable accelerators ( | Adopt efficiency-optimised architectures to reduce | Deploy privacy-preserving on-device ML inference u,Adopt neuromorphic spiking hardware for deployment of energy-efficient AI models,"Adopt neuromorphic spiking hardware for deployment of energy-efficient AI models | Adopt specialised energy-efficient hardware and algorithmic abstraction when designing AI systems | Deploy domain-specific programmable accelerators (GPUs, FPGAs) for energy-efficient processing in restricted domains",Integrate Heun 2nd order deterministic sampler with ε(t)=t and τ=7 into diffusion model inference | Use Monte Carlo simulations to quantify risk distributions in business cases | Compile annotated model with XLA SPMD partitioner to generate single executable for all devices,0.4922,0.7656
27,22,20,0.762,1.0,Include KL divergence penalty term during RLHF opt | Fine-tune language models with RLHF using PPO and  | fine-tune language models with kl-regularised rlhf | Fine-tune models with KL-regularised RL objective  | Apply KL-regularised TRPO/PPO updates during fine-,Include KL divergence penalty term during RLHF optimization to prevent mode collapse,Include KL divergence penalty term during RLHF optimization to prevent mode collapse | Fine-tune language models with RLHF using PPO and per-token KL penalty to align with human instructions | fine-tune language models with kl-regularised rlhf using β kl penalty,"Apply length-normalised, coverage-penalised beam search decoding | Replace naive importance sampling with LLW in PPL inference engines | Use lexicographic particle filter for sequential mixed-type models",0.5696,0.8909
30,17,15,0.7882,0.9412,Use periodic target Q-network updates during RL tr | Update target networks periodically in Q-learning  | Employ periodically updated target network during  | Compute double Q-learning targets using separate n | Update Q-learning targets with periodically refres,Use periodic target Q-network updates during RL training to stabilize value learning,Use periodic target Q-network updates during RL training to stabilize value learning | Update target networks periodically in Q-learning systems | Employ periodically updated target network during Q-learning,Initialize Q-values optimistically with R_max and pseudo-counts during model design | Compute target Q as average over K random image shifts during critic update | Train asymmetric distance function ensembles of goal-conditioned Q-networks for graph edge weights,0.6164,0.8675
12,13,13,0.71,1.0,Conduct pre-deployment fairness audits and adjust  | Perform mandatory bias audit using demographic dat | Perform protected-attribute fairness audits before | Apply fairness auditing and diverse training data  | Conduct calibration and debiasing workshops for AI,Conduct pre-deployment fairness audits and adjust credit scoring algorithms to reduce discrimination,Conduct pre-deployment fairness audits and adjust credit scoring algorithms to reduce discrimination | Perform mandatory bias audit using demographic datasets on generalizable vision models prior to deployment | Perform protected-attribute fairness audits before deploying decision systems,Use Deep Feature Synthesis to automatically generate feature matrices in preprocessing | Apply contingency reserves and black swan mitigation strategies during project budgeting | Calibrate assistance tolerance parameter α based on user behavior,0.4664,0.8276
14,13,10,0.7144,0.7692,Publish monthly beginner-focused AGI safety FAQ po | Publish monthly beginner-friendly AGI safety FAQ t | Host monthly beginner-friendly AGI safety Q&A post | Organize monthly beginner-friendly AGI safety ques | Publish recurring beginner-friendly AGI safety Q&A,Publish monthly beginner-focused AGI safety FAQ posts on LessWrong,Publish monthly beginner-friendly AGI safety FAQ threads on community forums | Host monthly beginner-friendly AGI safety Q&A posts | Publish monthly beginner-focused AGI safety FAQ posts on LessWrong,Implement nightly three good things reflection routine | Perform monthly gratitude letters delivery to unthanked benefactors | Establish daily gratitude journal habit linked to evening meal,0.5173,0.8946
7,11,11,0.7241,1.0,Collect training data using automated crowdsourced | Generate and integrate knowledge-driven synthetic  | Develop and use high-fidelity simulators built fro | Augment training datasets with high-fidelity simul | Deploy human-and-model-in-the-loop data collection,Collect training data using automated crowdsourced platform with randomized imaging controls,Collect training data using automated crowdsourced platform with randomized imaging controls | Develop and use high-fidelity simulators built from large real-world datasets during pre-training and pre-deployment tes | Deploy human-and-model-in-the-loop data collection during NLU model development,Configure DeepAR models to use native missing value handling for attendance data | Collect sensor data at >2× highest signal frequency and longer durations during pre-training | Crowd-source high-quality text descriptions to create scalable human similarity datasets,0.5743,0.7933
28,9,7,0.7547,1.0,Strengthen and expand nuclear nonproliferation tre | Strengthen and extend nuclear arms reduction treat | Codify multi-person authorization and time-delay m | Enforce human-in-the-loop control over nuclear wea | Upgrade nuclear early-warning systems with multi-s,Strengthen and expand nuclear nonproliferation treaty enforcement and supply chain security measures,Negotiate and ratify international treaty limiting autonomous weapon deployment | Negotiate and ratify international treaties prohibiting deployment of fully autonomous offensive weapon systems | Negotiate and ratify international treaty banning development or deployment of fully autonomous weapons,"Contribute national fissile material stockpiles to international agency for peaceful applications | Upgrade nuclear early-warning systems with multi-sensor cross-validation and dual-key human authorization before launch | Mobilize global scientific collaboration via IAEA to develop nuclear technology for agriculture, medicine, and electrici",0.5842,0.9017
37,6,6,0.902,1.0,apply rank-one model editing to update factual kno | Apply rank-one model editing on key-value pairs to | Correct factual errors via ROME rank-1 updates bef | Implement ROME-based factual knowledge editing dur | Apply ROME weight editing post-training to correct,apply rank-one model editing to update factual knowledge during fine-tuning phase,apply rank-one model editing to update factual knowledge during fine-tuning phase | Apply rank-one model editing on key-value pairs to correct unsafe factual knowledge during fine-tuning | Correct factual errors via ROME rank-1 updates before deployment,Edit factual associations by modifying midlayer MLP weights (ROME) to correct misinformation | Apply ROME weight editing post-training to correct specific factual errors without retraining | Implement ROME-based factual knowledge editing during fine-tuning,0.883,0.9249
29,5,4,0.7534,1.0,Conduct large-scale isotropic fractionator studies | Conduct DishBrain-style closed-loop neural culture | Conduct factored cognition experiments to benchmar | Complete and validate C. elegans whole brain emula | Construct dedicated synchrotron beamlines optimize,Conduct large-scale isotropic fractionator studies across mammalian brains to refine cognitive scali,Conduct large-scale isotropic fractionator studies across mammalian brains to refine cognitive scaling databases | Conduct DishBrain-style closed-loop neural culture experiments to test FEP-based alignment models | Conduct factored cognition experiments to benchmark HCH competitiveness,Construct dedicated synchrotron beamlines optimized for expanded brain tomography | Complete and validate C. elegans whole brain emulation as proof-of-concept | Conduct factored cognition experiments to benchmark HCH competitiveness,0.6984,0.7899
