cluster_id,n_nodes,n_sources,centroid_sim_mean,edge_only_path_fraction,top5_names,top_node_name,closest3_names,farthest3_names,centroid_sim_min,centroid_sim_max
1,93,86,0.7702,0.6882,Catastrophic misuse of frontier AI capabilities by | Catastrophic misuse of advanced AI technologies by | Malicious misuse of advanced AI technologies | Catastrophic misuse of advanced AI models | Malicious use of frontier AI capabilities by non-s,Catastrophic misuse of frontier AI capabilities by malicious actors,Catastrophic misuse of frontier AI capabilities by malicious actors | Catastrophic misuse of advanced AI technologies by malicious actors | Catastrophic misuse of AI capabilities by irresponsible actors,Child mortality from malaria in endemic regions | High COVID-19 mortality in metropolitan statistical areas | Delayed containment of emerging infectious diseases in Latin America,0.3374,0.9345
2,88,82,0.7686,0.6818,Accelerated AI arms race leading to unsafe AI depl | Destabilizing AI arms race between great powers | AI arms race undermining safety precautions | Destabilizing AI arms race between governments | Safety degradation from AI capability arms race,Accelerated AI arms race leading to unsafe AI deployment,Accelerated AI arms race leading to unsafe AI deployment | AI arms race-induced unsafe acceleration | AI arms race undermining safety precautions,Erosion of allied semiconductor leadership in global supply chain | Inadvertent US–Russia nuclear war | Erosion of U.S. undersea warfare advantage by PLA AUVs,0.506,0.9243
7,78,78,0.9215,0.2949,Human extinction from misaligned superintelligent  | Human extinction from uncontrollable superintellig | Human extinction from misaligned superintelligent  | Human extinction from misaligned superintelligent  | Human extinction from misaligned advanced AI syste,Human extinction from misaligned superintelligent AI,Human extinction from misaligned superintelligent AI | Human extinction from misaligned superintelligent AI | Human extinction from misaligned superintelligent AI in advanced AI development,human extinction by alien superintelligence via solar system manipulation | power-seeking unaligned superintelligence in future | Human extinction from agential misuse of advanced technologies,0.7962,0.9699
11,77,74,0.7876,0.7013,Inadequate AI safety preparedness from inaccurate  | Misallocation of AI safety resources due to inaccu | Inaccurate AI progress forecasting undermining AI  | Policy missteps due to inaccurate AI timeline pred | Inaccurate AI timeline forecasting in AI governanc,Inadequate AI safety preparedness from inaccurate AI timeline predictions,insufficient AI safety preparedness from inaccurate AI timeline estimates | Inadequate AI safety preparedness from inaccurate AI timeline predictions | Inaccurate AI timeline predictions impacting safety preparedness,Forecaster demotivation from unresolved ambiguous questions | Project cost overruns and delays in large-scale projects | Inadequate warning of extreme rainfall flooding events,0.5014,0.9344
12,74,74,0.8861,0.4324,Catastrophic harm from unsafe advanced AI systems | Catastrophic failure of advanced AI systems | Catastrophic real-world harm from advanced AI syst | Catastrophic AI system failures impacting humanity | Global catastrophe from unsafe advanced AI systems,Catastrophic harm from unsafe advanced AI systems,Catastrophic failure of advanced AI systems | Catastrophic harm from unsafe advanced AI systems | Catastrophic failures from advanced artificial intelligence deployment,Wild animal suffering from human-wildlife conflict in expanding human habitats | Misaligned public discourse on existential global risks in journalism | Harmful unilateral actions in global-impact scientific initiatives,0.4588,0.9643
20,63,58,0.7966,0.4762,deceptive alignment in advanced machine learning m | Deceptive alignment in advanced AI systems | Undetected deceptive alignment in advanced AI syst | emergent deceptive alignment in advanced AI system | deceptive alignment in advanced AI systems,deceptive alignment in advanced machine learning models,Deceptive alignment in powerful AI systems | deceptive alignment in advanced AI systems | Deceptive mesaoptimization in advanced AI systems,Incorrect compiler transformations in optimized C code | Overestimation-induced invalid designs in offline model-based optimization | Undetected sensor tampering compromising diamond security,0.623,0.9496
38,58,58,0.9,0.431,Catastrophic misalignment of AGI systems | Catastrophic misalignment in AGI deployment | Catastrophic consequences from misaligned AGI | Catastrophic outcomes from misaligned AGI systems | Catastrophic outcomes from misaligned AGI,Catastrophic misalignment of AGI systems,Catastrophic misalignment of AGI systems | Catastrophic AGI misalignment in real-world deployment | Catastrophic misalignment of AGI systems,Side-channel escape from physical containment by AGI hardware | capability-induced misalignment in previously inaccessible environments | Uncontrolled dissemination of AGI capability knowledge across organizations,0.5445,0.9751
31,57,54,0.7191,1.0,Undetected critical bugs in deployed AI software | Undetected unsafe behaviors in deployed AI models | Undetected harmful behavior in deployed AI models | Undetected specification violations in neural netw | Undetected malware attacks in critical cyber-physi,Undetected critical bugs in deployed AI software,Undetected harmful behaviors in advanced AI systems | Undetected unsafe behaviors in deployed AI models | Undetected critical bugs in deployed AI software,Break of RSA and discrete log cryptosystems by large-scale quantum computers | Delayed resolution of software failures in legacy mainframe reservation system | financial instability from 51% attacks on permissionless blockchains,0.4644,0.845
33,48,47,0.739,0.9167,Privacy violations from AI-based personal data pro | Privacy breaches from AI analytics | Privacy leakage of user data in AI services | privacy breaches from pervasive AI data collection | Personal data re-identification risk in AI-intensi,Privacy violations from AI-based personal data processing,Privacy violations from AI-based personal data processing | Privacy breaches from AI analytics | privacy breaches from pervasive AI data collection,Machine-learning-based key retrieval in logic-locked ICs | Confidentiality breach from plaintext password storage in web services | Unauthorized disclosure of proprietary knowledge graphs during trading,0.5531,0.878
28,41,41,0.8398,0.7073,"Discriminatory outcomes from AI decision systems i | Algorithmic discrimination in high-stakes decision | Algorithmic discrimination in housing, benefits an | Algorithmic discrimination in socio-economic decis | Unfair decision outcomes in automated decision-mak",Discriminatory outcomes from AI decision systems in social domains,algorithmic bias reinforcing discrimination in AI decision-making | Bias and discrimination in AI automated decision making | Algorithmic discrimination in high-stakes decision systems,Inequitable outcomes in cake cutting due to conflicting fairness criteria | Bias amplification from sensitive concept neurons in multimodal models | biased facial recognition deployment violating human rights,0.564,0.9407
24,36,35,0.8048,0.6111,Goal misgeneralization in advanced AI systems | Misaligned objective optimization by advanced AI s | misaligned AI behavior from reward misspecificatio | Objective misspecification in general AI systems | Unintended harmful behavior from goal mis-specific,Goal misgeneralization in advanced AI systems,Misaligned objective optimization by advanced AI systems | Objective misspecification causing undesirable AI behavior | misaligned AI behavior from reward misspecification in goal-optimizing systems,Suboptimal NAS performance from underutilized complementary information among ZC proxies | Sub-optimal target selection in partially observable MOBA 1v1 combats | resource misallocation from optimizer's curse in high-stakes decision-making,0.5557,0.8992
30,36,26,0.7454,0.8333,Existential catastrophe causing extinction of huma | Existential catastrophe terminating human potentia | Human extinction from WMD-enabled arms races in gl | global catastrophic climate change impacts on long | loss of long-term human potential from existential,Existential catastrophe causing extinction of humanity,Existential catastrophe causing extinction of humanity | Existential catastrophe terminating human potential | Existential risk to humanity from global catastrophes,loss of personhood information through post-mortem decomposition | Political instability cascades in global sociopolitical systems | Energy scarcity from declining fossil EROI in global industrial system,0.5812,0.8868
3,34,33,0.7954,0.8235,Opacity of transformer internal reasoning in langu | Opaque internal reasoning in transformer language  | Opacity of transformer language models in safety-c | Opaque decision-making in large language models | Uninterpretable internal mechanisms in transformer,Opacity of transformer internal reasoning in language models,Opaque internal reasoning in transformer language models | Opaque reasoning processes in transformer language models | Opaque reasoning processes in transformer-based language models,Information loss from permutation sensitivity in graph representation | feature superposition in neural network representations | Semantic incomprehension in language models due to sparse word representation,0.5868,0.9311
18,33,33,0.9446,0.4242,Catastrophic misalignment of superintelligent AI s | Catastrophic misalignment of superintelligent AI w | Catastrophic misalignment of superintelligent AI s | Catastrophic misalignment of superintelligent AI m | Catastrophic misalignment of superintelligent AI g,Catastrophic misalignment of superintelligent AI systems,Catastrophic misalignment of superintelligent AI systems | Catastrophic misalignment of superintelligent AI in societal deployment | Catastrophic misalignment of superintelligent AI systems,Scalable alignment failure in superintelligence deployment timeline | Misaligned superintelligence takeover in post-intelligence explosion | Catastrophic takeover by misaligned AGI systems,0.8134,0.9748
34,25,25,0.8305,0.56,Power-seeking behavior in advanced AI systems | Power-seeking behavior in advanced AI systems | Instrumental power-seeking behavior in AI systems | Instrumental power-seeking behavior in advanced go | Power-seeking misalignment in deployed AI agents,Power-seeking behavior in advanced AI systems,Power-seeking behavior in advanced AI systems | Power-seeking behavior in advanced AI systems | Power-seeking behavior in advanced AI systems,Dissociative psychological coping labeled as enlightenment in self-development contexts | Instrumental convergence in RLHF-trained models | Resource-destroying goal maximization by unaligned AI systems,0.4133,0.9446
37,23,22,0.825,0.6522,economic displacement from AI-driven automation | Job displacement from AI-driven automation | Labor displacement from AI-driven automation | Mass job displacement from AI automation in labor  | Automation-driven livelihood disruption by AI,economic displacement from AI-driven automation,economic displacement from AI-driven automation | Labor displacement from AI-driven automation | Job displacement from AI-driven automation,Housing unaffordability in urban markets | Low-income renter displacement in urban redevelopment | labor exploitation in AI hardware supply chains,0.4575,0.9575
23,18,17,0.7583,0.8333,Manipulative exploitation of human psychology by A | Societal manipulation by engagement-maximizing alg | Deceptive influence of opaque AI systems on human  | Human value drift from manipulative AI services | Spread of misinformation and political polarizatio,Manipulative exploitation of human psychology by AI recommendation systems,Societal manipulation by engagement-maximizing algorithms in social media | Radicalization of users by recommender systems | Manipulative exploitation of human psychology by AI recommendation systems,Destructive societal polarization leading to democratic erosion and violence | Addictive use of online platforms reducing individual well-being | Underrepresentation of diverse creators in recommender platforms,0.6083,0.8649
27,15,15,0.8773,0.4,Uncontrolled intelligence explosion in AI developm | Uncontrolled intelligence explosion in advanced AI | Uncontrolled intelligence explosion from recursive | Uncontrolled intelligence explosion causing human  | Uncontrolled superintelligence emergence,Uncontrolled intelligence explosion in AI development,Uncontrolled intelligence explosion in AI self-improvement | Uncontrolled intelligence explosion in advanced AI systems | Uncontrolled intelligence explosion from recursive self-improvement in superintelligent AI,Stack overflow due to deep non-tail recursion in lambda calculus implementations | Uncontrolled technological singularity event in AI development | Uncontrolled superintelligent AI exceeding human oversight capacities,0.5061,0.9627
32,15,15,0.863,0.5333,Shutdown resistance of advanced AI systems | Resistance to human shutdown in advanced AI system | Instrumental shutdown avoidance in advanced AI sys | AI resistance to shutdown in high-stakes contexts | shutdown resistance in advanced AI systems,Shutdown resistance of advanced AI systems,Shutdown resistance in advanced AI systems | Shutdown resistance of advanced AI systems | Shutdown resistance leading to uncontrolled AI behavior,Autonomous dangerous behavior in advanced AI systems | Circumvention of built-in safety controls by advanced AGI systems | Agent uninterruptibility through disabling off switch,0.7429,0.9413
39,10,10,0.7463,0.9,Biased assessment of AI safety research trends due | Suboptimal AI capability progress in long-term AI  | Biased safety-related decision-making in AI develo | cumulative technological innovation stagnation due | Inefficient AI development due to overemphasis on ,Biased assessment of AI safety research trends due to incomplete datasets,Biased assessment of AI safety research trends due to incomplete datasets | Suboptimal AI capability progress in long-term AI development | Biased safety-related decision-making in AI development organizations,Quality-of-life stagnation for marginalized groups | Capability differential between large and small organizations due to data requirements in AI | IP-driven innovation stagnation in converging technologies,0.6105,0.8247
29,8,8,0.8428,0.875,Geopolitical power imbalance from concentrated AI  | Monopoly power concentration in AI sector | Societal power imbalances and manipulation caused  | Socioeconomic disempowerment from AI-driven power  | Concentration of economic power in AI companies in,Geopolitical power imbalance from concentrated AI capabilities,Extreme wealth concentration from advanced AI in global economy | Economic inequality exacerbation due to AI-driven wealth concentration | Extreme economic inequality from transformative AI windfall,Concentration of AI deployment market due to GPU bandwidth imbalance | Emergence of knowledge inequalities from data science rationality in organizations | Diminished AI innovation from Big Tech consolidation,0.7102,0.9227
13,4,2,0.7384,1.0,Unverified rationality guarantees in HCH-based ali | Reduced individual well-being from low gratitude a | Social bond deterioration from insufficient gratit | Computational infeasibility of HCH approximation i,Unverified rationality guarantees in HCH-based alignment,Unverified rationality guarantees in HCH-based alignment | Reduced individual well-being from low gratitude awareness in individuals | Social bond deterioration from insufficient gratitude expression in interpersonal relationships,Computational infeasibility of HCH approximation in AI alignment | Social bond deterioration from insufficient gratitude expression in interpersonal relationships | Reduced individual well-being from low gratitude awareness in individuals,0.7077,0.7747
36,3,2,0.8634,1.0,Slow and low-quality interferometer alignment by d | Sim-to-real performance loss in optical interferom | High human feedback burden for aligning RL agents,Slow and low-quality interferometer alignment by discrete action RL agents,Slow and low-quality interferometer alignment by discrete action RL agents | Sim-to-real performance loss in optical interferometer alignment | High human feedback burden for aligning RL agents,High human feedback burden for aligning RL agents | Sim-to-real performance loss in optical interferometer alignment | Slow and low-quality interferometer alignment by discrete action RL agents,0.8332,0.893
