cluster_id,n_nodes,n_sources,centroid_sim_mean,edge_only_path_fraction,top5_names,top_node_name
15,101,95,0.7853,0.7624,Opaque decision-making in deep neural networks | Opaque decision-making in deep neural networks dep | Opaque decision-making processes in machine learni | Opaque decision processes in neural networks | Opaque decision-making in deep learning models,Opaque decision-making in deep neural networks
19,99,97,0.8501,0.404,Loss of human control over advanced AI systems | Human disempowerment by unaligned advanced AI syst | Human disempowerment by power-seeking advanced AI  | Disempowerment of humanity by misaligned power-see | loss of human control by superintelligent AI,Loss of human control over advanced AI systems
35,96,94,0.8682,0.5417,Value misalignment in advanced AI systems | objective misalignment in advanced AI systems | Goal misalignment in advanced AI systems | Value misalignment in advanced AI systems | Misalignment of AI systems with human values,Value misalignment in advanced AI systems
1,93,86,0.7702,0.6882,Catastrophic misuse of frontier AI capabilities by | Catastrophic misuse of advanced AI technologies by | Malicious misuse of advanced AI technologies | Catastrophic misuse of advanced AI models | Malicious use of frontier AI capabilities by non-s,Catastrophic misuse of frontier AI capabilities by malicious actors
2,88,82,0.7686,0.6818,Accelerated AI arms race leading to unsafe AI depl | Destabilizing AI arms race between great powers | AI arms race undermining safety precautions | Destabilizing AI arms race between governments | Safety degradation from AI capability arms race,Accelerated AI arms race leading to unsafe AI deployment
7,78,78,0.9215,0.2949,Human extinction from misaligned superintelligent  | Human extinction from uncontrollable superintellig | Human extinction from misaligned superintelligent  | Human extinction from misaligned superintelligent  | Human extinction from misaligned advanced AI syste,Human extinction from misaligned superintelligent AI
11,77,74,0.7876,0.7013,Inadequate AI safety preparedness from inaccurate  | Misallocation of AI safety resources due to inaccu | Inaccurate AI progress forecasting undermining AI  | Policy missteps due to inaccurate AI timeline pred | Inaccurate AI timeline forecasting in AI governanc,Inadequate AI safety preparedness from inaccurate AI timeline predictions
12,74,74,0.8861,0.4324,Catastrophic harm from unsafe advanced AI systems | Catastrophic failure of advanced AI systems | Catastrophic real-world harm from advanced AI syst | Catastrophic AI system failures impacting humanity | Global catastrophe from unsafe advanced AI systems,Catastrophic harm from unsafe advanced AI systems
20,63,58,0.7966,0.4762,deceptive alignment in advanced machine learning m | Deceptive alignment in advanced AI systems | Undetected deceptive alignment in advanced AI syst | emergent deceptive alignment in advanced AI system | deceptive alignment in advanced AI systems,deceptive alignment in advanced machine learning models
38,58,58,0.9,0.431,Catastrophic misalignment of AGI systems | Catastrophic misalignment in AGI deployment | Catastrophic consequences from misaligned AGI | Catastrophic outcomes from misaligned AGI systems | Catastrophic outcomes from misaligned AGI,Catastrophic misalignment of AGI systems
31,57,54,0.7191,1.0,Undetected critical bugs in deployed AI software | Undetected unsafe behaviors in deployed AI models | Undetected harmful behavior in deployed AI models | Undetected specification violations in neural netw | Undetected malware attacks in critical cyber-physi,Undetected critical bugs in deployed AI software
33,48,47,0.739,0.9167,Privacy violations from AI-based personal data pro | Privacy breaches from AI analytics | Privacy leakage of user data in AI services | privacy breaches from pervasive AI data collection | Personal data re-identification risk in AI-intensi,Privacy violations from AI-based personal data processing
28,41,41,0.8398,0.7073,"Discriminatory outcomes from AI decision systems i | Algorithmic discrimination in high-stakes decision | Algorithmic discrimination in housing, benefits an | Algorithmic discrimination in socio-economic decis | Unfair decision outcomes in automated decision-mak",Discriminatory outcomes from AI decision systems in social domains
24,36,35,0.8048,0.6111,Goal misgeneralization in advanced AI systems | Misaligned objective optimization by advanced AI s | misaligned AI behavior from reward misspecificatio | Objective misspecification in general AI systems | Unintended harmful behavior from goal mis-specific,Goal misgeneralization in advanced AI systems
30,36,26,0.7454,0.8333,Existential catastrophe causing extinction of huma | Existential catastrophe terminating human potentia | Human extinction from WMD-enabled arms races in gl | global catastrophic climate change impacts on long | loss of long-term human potential from existential,Existential catastrophe causing extinction of humanity
3,34,33,0.7954,0.8235,Opacity of transformer internal reasoning in langu | Opaque internal reasoning in transformer language  | Opacity of transformer language models in safety-c | Opaque decision-making in large language models | Uninterpretable internal mechanisms in transformer,Opacity of transformer internal reasoning in language models
18,33,33,0.9446,0.4242,Catastrophic misalignment of superintelligent AI s | Catastrophic misalignment of superintelligent AI w | Catastrophic misalignment of superintelligent AI s | Catastrophic misalignment of superintelligent AI m | Catastrophic misalignment of superintelligent AI g,Catastrophic misalignment of superintelligent AI systems
34,25,25,0.8305,0.56,Power-seeking behavior in advanced AI systems | Power-seeking behavior in advanced AI systems | Instrumental power-seeking behavior in AI systems | Instrumental power-seeking behavior in advanced go | Power-seeking misalignment in deployed AI agents,Power-seeking behavior in advanced AI systems
37,23,22,0.825,0.6522,economic displacement from AI-driven automation | Job displacement from AI-driven automation | Labor displacement from AI-driven automation | Mass job displacement from AI automation in labor  | Automation-driven livelihood disruption by AI,economic displacement from AI-driven automation
23,18,17,0.7583,0.8333,Manipulative exploitation of human psychology by A | Societal manipulation by engagement-maximizing alg | Deceptive influence of opaque AI systems on human  | Human value drift from manipulative AI services | Spread of misinformation and political polarizatio,Manipulative exploitation of human psychology by AI recommendation systems
27,15,15,0.8773,0.4,Uncontrolled intelligence explosion in AI developm | Uncontrolled intelligence explosion in advanced AI | Uncontrolled intelligence explosion from recursive | Uncontrolled intelligence explosion causing human  | Uncontrolled superintelligence emergence,Uncontrolled intelligence explosion in AI development
32,15,15,0.863,0.5333,Shutdown resistance of advanced AI systems | Resistance to human shutdown in advanced AI system | Instrumental shutdown avoidance in advanced AI sys | AI resistance to shutdown in high-stakes contexts | shutdown resistance in advanced AI systems,Shutdown resistance of advanced AI systems
39,10,10,0.7463,0.9,Biased assessment of AI safety research trends due | Suboptimal AI capability progress in long-term AI  | Biased safety-related decision-making in AI develo | cumulative technological innovation stagnation due | Inefficient AI development due to overemphasis on ,Biased assessment of AI safety research trends due to incomplete datasets
29,8,8,0.8428,0.875,Geopolitical power imbalance from concentrated AI  | Monopoly power concentration in AI sector | Societal power imbalances and manipulation caused  | Socioeconomic disempowerment from AI-driven power  | Concentration of economic power in AI companies in,Geopolitical power imbalance from concentrated AI capabilities
13,4,2,0.7384,1.0,Unverified rationality guarantees in HCH-based ali | Reduced individual well-being from low gratitude a | Social bond deterioration from insufficient gratit | Computational infeasibility of HCH approximation i,Unverified rationality guarantees in HCH-based alignment
36,3,2,0.8634,1.0,Slow and low-quality interferometer alignment by d | Sim-to-real performance loss in optical interferom | High human feedback burden for aligning RL agents,Slow and low-quality interferometer alignment by discrete action RL agents
