risk_cid,bfamily_id,n_paths_r2c,interv_cid,n_paths_c2i,n_triplet_paths,risk_name,chain_name,interv_name
25,8,154,11,362,154,Misaligned Superintelligent AI Existential Risk,Grant-funded AI safety talent pipeline,Public AI risk outreach and educational dissemination
25,8,154,8,316,154,Misaligned Superintelligent AI Existential Risk,Grant-funded AI safety talent pipeline,Expand AI Safety Research Funding and Capacity
10,11,150,33,222,150,Existential catastrophe from misaligned AI,Behavior shaping via reflective alignment prompting,Deployment-time prompt engineering for aligned behavior
10,11,150,27,222,150,Existential catastrophe from misaligned AI,Behavior shaping via reflective alignment prompting,KL-Regularized RLHF Fine-Tuning
16,10,147,8,517,147,Insufficient AI safety research capacity,Funding-driven growth of AI safety research capacity,Expand AI Safety Research Funding and Capacity
25,11,146,33,222,146,Misaligned Superintelligent AI Existential Risk,Behavior shaping via reflective alignment prompting,Deployment-time prompt engineering for aligned behavior
21,7,146,8,729,146,Catastrophic AI misalignment and loss of control,Expanding AI safety research and implementation capacity,Expand AI Safety Research Funding and Capacity
25,11,146,27,222,146,Misaligned Superintelligent AI Existential Risk,Behavior shaping via reflective alignment prompting,KL-Regularized RLHF Fine-Tuning
26,30,144,8,149,144,Misaligned AGI existential catastrophe,Expanding alignment research capacity and skill,Expand AI Safety Research Funding and Capacity
2,52,144,8,215,144,AI arms race causing unsafe deployment,,Expand AI Safety Research Funding and Capacity
26,30,144,11,149,144,Misaligned AGI existential catastrophe,Expanding alignment research capacity and skill,Public AI risk outreach and educational dissemination
21,14,142,8,399,142,Catastrophic AI misalignment and loss of control,Capacity-building through funded safety talent and oversight,Expand AI Safety Research Funding and Capacity
21,2,138,8,1210,138,Catastrophic AI misalignment and loss of control,AI safety research funding and capacity building,Expand AI Safety Research Funding and Capacity
10,15,138,39,394,138,Existential catastrophe from misaligned AI,Compute chokepoints enabling scalable governance,Export controls on advanced AI hardware
26,4,136,4,894,136,Misaligned AGI existential catastrophe,Corrigible transparency and secure oversight mechanisms,Pre-deployment safety gates and controlled release
10,39,133,8,263,133,Existential catastrophe from misaligned AI,Risk forecasting drives elite cost-benefit action,Expand AI Safety Research Funding and Capacity
26,7,131,8,729,131,Misaligned AGI existential catastrophe,Expanding AI safety research and implementation capacity,Expand AI Safety Research Funding and Capacity
25,18,130,24,189,130,Misaligned Superintelligent AI Existential Risk,Human feedback reward-model alignment learning,RLHF fine-tuning for aligned language models
25,18,130,35,190,130,Misaligned Superintelligent AI Existential Risk,Human feedback reward-model alignment learning,Human-preference reward model fine-tuning
25,10,129,8,517,129,Misaligned Superintelligent AI Existential Risk,Funding-driven growth of AI safety research capacity,Expand AI Safety Research Funding and Capacity
10,12,128,8,429,128,Existential catastrophe from misaligned AI,Building AI safety capacity through funded training,Expand AI Safety Research Funding and Capacity
10,53,128,8,220,128,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
16,2,127,8,1210,127,Insufficient AI safety research capacity,AI safety research funding and capacity building,Expand AI Safety Research Funding and Capacity
10,24,127,6,255,127,Existential catastrophe from misaligned AI,Adversarial robustness training via optimized perturbations,PGD Adversarial Training for Robust Fine-Tuning
10,40,126,11,260,126,Existential catastrophe from misaligned AI,,Public AI risk outreach and educational dissemination
10,16,125,17,391,125,Existential catastrophe from misaligned AI,Utility-shaping and power-seeking mitigation mechanisms,Runtime control and coordination modules
18,0,125,8,6678,125,Catastrophic Superintelligent AI Misalignment,Funding and training to build AI safety capacity,Expand AI Safety Research Funding and Capacity
18,0,125,11,264,125,Catastrophic Superintelligent AI Misalignment,Funding and training to build AI safety capacity,Public AI risk outreach and educational dissemination
20,76,125,8,168,125,Deceptive alignment and hidden objectives,,Expand AI Safety Research Funding and Capacity
25,48,124,35,229,124,Misaligned Superintelligent AI Existential Risk,,Human-preference reward model fine-tuning
21,4,122,4,894,122,Catastrophic AI misalignment and loss of control,Corrigible transparency and secure oversight mechanisms,Pre-deployment safety gates and controlled release
10,26,120,8,323,120,Existential catastrophe from misaligned AI,Funding-driven expansion of AI safety capacity,Expand AI Safety Research Funding and Capacity
10,37,120,1,265,120,Existential catastrophe from misaligned AI,Governance-enabled safety capacity escalation,Continuous anomaly monitoring and safety tripwires
10,46,119,6,163,119,Existential catastrophe from misaligned AI,,PGD Adversarial Training for Robust Fine-Tuning
6,0,117,8,6678,117,Reward Misspecification and Reward Hacking,Funding and training to build AI safety capacity,Expand AI Safety Research Funding and Capacity
6,0,117,11,264,117,Reward Misspecification and Reward Hacking,Funding and training to build AI safety capacity,Public AI risk outreach and educational dissemination
10,28,116,8,320,116,Existential catastrophe from misaligned AI,Governance capacity building via safety infrastructure,Expand AI Safety Research Funding and Capacity
10,27,116,8,320,116,Existential catastrophe from misaligned AI,Scaling safety capacity through transparent expert oversight,Expand AI Safety Research Funding and Capacity
16,117,116,6,120,116,Insufficient AI safety research capacity,,PGD Adversarial Training for Robust Fine-Tuning
10,83,115,15,162,115,Existential catastrophe from misaligned AI,,Pre-deployment mechanistic interpretability audits
10,79,115,1,166,115,Existential catastrophe from misaligned AI,,Continuous anomaly monitoring and safety tripwires
10,17,115,10,371,115,Existential catastrophe from misaligned AI,Global governance enables coordinated AI safety controls,Governed AI oversight and compliance regimes
10,82,115,1,162,115,Existential catastrophe from misaligned AI,,Continuous anomaly monitoring and safety tripwires
10,21,114,35,175,114,Existential catastrophe from misaligned AI,Preventing reward hacking through robust evaluation,Human-preference reward model fine-tuning
10,21,114,5,175,114,Existential catastrophe from misaligned AI,Preventing reward hacking through robust evaluation,Pre-deployment adversarial red-teaming and robustness testing
10,25,113,39,325,113,Existential catastrophe from misaligned AI,Compute supply chain controls for AI governance,Export controls on advanced AI hardware
10,14,112,8,399,112,Existential catastrophe from misaligned AI,Capacity-building through funded safety talent and oversight,Expand AI Safety Research Funding and Capacity
10,32,110,26,281,110,Existential catastrophe from misaligned AI,Adversarial robustness training and optimization,Reward-guided RL fine-tuning with safety constraints
10,42,110,5,248,110,Existential catastrophe from misaligned AI,,Pre-deployment adversarial red-teaming and robustness testing
10,81,110,8,164,110,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
10,97,109,1,146,109,Existential catastrophe from misaligned AI,,Continuous anomaly monitoring and safety tripwires
10,38,108,4,264,108,Existential catastrophe from misaligned AI,Elite risk salience enabling safety capacity building,Pre-deployment safety gates and controlled release
26,35,108,24,271,108,Misaligned AGI existential catastrophe,Human-feedback reward modeling for alignment,RLHF fine-tuning for aligned language models
21,51,108,15,113,108,Catastrophic AI misalignment and loss of control,,Pre-deployment mechanistic interpretability audits
21,51,108,8,113,108,Catastrophic AI misalignment and loss of control,,Expand AI Safety Research Funding and Capacity
10,23,106,8,337,106,Existential catastrophe from misaligned AI,Funding and expert consensus for AI safety capacity,Expand AI Safety Research Funding and Capacity
12,6,103,6,662,103,Catastrophic risks from misaligned advanced AI,Adversarial robustness through PGD training,PGD Adversarial Training for Robust Fine-Tuning
10,60,102,15,201,102,Existential catastrophe from misaligned AI,,Pre-deployment mechanistic interpretability audits
25,7,101,8,729,101,Misaligned Superintelligent AI Existential Risk,Expanding AI safety research and implementation capacity,Expand AI Safety Research Funding and Capacity
10,22,101,26,342,101,Existential catastrophe from misaligned AI,Preference learning and reward alignment mechanisms,Reward-guided RL fine-tuning with safety constraints
10,49,101,8,228,101,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
26,11,100,27,222,100,Misaligned AGI existential catastrophe,Behavior shaping via reflective alignment prompting,KL-Regularized RLHF Fine-Tuning
26,11,100,33,222,100,Misaligned AGI existential catastrophe,Behavior shaping via reflective alignment prompting,Deployment-time prompt engineering for aligned behavior
10,71,100,35,178,100,Existential catastrophe from misaligned AI,,Human-preference reward model fine-tuning
10,98,96,35,146,96,Existential catastrophe from misaligned AI,,Human-preference reward model fine-tuning
10,104,96,4,135,96,Existential catastrophe from misaligned AI,,Pre-deployment safety gates and controlled release
16,1,96,11,277,96,Insufficient AI safety research capacity,Funding and consensus-building for AI safety capacity,Public AI risk outreach and educational dissemination
16,1,96,8,1372,96,Insufficient AI safety research capacity,Funding and consensus-building for AI safety capacity,Expand AI Safety Research Funding and Capacity
10,44,95,24,239,95,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
21,41,95,35,245,95,Catastrophic AI misalignment and loss of control,,Human-preference reward model fine-tuning
10,59,95,11,208,95,Existential catastrophe from misaligned AI,,Public AI risk outreach and educational dissemination
10,112,94,4,126,94,Existential catastrophe from misaligned AI,,Pre-deployment safety gates and controlled release
10,13,93,8,403,93,Existential catastrophe from misaligned AI,Grant-driven expansion of AI safety research,Expand AI Safety Research Funding and Capacity
9,10,93,8,517,93,Deployed AI Misalignment Causes Societal Harm,Funding-driven growth of AI safety research capacity,Expand AI Safety Research Funding and Capacity
10,67,92,4,184,92,Existential catastrophe from misaligned AI,,Pre-deployment safety gates and controlled release
10,19,92,35,377,92,Existential catastrophe from misaligned AI,Human feedback reward-model alignment,Human-preference reward model fine-tuning
10,43,91,39,246,91,Existential catastrophe from misaligned AI,,Export controls on advanced AI hardware
10,47,89,32,228,89,Existential catastrophe from misaligned AI,,Attainable Utility Preservation reward penalty
16,137,89,24,95,89,Insufficient AI safety research capacity,,RLHF fine-tuning for aligned language models
26,106,86,5,135,86,Misaligned AGI existential catastrophe,,Pre-deployment adversarial red-teaming and robustness testing
21,20,86,35,360,86,Catastrophic AI misalignment and loss of control,Human-feedback alignment and goal specification,Human-preference reward model fine-tuning
10,110,86,24,126,86,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
10,51,86,15,113,86,Existential catastrophe from misaligned AI,,Pre-deployment mechanistic interpretability audits
10,51,86,8,113,86,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
20,102,85,8,134,85,Deceptive alignment and hidden objectives,,Expand AI Safety Research Funding and Capacity
10,50,84,8,227,84,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
10,57,83,5,211,83,Existential catastrophe from misaligned AI,,Pre-deployment adversarial red-teaming and robustness testing
10,33,83,35,274,83,Existential catastrophe from misaligned AI,Human feedback reward modeling for alignment,Human-preference reward model fine-tuning
10,31,82,35,288,82,Existential catastrophe from misaligned AI,Human-feedback reward modeling for objective alignment,Human-preference reward model fine-tuning
26,9,82,8,538,82,Misaligned AGI existential catastrophe,AI safety capacity building via funding and fellowships,Expand AI Safety Research Funding and Capacity
10,55,82,18,141,82,Existential catastrophe from misaligned AI,,Critique-guided fine-tuning and human feedback
10,66,81,35,189,81,Existential catastrophe from misaligned AI,,Human-preference reward model fine-tuning
25,38,81,4,264,81,Misaligned Superintelligent AI Existential Risk,Elite risk salience enabling safety capacity building,Pre-deployment safety gates and controlled release
26,88,81,24,157,81,Misaligned AGI existential catastrophe,,RLHF fine-tuning for aligned language models
10,56,80,31,213,80,Existential catastrophe from misaligned AI,,Human-AI collaboration tools for skill building
25,65,79,32,191,79,Misaligned Superintelligent AI Existential Risk,,Attainable Utility Preservation reward penalty
26,31,79,35,288,79,Misaligned AGI existential catastrophe,Human-feedback reward modeling for objective alignment,Human-preference reward model fine-tuning
26,17,79,10,371,79,Misaligned AGI existential catastrophe,Global governance enables coordinated AI safety controls,Governed AI oversight and compliance regimes
26,95,79,4,148,79,Misaligned AGI existential catastrophe,,Pre-deployment safety gates and controlled release
10,69,79,24,180,79,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
25,64,79,8,193,79,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
10,48,79,35,229,79,Existential catastrophe from misaligned AI,,Human-preference reward model fine-tuning
35,160,78,24,78,78,Advanced AI value misalignment risk,,RLHF fine-tuning for aligned language models
25,91,78,8,150,78,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
10,75,78,8,174,78,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
26,3,78,5,300,78,Misaligned AGI existential catastrophe,Robust reward learning and specification gaming,Pre-deployment adversarial red-teaming and robustness testing
26,3,78,19,600,78,Misaligned AGI existential catastrophe,Robust reward learning and specification gaming,Demonstration-Based Policy Pretraining
21,9,78,8,538,78,Catastrophic AI misalignment and loss of control,AI safety capacity building via funding and fellowships,Expand AI Safety Research Funding and Capacity
26,62,78,39,197,78,Misaligned AGI existential catastrophe,,Export controls on advanced AI hardware
10,126,77,5,110,77,Existential catastrophe from misaligned AI,,Pre-deployment adversarial red-teaming and robustness testing
25,47,77,32,228,77,Misaligned Superintelligent AI Existential Risk,,Attainable Utility Preservation reward penalty
17,6,77,6,662,77,Adversarial Image Classification Misclassification,Adversarial robustness through PGD training,PGD Adversarial Training for Robust Fine-Tuning
25,58,77,10,211,77,Misaligned Superintelligent AI Existential Risk,,Governed AI oversight and compliance regimes
10,10,76,8,517,76,Existential catastrophe from misaligned AI,Funding-driven growth of AI safety research capacity,Expand AI Safety Research Funding and Capacity
26,74,75,29,175,75,Misaligned AGI existential catastrophe,,"Neuroscience validation platforms for cognition, emulation, and alignment research"
21,12,75,8,429,75,Catastrophic AI misalignment and loss of control,Building AI safety capacity through funded training,Expand AI Safety Research Funding and Capacity
25,33,75,35,274,75,Misaligned Superintelligent AI Existential Risk,Human feedback reward modeling for alignment,Human-preference reward model fine-tuning
26,73,75,29,175,75,Misaligned AGI existential catastrophe,,"Neuroscience validation platforms for cognition, emulation, and alignment research"
10,45,75,11,232,75,Existential catastrophe from misaligned AI,,Public AI risk outreach and educational dissemination
25,23,75,8,337,75,Misaligned Superintelligent AI Existential Risk,Funding and expert consensus for AI safety capacity,Expand AI Safety Research Funding and Capacity
25,12,75,8,429,75,Misaligned Superintelligent AI Existential Risk,Building AI safety capacity through funded training,Expand AI Safety Research Funding and Capacity
16,154,74,4,82,74,Insufficient AI safety research capacity,,Pre-deployment safety gates and controlled release
10,6,265,5,74,74,Existential catastrophe from misaligned AI,Adversarial robustness through PGD training,Pre-deployment adversarial red-teaming and robustness testing
17,6,77,5,74,74,Adversarial Image Classification Misclassification,Adversarial robustness through PGD training,Pre-deployment adversarial red-teaming and robustness testing
12,6,103,5,74,74,Catastrophic risks from misaligned advanced AI,Adversarial robustness through PGD training,Pre-deployment adversarial red-teaming and robustness testing
26,57,74,5,211,74,Misaligned AGI existential catastrophe,,Pre-deployment adversarial red-teaming and robustness testing
10,64,74,8,193,74,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
26,34,74,15,270,74,Misaligned AGI existential catastrophe,Mechanistic interpretability for hidden model cognition,Pre-deployment mechanistic interpretability audits
26,44,73,24,239,73,Misaligned AGI existential catastrophe,,RLHF fine-tuning for aligned language models
10,68,73,5,182,73,Existential catastrophe from misaligned AI,,Pre-deployment adversarial red-teaming and robustness testing
10,24,127,5,73,73,Existential catastrophe from misaligned AI,Adversarial robustness training via optimized perturbations,Pre-deployment adversarial red-teaming and robustness testing
26,127,73,4,107,73,Misaligned AGI existential catastrophe,,Pre-deployment safety gates and controlled release
26,93,72,8,149,72,Misaligned AGI existential catastrophe,,Expand AI Safety Research Funding and Capacity
21,63,72,8,194,72,Catastrophic AI misalignment and loss of control,,Expand AI Safety Research Funding and Capacity
21,94,72,19,148,72,Catastrophic AI misalignment and loss of control,,Demonstration-Based Policy Pretraining
26,99,72,8,145,72,Misaligned AGI existential catastrophe,,Expand AI Safety Research Funding and Capacity
25,139,72,4,93,72,Misaligned Superintelligent AI Existential Risk,,Pre-deployment safety gates and controlled release
21,17,71,10,371,71,Catastrophic AI misalignment and loss of control,Global governance enables coordinated AI safety controls,Governed AI oversight and compliance regimes
10,90,71,24,153,71,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
16,161,71,10,75,71,Insufficient AI safety research capacity,,Governed AI oversight and compliance regimes
25,16,71,17,391,71,Misaligned Superintelligent AI Existential Risk,Utility-shaping and power-seeking mitigation mechanisms,Runtime control and coordination modules
21,87,70,27,157,70,Catastrophic AI misalignment and loss of control,,KL-Regularized RLHF Fine-Tuning
25,54,70,8,217,70,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
21,96,70,23,147,70,Catastrophic AI misalignment and loss of control,,Human-aware predictive robot control and safety planning
10,55,82,35,70,70,Existential catastrophe from misaligned AI,,Human-preference reward model fine-tuning
21,85,70,4,159,70,Catastrophic AI misalignment and loss of control,,Pre-deployment safety gates and controlled release
20,0,70,11,264,70,Deceptive alignment and hidden objectives,Funding and training to build AI safety capacity,Public AI risk outreach and educational dissemination
20,0,70,8,6678,70,Deceptive alignment and hidden objectives,Funding and training to build AI safety capacity,Expand AI Safety Research Funding and Capacity
25,56,69,31,213,69,Misaligned Superintelligent AI Existential Risk,,Human-AI collaboration tools for skill building
26,77,69,8,172,69,Misaligned AGI existential catastrophe,,Expand AI Safety Research Funding and Capacity
25,45,69,11,232,69,Misaligned Superintelligent AI Existential Risk,,Public AI risk outreach and educational dissemination
10,62,69,39,197,69,Existential catastrophe from misaligned AI,,Export controls on advanced AI hardware
25,31,68,35,288,68,Misaligned Superintelligent AI Existential Risk,Human-feedback reward modeling for objective alignment,Human-preference reward model fine-tuning
26,105,68,8,135,68,Misaligned AGI existential catastrophe,,Expand AI Safety Research Funding and Capacity
16,130,90,19,68,68,Insufficient AI safety research capacity,,Demonstration-Based Policy Pretraining
25,24,67,6,255,67,Misaligned Superintelligent AI Existential Risk,Adversarial robustness training via optimized perturbations,PGD Adversarial Training for Robust Fine-Tuning
21,6,67,5,74,67,Catastrophic AI misalignment and loss of control,Adversarial robustness through PGD training,Pre-deployment adversarial red-teaming and robustness testing
21,6,67,6,662,67,Catastrophic AI misalignment and loss of control,Adversarial robustness through PGD training,PGD Adversarial Training for Robust Fine-Tuning
25,24,67,5,73,67,Misaligned Superintelligent AI Existential Risk,Adversarial robustness training via optimized perturbations,Pre-deployment adversarial red-teaming and robustness testing
25,32,67,26,281,67,Misaligned Superintelligent AI Existential Risk,Adversarial robustness training and optimization,Reward-guided RL fine-tuning with safety constraints
26,149,67,35,69,67,Misaligned AGI existential catastrophe,,Human-preference reward model fine-tuning
21,34,67,15,270,67,Catastrophic AI misalignment and loss of control,Mechanistic interpretability for hidden model cognition,Pre-deployment mechanistic interpretability audits
21,22,67,26,342,67,Catastrophic AI misalignment and loss of control,Preference learning and reward alignment mechanisms,Reward-guided RL fine-tuning with safety constraints
10,46,119,5,67,67,Existential catastrophe from misaligned AI,,Pre-deployment adversarial red-teaming and robustness testing
21,80,67,35,165,67,Catastrophic AI misalignment and loss of control,,Human-preference reward model fine-tuning
25,89,67,11,155,67,Misaligned Superintelligent AI Existential Risk,,Public AI risk outreach and educational dissemination
26,33,67,35,274,67,Misaligned AGI existential catastrophe,Human feedback reward modeling for alignment,Human-preference reward model fine-tuning
25,50,66,8,227,66,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
25,60,66,15,201,66,Misaligned Superintelligent AI Existential Risk,,Pre-deployment mechanistic interpretability audits
7,3,66,19,600,66,Human extinction from misaligned superintelligent AI,Robust reward learning and specification gaming,Demonstration-Based Policy Pretraining
16,9,66,8,538,66,Insufficient AI safety research capacity,AI safety capacity building via funding and fellowships,Expand AI Safety Research Funding and Capacity
26,69,66,24,180,66,Misaligned AGI existential catastrophe,,RLHF fine-tuning for aligned language models
21,135,66,38,98,66,Catastrophic AI misalignment and loss of control,,Incentivized AI forecasting and prediction systems
21,100,66,5,144,66,Catastrophic AI misalignment and loss of control,,Pre-deployment adversarial red-teaming and robustness testing
26,16,66,17,391,66,Misaligned AGI existential catastrophe,Utility-shaping and power-seeking mitigation mechanisms,Runtime control and coordination modules
7,3,66,5,300,66,Human extinction from misaligned superintelligent AI,Robust reward learning and specification gaming,Pre-deployment adversarial red-teaming and robustness testing
25,103,66,8,138,66,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
16,128,65,8,97,65,Insufficient AI safety research capacity,,Expand AI Safety Research Funding and Capacity
10,89,65,11,155,65,Existential catastrophe from misaligned AI,,Public AI risk outreach and educational dissemination
10,86,65,24,157,65,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
25,66,65,35,189,65,Misaligned Superintelligent AI Existential Risk,,Human-preference reward model fine-tuning
26,101,65,35,129,65,Misaligned AGI existential catastrophe,,Human-preference reward model fine-tuning
21,26,64,8,323,64,Catastrophic AI misalignment and loss of control,Funding-driven expansion of AI safety capacity,Expand AI Safety Research Funding and Capacity
21,68,64,5,182,64,Catastrophic AI misalignment and loss of control,,Pre-deployment adversarial red-teaming and robustness testing
21,72,64,5,177,64,Catastrophic AI misalignment and loss of control,,Pre-deployment adversarial red-teaming and robustness testing
10,54,63,8,217,63,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
21,121,63,25,115,63,Catastrophic AI misalignment and loss of control,,Explainable decision support with uncertainty and counterfactuals
26,116,63,38,122,63,Misaligned AGI existential catastrophe,,Incentivized AI forecasting and prediction systems
21,92,63,35,150,63,Catastrophic AI misalignment and loss of control,,Human-preference reward model fine-tuning
10,30,62,11,149,62,Existential catastrophe from misaligned AI,Expanding alignment research capacity and skill,Public AI risk outreach and educational dissemination
16,178,62,35,64,62,Insufficient AI safety research capacity,,Human-preference reward model fine-tuning
21,107,62,6,128,62,Catastrophic AI misalignment and loss of control,,PGD Adversarial Training for Robust Fine-Tuning
10,58,62,10,211,62,Existential catastrophe from misaligned AI,,Governed AI oversight and compliance regimes
