layer,cluster_id,final_name,category
L2_chain,9,AI safety capacity building via funding and fellowships,field-building
L2_chain,10,Funding-driven growth of AI safety research capacity,field-building
L2_chain,11,Behavior shaping via reflective alignment prompting,other
L2_chain,12,Building AI safety capacity through funded training,technical alignment
L2_chain,13,Grant-driven expansion of AI safety research,other
L2_chain,14,Capacity-building through funded safety talent and oversight,field-building
L2_chain,15,Compute chokepoints enabling scalable governance,oversight & governance
L2_chain,16,Utility-shaping and power-seeking mitigation mechanisms,other
L2_chain,17,Global governance enables coordinated AI safety controls,oversight & governance
L2_chain,18,Human feedback reward-model alignment learning,technical alignment
L2_chain,19,Human feedback reward-model alignment,technical alignment
L2_chain,20,Human-feedback alignment and goal specification,technical alignment
L2_chain,21,Preventing reward hacking through robust evaluation,technical alignment
L2_chain,22,Preference learning and reward alignment mechanisms,technical alignment
L2_chain,23,Funding and expert consensus for AI safety capacity,field-building
L2_chain,24,Adversarial robustness training via optimized perturbations,near-term safety
L2_chain,25,Compute supply chain controls for AI governance,oversight & governance
L2_chain,26,Funding-driven expansion of AI safety capacity,field-building
L2_chain,27,Scaling safety capacity through transparent expert oversight,oversight & governance
L2_chain,28,Governance capacity building via safety infrastructure,oversight & governance
L2_chain,29,Elite-triggered global AI governance coordination,oversight & governance
L2_chain,30,Expanding alignment research capacity and skill,field-building
L2_chain,31,Human-feedback reward modeling for objective alignment,technical alignment
L2_chain,32,Adversarial robustness training and optimization,near-term safety
L2_chain,33,Human feedback reward modeling for alignment,technical alignment
L2_chain,34,Mechanistic interpretability for hidden model cognition,other
L2_chain,35,Human-feedback reward modeling for alignment,technical alignment
L2_chain,36,Funding and capacity-building for AI safety research,field-building
L2_chain,37,Governance-enabled safety capacity escalation,oversight & governance
L2_chain,38,Elite risk salience enabling safety capacity building,other
L2_chain,39,Risk forecasting drives elite cost-benefit action,other
L3_intervention,0,Training-time regularization for robust generalization,training lifecycle
L3_intervention,1,Continuous anomaly monitoring and safety tripwires,training lifecycle
L3_intervention,2,MCTS-Guided RL Planning and Training,training lifecycle
L3_intervention,3,"Efficient, local, and controllable AI hardware deployment",training lifecycle
L3_intervention,4,Pre-deployment safety gates and controlled release,deployment lifecycle
L3_intervention,5,Pre-deployment adversarial red-teaming and robustness testing,training lifecycle
L3_intervention,6,PGD Adversarial Training for Robust Fine-Tuning,training lifecycle
L3_intervention,7,Structured Human and Synthetic Data Collection Pipelines,design lifecycle
L3_intervention,8,Expand AI Safety Research Funding and Capacity,deployment lifecycle
L3_intervention,9,Choose robust model architectures at design time,design lifecycle
L3_intervention,10,Governed AI oversight and compliance regimes,deployment lifecycle
L3_intervention,11,Public AI risk outreach and educational dissemination,deployment lifecycle
L3_intervention,12,Pre-deployment bias auditing and fairness mitigation,training lifecycle
L3_intervention,13,Multi-objective recommender ranking with safety penalties,training lifecycle
L3_intervention,14,Beginner-Friendly AGI Safety Knowledge Infrastructure,deployment lifecycle
L3_intervention,15,Pre-deployment mechanistic interpretability audits,training lifecycle
L3_intervention,16,Ensemble-based uncertainty and robustness mitigation,training lifecycle
L3_intervention,17,Runtime control and coordination modules,training lifecycle
L3_intervention,18,Critique-guided fine-tuning and human feedback,training lifecycle
L3_intervention,19,Demonstration-Based Policy Pretraining,training lifecycle
L3_intervention,20,Uniform Experience Replay for RL Training,training lifecycle
L3_intervention,21,Formal Verification for Pre-Deployment AI Safety,training lifecycle
L3_intervention,22,Deployment-time confidence filtering and rejection sampling,deployment lifecycle
L3_intervention,23,Human-aware predictive robot control and safety planning,training lifecycle
L3_intervention,24,RLHF fine-tuning for aligned language models,training lifecycle
L3_intervention,25,Explainable decision support with uncertainty and counterfactuals,training lifecycle
L3_intervention,26,Reward-guided RL fine-tuning with safety constraints,training lifecycle
L3_intervention,27,KL-Regularized RLHF Fine-Tuning,training lifecycle
L3_intervention,28,International treaty banning autonomous weapons,deployment lifecycle
L3_intervention,29,"Neuroscience validation platforms for cognition, emulation, and alignment research",training lifecycle
L3_intervention,30,Periodic target networks for stable Q-learning,training lifecycle
L3_intervention,31,Human-AI collaboration tools for skill building,training lifecycle
L3_intervention,32,Attainable Utility Preservation reward penalty,training lifecycle
L3_intervention,33,Deployment-time prompt engineering for aligned behavior,deployment lifecycle
L3_intervention,34,Large-scale pretraining before task fine-tuning,design lifecycle
L3_intervention,35,Human-preference reward model fine-tuning,training lifecycle
L3_intervention,36,Robustness-Oriented Training Data Augmentation,design lifecycle
L3_intervention,37,ROME-based factual knowledge editing,training lifecycle
L3_intervention,38,Incentivized AI forecasting and prediction systems,deployment lifecycle
L3_intervention,39,Export controls on advanced AI hardware,deployment lifecycle
