risk_cid,interv_cid,risk_name,interv_name,interv_type,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost
26.0,19.0,Misaligned AGI existential catastrophe,Demonstration-Based Policy Pretraining,governance,0,68,429,68
6.0,39.0,Reward Misspecification and Reward Hacking,Export controls on advanced AI hardware,governance,0,66,591,66
21.0,25.0,Catastrophic AI misalignment and loss of control,Explainable decision support with uncertainty and counterfactuals,technical,0,65,254,65
34.0,11.0,Instrumental power-seeking by advanced AI agents,Public AI risk outreach and educational dissemination,field-building,0,65,262,65
25.0,29.0,Misaligned Superintelligent AI Existential Risk,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,62,192,62
18.0,24.0,Catastrophic Superintelligent AI Misalignment,RLHF fine-tuning for aligned language models,technical,0,61,317,61
20.0,39.0,Deceptive alignment and hidden objectives,Export controls on advanced AI hardware,governance,0,59,380,59
26.0,27.0,Misaligned AGI existential catastrophe,KL-Regularized RLHF Fine-Tuning,technical,0,59,385,59
26.0,33.0,Misaligned AGI existential catastrophe,Deployment-time prompt engineering for aligned behavior,technical,0,52,100,52
2.0,26.0,AI arms race causing unsafe deployment,Reward-guided RL fine-tuning with safety constraints,technical,0,47,426,47
4.0,6.0,Unsafe and Sample-Inefficient RL Exploration,PGD Adversarial Training for Robust Fine-Tuning,technical,0,46,486,46
35.0,15.0,Advanced AI value misalignment risk,Pre-deployment mechanistic interpretability audits,governance,0,45,316,45
11.0,8.0,Misforecasted AI Timelines Undermining Safety Preparedness,Expand AI Safety Research Funding and Capacity,field-building,0,45,1628,45
20.0,10.0,Deceptive alignment and hidden objectives,Governed AI oversight and compliance regimes,governance,0,44,386,44
7.0,19.0,Human extinction from misaligned superintelligent AI,Demonstration-Based Policy Pretraining,governance,0,44,164,44
18.0,4.0,Catastrophic Superintelligent AI Misalignment,Pre-deployment safety gates and controlled release,technical,0,42,395,42
12.0,24.0,Catastrophic risks from misaligned advanced AI,RLHF fine-tuning for aligned language models,technical,0,42,450,42
25.0,19.0,Misaligned Superintelligent AI Existential Risk,Demonstration-Based Policy Pretraining,governance,0,41,398,41
3.0,8.0,Opaque Transformer Reasoning Undermines Safety Oversight,Expand AI Safety Research Funding and Capacity,field-building,0,41,685,41
18.0,15.0,Catastrophic Superintelligent AI Misalignment,Pre-deployment mechanistic interpretability audits,governance,0,39,241,39
20.0,32.0,Deceptive alignment and hidden objectives,Attainable Utility Preservation reward penalty,technical,0,38,264,38
20.0,26.0,Deceptive alignment and hidden objectives,Reward-guided RL fine-tuning with safety constraints,technical,0,38,371,38
12.0,23.0,Catastrophic risks from misaligned advanced AI,Human-aware predictive robot control and safety planning,technical,0,38,249,38
1.0,32.0,Malicious misuse of frontier AI for large-scale harm,Attainable Utility Preservation reward penalty,technical,0,36,309,36
2.0,19.0,AI arms race causing unsafe deployment,Demonstration-Based Policy Pretraining,governance,0,36,183,36
34.0,15.0,Instrumental power-seeking by advanced AI agents,Pre-deployment mechanistic interpretability audits,governance,0,35,124,35
21.0,37.0,Catastrophic AI misalignment and loss of control,ROME-based factual knowledge editing,technical,0,34,90,34
21.0,22.0,Catastrophic AI misalignment and loss of control,Deployment-time confidence filtering and rejection sampling,technical,0,34,90,34
7.0,32.0,Human extinction from misaligned superintelligent AI,Attainable Utility Preservation reward penalty,technical,0,34,270,34
26.0,31.0,Misaligned AGI existential catastrophe,Human-AI collaboration tools for skill building,technical,0,33,101,33
34.0,1.0,Instrumental power-seeking by advanced AI agents,Continuous anomaly monitoring and safety tripwires,technical,0,33,97,33
7.0,11.0,Human extinction from misaligned superintelligent AI,Public AI risk outreach and educational dissemination,field-building,0,33,671,33
26.0,1.0,Misaligned AGI existential catastrophe,Continuous anomaly monitoring and safety tripwires,technical,0,33,755,33
18.0,19.0,Catastrophic Superintelligent AI Misalignment,Demonstration-Based Policy Pretraining,governance,0,32,106,32
24.0,4.0,Objective Misspecification and Misaligned Optimization,Pre-deployment safety gates and controlled release,technical,0,32,246,32
32.0,35.0,AI shutdown resistance and control loss,Human-preference reward model fine-tuning,technical,0,32,142,32
9.0,27.0,Deployed AI Misalignment Causes Societal Harm,KL-Regularized RLHF Fine-Tuning,technical,0,31,200,31
2.0,32.0,AI arms race causing unsafe deployment,Attainable Utility Preservation reward penalty,technical,0,31,300,31
18.0,32.0,Catastrophic Superintelligent AI Misalignment,Attainable Utility Preservation reward penalty,technical,0,31,174,31
12.0,32.0,Catastrophic risks from misaligned advanced AI,Attainable Utility Preservation reward penalty,technical,0,30,317,30
6.0,17.0,Reward Misspecification and Reward Hacking,Runtime control and coordination modules,technical,0,30,222,30
18.0,11.0,Catastrophic Superintelligent AI Misalignment,Public AI risk outreach and educational dissemination,field-building,0,30,323,30
20.0,19.0,Deceptive alignment and hidden objectives,Demonstration-Based Policy Pretraining,governance,0,30,169,30
34.0,10.0,Instrumental power-seeking by advanced AI agents,Governed AI oversight and compliance regimes,governance,0,29,139,29
6.0,29.0,Reward Misspecification and Reward Hacking,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,29,143,29
34.0,39.0,Instrumental power-seeking by advanced AI agents,Export controls on advanced AI hardware,governance,0,29,142,29
26.0,37.0,Misaligned AGI existential catastrophe,ROME-based factual knowledge editing,technical,0,28,99,28
24.0,11.0,Objective Misspecification and Misaligned Optimization,Public AI risk outreach and educational dissemination,field-building,0,28,205,28
1.0,19.0,Malicious misuse of frontier AI for large-scale harm,Demonstration-Based Policy Pretraining,governance,0,28,190,28
20.0,17.0,Deceptive alignment and hidden objectives,Runtime control and coordination modules,technical,0,28,126,28
38.0,39.0,Catastrophic AGI Misalignment Risk,Export controls on advanced AI hardware,governance,0,28,312,28
16.0,37.0,Insufficient AI safety research capacity,ROME-based factual knowledge editing,technical,0,27,85,27
7.0,12.0,Human extinction from misaligned superintelligent AI,Pre-deployment bias auditing and fairness mitigation,governance,0,27,63,27
28.0,24.0,Algorithmic discrimination in high-stakes decisions,RLHF fine-tuning for aligned language models,technical,0,27,86,27
2.0,17.0,AI arms race causing unsafe deployment,Runtime control and coordination modules,technical,0,27,127,27
32.0,5.0,AI shutdown resistance and control loss,Pre-deployment adversarial red-teaming and robustness testing,technical,0,27,132,27
26.0,6.0,Misaligned AGI existential catastrophe,PGD Adversarial Training for Robust Fine-Tuning,technical,0,27,1428,27
8.0,24.0,Human-AI Coordination Failure in Shared Environments,RLHF fine-tuning for aligned language models,technical,0,27,96,27
1.0,26.0,Malicious misuse of frontier AI for large-scale harm,Reward-guided RL fine-tuning with safety constraints,technical,0,26,419,26
25.0,28.0,Misaligned Superintelligent AI Existential Risk,International treaty banning autonomous weapons,governance,0,26,159,26
17.0,24.0,Adversarial Image Classification Misclassification,RLHF fine-tuning for aligned language models,technical,0,25,263,25
18.0,10.0,Catastrophic Superintelligent AI Misalignment,Governed AI oversight and compliance regimes,governance,0,25,210,25
4.0,10.0,Unsafe and Sample-Inefficient RL Exploration,Governed AI oversight and compliance regimes,governance,0,25,193,25
30.0,24.0,Existential catastrophe and human extinction risks,RLHF fine-tuning for aligned language models,technical,0,24,160,24
4.0,24.0,Unsafe and Sample-Inefficient RL Exploration,RLHF fine-tuning for aligned language models,technical,0,23,390,23
23.0,8.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Expand AI Safety Research Funding and Capacity,field-building,0,23,108,23
16.0,13.0,Insufficient AI safety research capacity,Multi-objective recommender ranking with safety penalties,technical,0,23,165,23
16.0,28.0,Insufficient AI safety research capacity,International treaty banning autonomous weapons,governance,0,22,185,22
6.0,38.0,Reward Misspecification and Reward Hacking,Incentivized AI forecasting and prediction systems,technical,0,22,774,22
38.0,37.0,Catastrophic AGI Misalignment Risk,ROME-based factual knowledge editing,technical,0,22,37,22
18.0,39.0,Catastrophic Superintelligent AI Misalignment,Export controls on advanced AI hardware,governance,0,22,166,22
28.0,35.0,Algorithmic discrimination in high-stakes decisions,Human-preference reward model fine-tuning,technical,0,21,212,21
22.0,32.0,Deceptive and Harmful Language Model Outputs,Attainable Utility Preservation reward penalty,technical,0,20,239,20
7.0,6.0,Human extinction from misaligned superintelligent AI,PGD Adversarial Training for Robust Fine-Tuning,technical,0,20,410,20
19.0,32.0,Misaligned AI takeover and human disempowerment,Attainable Utility Preservation reward penalty,technical,0,20,213,20
20.0,29.0,Deceptive alignment and hidden objectives,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,20,80,20
35.0,39.0,Advanced AI value misalignment risk,Export controls on advanced AI hardware,governance,0,20,216,20
34.0,26.0,Instrumental power-seeking by advanced AI agents,Reward-guided RL fine-tuning with safety constraints,technical,0,19,126,19
24.0,6.0,Objective Misspecification and Misaligned Optimization,PGD Adversarial Training for Robust Fine-Tuning,technical,0,19,215,19
20.0,38.0,Deceptive alignment and hidden objectives,Incentivized AI forecasting and prediction systems,technical,0,19,420,19
1.0,17.0,Malicious misuse of frontier AI for large-scale harm,Runtime control and coordination modules,technical,0,19,119,19
17.0,11.0,Adversarial Image Classification Misclassification,Public AI risk outreach and educational dissemination,field-building,0,19,279,19
37.0,35.0,AI-driven labor displacement and socioeconomic instability,Human-preference reward model fine-tuning,technical,0,18,221,18
32.0,24.0,AI shutdown resistance and control loss,RLHF fine-tuning for aligned language models,technical,0,18,68,18
25.0,38.0,Misaligned Superintelligent AI Existential Risk,Incentivized AI forecasting and prediction systems,technical,0,18,1178,18
11.0,4.0,Misforecasted AI Timelines Undermining Safety Preparedness,Pre-deployment safety gates and controlled release,technical,0,18,364,18
7.0,39.0,Human extinction from misaligned superintelligent AI,Export controls on advanced AI hardware,governance,0,18,387,18
9.0,29.0,Deployed AI Misalignment Causes Societal Harm,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,18,106,18
24.0,26.0,Objective Misspecification and Misaligned Optimization,Reward-guided RL fine-tuning with safety constraints,technical,0,17,106,17
14.0,24.0,Unsafe AI Decisions in High-Stakes Settings,RLHF fine-tuning for aligned language models,technical,0,17,72,17
38.0,29.0,Catastrophic AGI Misalignment Risk,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,17,93,17
38.0,19.0,Catastrophic AGI Misalignment Risk,Demonstration-Based Policy Pretraining,governance,0,17,154,17
34.0,19.0,Instrumental power-seeking by advanced AI agents,Demonstration-Based Policy Pretraining,governance,0,17,55,17
0.0,10.0,Out-of-distribution generalization failure,Governed AI oversight and compliance regimes,governance,0,16,144,16
20.0,27.0,Deceptive alignment and hidden objectives,KL-Regularized RLHF Fine-Tuning,technical,0,16,110,16
18.0,27.0,Catastrophic Superintelligent AI Misalignment,KL-Regularized RLHF Fine-Tuning,technical,0,16,83,16
6.0,36.0,Reward Misspecification and Reward Hacking,Robustness-Oriented Training Data Augmentation,technical,0,16,78,16
1.0,25.0,Malicious misuse of frontier AI for large-scale harm,Explainable decision support with uncertainty and counterfactuals,technical,0,15,146,15
17.0,10.0,Adversarial Image Classification Misclassification,Governed AI oversight and compliance regimes,governance,0,15,172,15
21.0,29.0,Catastrophic AI misalignment and loss of control,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,15,248,15
8.0,39.0,Human-AI Coordination Failure in Shared Environments,Export controls on advanced AI hardware,governance,0,15,51,15
34.0,32.0,Instrumental power-seeking by advanced AI agents,Attainable Utility Preservation reward penalty,technical,0,15,82,15
18.0,13.0,Catastrophic Superintelligent AI Misalignment,Multi-objective recommender ranking with safety penalties,technical,0,15,44,15
2.0,27.0,AI arms race causing unsafe deployment,KL-Regularized RLHF Fine-Tuning,technical,0,14,141,14
26.0,22.0,Misaligned AGI existential catastrophe,Deployment-time confidence filtering and rejection sampling,technical,0,14,116,14
38.0,17.0,Catastrophic AGI Misalignment Risk,Runtime control and coordination modules,technical,0,14,83,14
14.0,6.0,Unsafe AI Decisions in High-Stakes Settings,PGD Adversarial Training for Robust Fine-Tuning,technical,0,14,78,14
1.0,29.0,Malicious misuse of frontier AI for large-scale harm,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,14,60,14
2.0,29.0,AI arms race causing unsafe deployment,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,14,85,14
18.0,6.0,Catastrophic Superintelligent AI Misalignment,PGD Adversarial Training for Robust Fine-Tuning,technical,0,14,338,14
38.0,15.0,Catastrophic AGI Misalignment Risk,Pre-deployment mechanistic interpretability audits,governance,0,14,331,14
20.0,31.0,Deceptive alignment and hidden objectives,Human-AI collaboration tools for skill building,technical,0,14,30,14
19.0,26.0,Misaligned AI takeover and human disempowerment,Reward-guided RL fine-tuning with safety constraints,technical,0,14,237,14
10.0,21.0,Existential catastrophe from misaligned AI,Formal Verification for Pre-Deployment AI Safety,technical,0,13,219,13
4.0,37.0,Unsafe and Sample-Inefficient RL Exploration,ROME-based factual knowledge editing,technical,0,13,26,13
24.0,39.0,Objective Misspecification and Misaligned Optimization,Export controls on advanced AI hardware,governance,0,13,106,13
10.0,28.0,Existential catastrophe from misaligned AI,International treaty banning autonomous weapons,governance,0,13,198,13
19.0,39.0,Misaligned AI takeover and human disempowerment,Export controls on advanced AI hardware,governance,0,12,142,12
31.0,8.0,Undetected unsafe behavior in deployed AI systems,Expand AI Safety Research Funding and Capacity,field-building,0,12,413,12
24.0,10.0,Objective Misspecification and Misaligned Optimization,Governed AI oversight and compliance regimes,governance,0,12,109,12
6.0,37.0,Reward Misspecification and Reward Hacking,ROME-based factual knowledge editing,technical,0,12,62,12
3.0,4.0,Opaque Transformer Reasoning Undermines Safety Oversight,Pre-deployment safety gates and controlled release,technical,0,12,138,12
26.0,0.0,Misaligned AGI existential catastrophe,Training-time regularization for robust generalization,technical,0,12,163,12
24.0,19.0,Objective Misspecification and Misaligned Optimization,Demonstration-Based Policy Pretraining,governance,0,12,49,12
7.0,31.0,Human extinction from misaligned superintelligent AI,Human-AI collaboration tools for skill building,technical,0,11,45,11
10.0,37.0,Existential catastrophe from misaligned AI,ROME-based factual knowledge editing,technical,0,11,137,11
24.0,32.0,Objective Misspecification and Misaligned Optimization,Attainable Utility Preservation reward penalty,technical,0,11,87,11
12.0,26.0,Catastrophic risks from misaligned advanced AI,Reward-guided RL fine-tuning with safety constraints,technical,0,11,415,11
35.0,33.0,Advanced AI value misalignment risk,Deployment-time prompt engineering for aligned behavior,technical,0,11,29,11
34.0,38.0,Instrumental power-seeking by advanced AI agents,Incentivized AI forecasting and prediction systems,technical,0,11,162,11
20.0,33.0,Deceptive alignment and hidden objectives,Deployment-time prompt engineering for aligned behavior,technical,0,11,28,11
1.0,31.0,Malicious misuse of frontier AI for large-scale harm,Human-AI collaboration tools for skill building,technical,0,10,33,10
34.0,29.0,Instrumental power-seeking by advanced AI agents,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,10,31,10
27.0,8.0,Uncontrolled Recursive Self-Improvement Explosion,Expand AI Safety Research Funding and Capacity,field-building,0,10,858,10
1.0,23.0,Malicious misuse of frontier AI for large-scale harm,Human-aware predictive robot control and safety planning,technical,0,10,175,10
6.0,21.0,Reward Misspecification and Reward Hacking,Formal Verification for Pre-Deployment AI Safety,technical,0,10,87,10
18.0,23.0,Catastrophic Superintelligent AI Misalignment,Human-aware predictive robot control and safety planning,technical,0,10,85,10
32.0,39.0,AI shutdown resistance and control loss,Export controls on advanced AI hardware,governance,0,10,41,10
2.0,18.0,AI arms race causing unsafe deployment,Critique-guided fine-tuning and human feedback,technical,0,10,97,10
30.0,35.0,Existential catastrophe and human extinction risks,Human-preference reward model fine-tuning,technical,0,10,234,10
19.0,27.0,Misaligned AI takeover and human disempowerment,KL-Regularized RLHF Fine-Tuning,technical,0,9,66,9
33.0,8.0,AI-driven personal data privacy breaches,Expand AI Safety Research Funding and Capacity,field-building,0,9,184,9
32.0,10.0,AI shutdown resistance and control loss,Governed AI oversight and compliance regimes,governance,0,9,42,9
11.0,24.0,Misforecasted AI Timelines Undermining Safety Preparedness,RLHF fine-tuning for aligned language models,technical,0,9,312,9
25.0,18.0,Misaligned Superintelligent AI Existential Risk,Critique-guided fine-tuning and human feedback,technical,0,9,217,9
35.0,38.0,Advanced AI value misalignment risk,Incentivized AI forecasting and prediction systems,technical,0,9,312,9
1.0,33.0,Malicious misuse of frontier AI for large-scale harm,Deployment-time prompt engineering for aligned behavior,technical,0,9,31,9
22.0,25.0,Deceptive and Harmful Language Model Outputs,Explainable decision support with uncertainty and counterfactuals,technical,0,9,111,9
35.0,31.0,Advanced AI value misalignment risk,Human-AI collaboration tools for skill building,technical,0,9,21,9
10.0,2.0,Existential catastrophe from misaligned AI,MCTS-Guided RL Planning and Training,technical,0,9,237,9
34.0,31.0,Instrumental power-seeking by advanced AI agents,Human-AI collaboration tools for skill building,technical,0,9,12,9
21.0,33.0,Catastrophic AI misalignment and loss of control,Deployment-time prompt engineering for aligned behavior,technical,0,9,87,9
1.0,27.0,Malicious misuse of frontier AI for large-scale harm,KL-Regularized RLHF Fine-Tuning,technical,0,9,126,9
7.0,1.0,Human extinction from misaligned superintelligent AI,Continuous anomaly monitoring and safety tripwires,technical,0,9,255,9
38.0,32.0,Catastrophic AGI Misalignment Risk,Attainable Utility Preservation reward penalty,technical,0,9,205,9
38.0,38.0,Catastrophic AGI Misalignment Risk,Incentivized AI forecasting and prediction systems,technical,0,9,346,9
22.0,36.0,Deceptive and Harmful Language Model Outputs,Robustness-Oriented Training Data Augmentation,technical,0,8,66,8
38.0,26.0,Catastrophic AGI Misalignment Risk,Reward-guided RL fine-tuning with safety constraints,technical,0,8,323,8
37.0,6.0,AI-driven labor displacement and socioeconomic instability,PGD Adversarial Training for Robust Fine-Tuning,technical,0,8,149,8
10.0,22.0,Existential catastrophe from misaligned AI,Deployment-time confidence filtering and rejection sampling,technical,0,8,127,8
32.0,15.0,AI shutdown resistance and control loss,Pre-deployment mechanistic interpretability audits,governance,0,8,48,8
22.0,38.0,Deceptive and Harmful Language Model Outputs,Incentivized AI forecasting and prediction systems,technical,0,8,339,8
20.0,12.0,Deceptive alignment and hidden objectives,Pre-deployment bias auditing and fairness mitigation,governance,0,8,45,8
30.0,5.0,Existential catastrophe and human extinction risks,Pre-deployment adversarial red-teaming and robustness testing,technical,0,8,141,8
9.0,28.0,Deployed AI Misalignment Causes Societal Harm,International treaty banning autonomous weapons,governance,0,7,72,7
11.0,5.0,Misforecasted AI Timelines Undermining Safety Preparedness,Pre-deployment adversarial red-teaming and robustness testing,technical,0,7,379,7
12.0,0.0,Catastrophic risks from misaligned advanced AI,Training-time regularization for robust generalization,technical,0,7,137,7
20.0,25.0,Deceptive alignment and hidden objectives,Explainable decision support with uncertainty and counterfactuals,technical,0,7,105,7
10.0,0.0,Existential catastrophe from misaligned AI,Training-time regularization for robust generalization,technical,0,7,570,7
35.0,18.0,Advanced AI value misalignment risk,Critique-guided fine-tuning and human feedback,technical,0,7,114,7
19.0,33.0,Misaligned AI takeover and human disempowerment,Deployment-time prompt engineering for aligned behavior,technical,0,7,18,7
12.0,17.0,Catastrophic risks from misaligned advanced AI,Runtime control and coordination modules,technical,0,7,64,7
0.0,39.0,Out-of-distribution generalization failure,Export controls on advanced AI hardware,governance,0,7,118,7
3.0,24.0,Opaque Transformer Reasoning Undermines Safety Oversight,RLHF fine-tuning for aligned language models,technical,0,7,119,7
32.0,6.0,AI shutdown resistance and control loss,PGD Adversarial Training for Robust Fine-Tuning,technical,0,7,63,7
17.0,32.0,Adversarial Image Classification Misclassification,Attainable Utility Preservation reward penalty,technical,0,7,121,7
0.0,23.0,Out-of-distribution generalization failure,Human-aware predictive robot control and safety planning,technical,0,7,63,7
15.0,39.0,Opaque AI decision-making undermines oversight and safety,Export controls on advanced AI hardware,governance,0,7,228,7
2.0,37.0,AI arms race causing unsafe deployment,ROME-based factual knowledge editing,technical,0,7,28,7
26.0,23.0,Misaligned AGI existential catastrophe,Human-aware predictive robot control and safety planning,technical,0,7,339,7
6.0,28.0,Reward Misspecification and Reward Hacking,International treaty banning autonomous weapons,governance,0,6,81,6
8.0,15.0,Human-AI Coordination Failure in Shared Environments,Pre-deployment mechanistic interpretability audits,governance,0,6,41,6
34.0,13.0,Instrumental power-seeking by advanced AI agents,Multi-objective recommender ranking with safety penalties,technical,0,6,24,6
14.0,39.0,Unsafe AI Decisions in High-Stakes Settings,Export controls on advanced AI hardware,governance,0,6,35,6
34.0,25.0,Instrumental power-seeking by advanced AI agents,Explainable decision support with uncertainty and counterfactuals,technical,0,6,36,6
37.0,24.0,AI-driven labor displacement and socioeconomic instability,RLHF fine-tuning for aligned language models,technical,0,6,53,6
3.0,10.0,Opaque Transformer Reasoning Undermines Safety Oversight,Governed AI oversight and compliance regimes,governance,0,6,68,6
22.0,29.0,Deceptive and Harmful Language Model Outputs,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,6,67,6
3.0,19.0,Opaque Transformer Reasoning Undermines Safety Oversight,Demonstration-Based Policy Pretraining,governance,0,6,27,6
3.0,32.0,Opaque Transformer Reasoning Undermines Safety Oversight,Attainable Utility Preservation reward penalty,technical,0,6,48,6
39.0,35.0,Bias-Driven Progress Distortion and Stagnation,Human-preference reward model fine-tuning,technical,0,6,26,6
24.0,29.0,Objective Misspecification and Misaligned Optimization,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,6,19,6
7.0,23.0,Human extinction from misaligned superintelligent AI,Human-aware predictive robot control and safety planning,technical,0,6,61,6
2.0,13.0,AI arms race causing unsafe deployment,Multi-objective recommender ranking with safety penalties,technical,0,6,60,6
2.0,22.0,AI arms race causing unsafe deployment,Deployment-time confidence filtering and rejection sampling,technical,0,6,28,6
9.0,37.0,Deployed AI Misalignment Causes Societal Harm,ROME-based factual knowledge editing,technical,0,6,33,6
24.0,33.0,Objective Misspecification and Misaligned Optimization,Deployment-time prompt engineering for aligned behavior,technical,0,6,12,6
12.0,18.0,Catastrophic risks from misaligned advanced AI,Critique-guided fine-tuning and human feedback,technical,0,6,112,6
8.0,29.0,Human-AI Coordination Failure in Shared Environments,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,6,10,6
6.0,12.0,Reward Misspecification and Reward Hacking,Pre-deployment bias auditing and fairness mitigation,governance,0,6,94,6
11.0,10.0,Misforecasted AI Timelines Undermining Safety Preparedness,Governed AI oversight and compliance regimes,governance,0,6,163,6
