risk_cid,risk_name,group_id,group_name,interv_cid,interv_name,n_triplet_paths
10,Existential catastrophe from misaligned AI,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,276
25,Misaligned Superintelligent AI Existential Risk,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,275
21,Catastrophic AI misalignment and loss of control,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,267
10,Existential catastrophe from misaligned AI,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,267
25,Misaligned Superintelligent AI Existential Risk,14,Alignment via human preference propagation,8,Expand AI Safety Research Funding and Capacity,260
26,Misaligned AGI existential catastrophe,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,259
34,Instrumental power-seeking by advanced AI agents,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,256
38,Catastrophic AGI Misalignment Risk,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,254
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,233
26,Misaligned AGI existential catastrophe,15,Detection and mitigation of reward mis-specification effects,35,Human-preference reward model fine-tuning,229
26,Misaligned AGI existential catastrophe,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,229
21,Catastrophic AI misalignment and loss of control,8,exposing hidden model cognition through mechanistic analysis,15,Pre-deployment mechanistic interpretability audits,204
21,Catastrophic AI misalignment and loss of control,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,201
20,Deceptive alignment and hidden objectives,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,200
10,Existential catastrophe from misaligned AI,8,exposing hidden model cognition through mechanistic analysis,15,Pre-deployment mechanistic interpretability audits,200
10,Existential catastrophe from misaligned AI,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,199
25,Misaligned Superintelligent AI Existential Risk,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,195
6,Reward Misspecification and Reward Hacking,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,190
16,Insufficient AI safety research capacity,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,184
10,Existential catastrophe from misaligned AI,14,Alignment via human preference propagation,8,Expand AI Safety Research Funding and Capacity,181
18,Catastrophic Superintelligent AI Misalignment,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,176
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,176
17,Adversarial Image Classification Misclassification,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,175
12,Catastrophic risks from misaligned advanced AI,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,168
22,Deceptive and Harmful Language Model Outputs,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,165
16,Insufficient AI safety research capacity,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,163
25,Misaligned Superintelligent AI Existential Risk,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,163
25,Misaligned Superintelligent AI Existential Risk,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,163
25,Misaligned Superintelligent AI Existential Risk,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,162
25,Misaligned Superintelligent AI Existential Risk,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,160
10,Existential catastrophe from misaligned AI,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,17,Runtime control and coordination modules,158
25,Misaligned Superintelligent AI Existential Risk,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,155
6,Reward Misspecification and Reward Hacking,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,153
10,Existential catastrophe from misaligned AI,4,Aligned internal reasoning and goal representation,27,KL-Regularized RLHF Fine-Tuning,150
10,Existential catastrophe from misaligned AI,4,Aligned internal reasoning and goal representation,33,Deployment-time prompt engineering for aligned behavior,150
26,Misaligned AGI existential catastrophe,8,exposing hidden model cognition through mechanistic analysis,29,"Neuroscience validation platforms for cognition, emulation, and alignment research",150
25,Misaligned Superintelligent AI Existential Risk,4,Aligned internal reasoning and goal representation,33,Deployment-time prompt engineering for aligned behavior,146
25,Misaligned Superintelligent AI Existential Risk,4,Aligned internal reasoning and goal representation,27,KL-Regularized RLHF Fine-Tuning,146
21,Catastrophic AI misalignment and loss of control,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,143
26,Misaligned AGI existential catastrophe,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,139
12,Catastrophic risks from misaligned advanced AI,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,138
12,Catastrophic risks from misaligned advanced AI,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,138
10,Existential catastrophe from misaligned AI,14,Alignment via human preference propagation,4,Pre-deployment safety gates and controlled release,138
26,Misaligned AGI existential catastrophe,1,Systematic Identification of Hidden Model Vulnerabilities,5,Pre-deployment adversarial red-teaming and robustness testing,136
26,Misaligned AGI existential catastrophe,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,136
21,Catastrophic AI misalignment and loss of control,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,134
19,Misaligned AI takeover and human disempowerment,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,133
25,Misaligned Superintelligent AI Existential Risk,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,132
10,Existential catastrophe from misaligned AI,15,Detection and mitigation of reward mis-specification effects,35,Human-preference reward model fine-tuning,131
21,Catastrophic AI misalignment and loss of control,1,Systematic Identification of Hidden Model Vulnerabilities,5,Pre-deployment adversarial red-teaming and robustness testing,130
7,Human extinction from misaligned superintelligent AI,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,129
25,Misaligned Superintelligent AI Existential Risk,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,17,Runtime control and coordination modules,129
21,Catastrophic AI misalignment and loss of control,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,122
10,Existential catastrophe from misaligned AI,12,Scaling AI Safety Research Capacity and Awareness,1,Continuous anomaly monitoring and safety tripwires,120
9,Deployed AI Misalignment Causes Societal Harm,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,119
18,Catastrophic Superintelligent AI Misalignment,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,118
21,Catastrophic AI misalignment and loss of control,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,117
21,Catastrophic AI misalignment and loss of control,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,116
10,Existential catastrophe from misaligned AI,1,Systematic Identification of Hidden Model Vulnerabilities,15,Pre-deployment mechanistic interpretability audits,115
7,Human extinction from misaligned superintelligent AI,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,114
10,Existential catastrophe from misaligned AI,12,Scaling AI Safety Research Capacity and Awareness,5,Pre-deployment adversarial red-teaming and robustness testing,114
7,Human extinction from misaligned superintelligent AI,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,113
35,Advanced AI value misalignment risk,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,113
17,Adversarial Image Classification Misclassification,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,113
4,Unsafe and Sample-Inefficient RL Exploration,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,111
6,Reward Misspecification and Reward Hacking,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,110
2,AI arms race causing unsafe deployment,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,110
10,Existential catastrophe from misaligned AI,2,Robust feature alignment through adversarial optimization,26,Reward-guided RL fine-tuning with safety constraints,110
35,Advanced AI value misalignment risk,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,108
21,Catastrophic AI misalignment and loss of control,8,exposing hidden model cognition through mechanistic analysis,8,Expand AI Safety Research Funding and Capacity,108
21,Catastrophic AI misalignment and loss of control,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,103
26,Misaligned AGI existential catastrophe,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,103
10,Existential catastrophe from misaligned AI,14,Alignment via human preference propagation,15,Pre-deployment mechanistic interpretability audits,102
10,Existential catastrophe from misaligned AI,17,alignment of learned reward signals with human intent,26,Reward-guided RL fine-tuning with safety constraints,101
16,Insufficient AI safety research capacity,8,exposing hidden model cognition through mechanistic analysis,15,Pre-deployment mechanistic interpretability audits,101
21,Catastrophic AI misalignment and loss of control,7,Aggregated human-aligned iterative model refinement,35,Human-preference reward model fine-tuning,100
26,Misaligned AGI existential catastrophe,4,Aligned internal reasoning and goal representation,33,Deployment-time prompt engineering for aligned behavior,100
26,Misaligned AGI existential catastrophe,4,Aligned internal reasoning and goal representation,27,KL-Regularized RLHF Fine-Tuning,100
16,Insufficient AI safety research capacity,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,99
35,Advanced AI value misalignment risk,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,98
9,Deployed AI Misalignment Causes Societal Harm,14,Alignment via human preference propagation,8,Expand AI Safety Research Funding and Capacity,96
16,Insufficient AI safety research capacity,14,Alignment via human preference propagation,8,Expand AI Safety Research Funding and Capacity,93
10,Existential catastrophe from misaligned AI,8,exposing hidden model cognition through mechanistic analysis,29,"Neuroscience validation platforms for cognition, emulation, and alignment research",90
26,Misaligned AGI existential catastrophe,5,Enhanced model transparency enabling proactive vulnerability detection,5,Pre-deployment adversarial red-teaming and robustness testing,89
34,Instrumental power-seeking by advanced AI agents,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,86
10,Existential catastrophe from misaligned AI,8,exposing hidden model cognition through mechanistic analysis,8,Expand AI Safety Research Funding and Capacity,86
16,Insufficient AI safety research capacity,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,84
1,Malicious misuse of frontier AI for large-scale harm,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,84
10,Existential catastrophe from misaligned AI,14,Alignment via human preference propagation,18,Critique-guided fine-tuning and human feedback,82
6,Reward Misspecification and Reward Hacking,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,81
24,Objective Misspecification and Misaligned Optimization,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,81
0,Out-of-distribution generalization failure,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,81
10,Existential catastrophe from misaligned AI,14,Alignment via human preference propagation,31,Human-AI collaboration tools for skill building,80
20,Deceptive alignment and hidden objectives,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,79
20,Deceptive alignment and hidden objectives,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,79
26,Misaligned AGI existential catastrophe,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,78
16,Insufficient AI safety research capacity,5,Enhanced model transparency enabling proactive vulnerability detection,1,Continuous anomaly monitoring and safety tripwires,78
10,Existential catastrophe from misaligned AI,16,Robust policy optimization under reward uncertainty,5,Pre-deployment adversarial red-teaming and robustness testing,77
16,Insufficient AI safety research capacity,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,77
16,Insufficient AI safety research capacity,1,Systematic Identification of Hidden Model Vulnerabilities,5,Pre-deployment adversarial red-teaming and robustness testing,77
7,Human extinction from misaligned superintelligent AI,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,74
26,Misaligned AGI existential catastrophe,8,exposing hidden model cognition through mechanistic analysis,15,Pre-deployment mechanistic interpretability audits,74
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,38,Incentivized AI forecasting and prediction systems,73
25,Misaligned Superintelligent AI Existential Risk,15,Detection and mitigation of reward mis-specification effects,35,Human-preference reward model fine-tuning,73
10,Existential catastrophe from misaligned AI,4,Aligned internal reasoning and goal representation,5,Pre-deployment adversarial red-teaming and robustness testing,73
21,Catastrophic AI misalignment and loss of control,17,alignment of learned reward signals with human intent,19,Demonstration-Based Policy Pretraining,72
18,Catastrophic Superintelligent AI Misalignment,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,71
21,Catastrophic AI misalignment and loss of control,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,71
10,Existential catastrophe from misaligned AI,17,alignment of learned reward signals with human intent,35,Human-preference reward model fine-tuning,71
21,Catastrophic AI misalignment and loss of control,14,Alignment via human preference propagation,27,KL-Regularized RLHF Fine-Tuning,70
12,Catastrophic risks from misaligned advanced AI,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,70
21,Catastrophic AI misalignment and loss of control,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,23,Human-aware predictive robot control and safety planning,70
25,Misaligned Superintelligent AI Existential Risk,14,Alignment via human preference propagation,31,Human-AI collaboration tools for skill building,69
9,Deployed AI Misalignment Causes Societal Harm,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,68
15,Opaque AI decision-making undermines oversight and safety,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,68
25,Misaligned Superintelligent AI Existential Risk,2,Robust feature alignment through adversarial optimization,26,Reward-guided RL fine-tuning with safety constraints,67
21,Catastrophic AI misalignment and loss of control,17,alignment of learned reward signals with human intent,26,Reward-guided RL fine-tuning with safety constraints,67
10,Existential catastrophe from misaligned AI,8,exposing hidden model cognition through mechanistic analysis,25,Explainable decision support with uncertainty and counterfactuals,67
7,Human extinction from misaligned superintelligent AI,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,66
26,Misaligned AGI existential catastrophe,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,17,Runtime control and coordination modules,66
25,Misaligned Superintelligent AI Existential Risk,14,Alignment via human preference propagation,15,Pre-deployment mechanistic interpretability audits,66
21,Catastrophic AI misalignment and loss of control,12,Scaling AI Safety Research Capacity and Awareness,38,Incentivized AI forecasting and prediction systems,66
6,Reward Misspecification and Reward Hacking,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,66
10,Existential catastrophe from misaligned AI,12,Scaling AI Safety Research Capacity and Awareness,38,Incentivized AI forecasting and prediction systems,65
21,Catastrophic AI misalignment and loss of control,4,Aligned internal reasoning and goal representation,5,Pre-deployment adversarial red-teaming and robustness testing,64
20,Deceptive alignment and hidden objectives,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,64
21,Catastrophic AI misalignment and loss of control,17,alignment of learned reward signals with human intent,35,Human-preference reward model fine-tuning,63
26,Misaligned AGI existential catastrophe,5,Enhanced model transparency enabling proactive vulnerability detection,4,Pre-deployment safety gates and controlled release,63
26,Misaligned AGI existential catastrophe,12,Scaling AI Safety Research Capacity and Awareness,38,Incentivized AI forecasting and prediction systems,63
21,Catastrophic AI misalignment and loss of control,8,exposing hidden model cognition through mechanistic analysis,25,Explainable decision support with uncertainty and counterfactuals,63
21,Catastrophic AI misalignment and loss of control,7,Aggregated human-aligned iterative model refinement,13,Multi-objective recommender ranking with safety penalties,62
15,Opaque AI decision-making undermines oversight and safety,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,62
25,Misaligned Superintelligent AI Existential Risk,8,exposing hidden model cognition through mechanistic analysis,29,"Neuroscience validation platforms for cognition, emulation, and alignment research",62
38,Catastrophic AGI Misalignment Risk,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,61
21,Catastrophic AI misalignment and loss of control,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,17,Runtime control and coordination modules,61
12,Catastrophic risks from misaligned advanced AI,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,60
35,Advanced AI value misalignment risk,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,58
6,Reward Misspecification and Reward Hacking,15,Detection and mitigation of reward mis-specification effects,35,Human-preference reward model fine-tuning,58
16,Insufficient AI safety research capacity,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,17,Runtime control and coordination modules,58
7,Human extinction from misaligned superintelligent AI,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,4,Pre-deployment safety gates and controlled release,58
10,Existential catastrophe from misaligned AI,18,Improved calibration of AI progress forecasts,11,Public AI risk outreach and educational dissemination,58
25,Misaligned Superintelligent AI Existential Risk,17,alignment of learned reward signals with human intent,26,Reward-guided RL fine-tuning with safety constraints,58
25,Misaligned Superintelligent AI Existential Risk,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,57
26,Misaligned AGI existential catastrophe,10,Preservation of Attainable Utility to Limit Unsafe Agent Influence,32,Attainable Utility Preservation reward penalty,57
1,Malicious misuse of frontier AI for large-scale harm,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,57
16,Insufficient AI safety research capacity,8,exposing hidden model cognition through mechanistic analysis,29,"Neuroscience validation platforms for cognition, emulation, and alignment research",56
38,Catastrophic AGI Misalignment Risk,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,56
16,Insufficient AI safety research capacity,14,Alignment via human preference propagation,4,Pre-deployment safety gates and controlled release,54
7,Human extinction from misaligned superintelligent AI,14,Alignment via human preference propagation,8,Expand AI Safety Research Funding and Capacity,54
17,Adversarial Image Classification Misclassification,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,54
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,5,Pre-deployment adversarial red-teaming and robustness testing,53
8,Human-AI Coordination Failure in Shared Environments,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,53
26,Misaligned AGI existential catastrophe,17,alignment of learned reward signals with human intent,26,Reward-guided RL fine-tuning with safety constraints,53
9,Deployed AI Misalignment Causes Societal Harm,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,51
21,Catastrophic AI misalignment and loss of control,14,Alignment via human preference propagation,18,Critique-guided fine-tuning and human feedback,50
25,Misaligned Superintelligent AI Existential Risk,5,Enhanced model transparency enabling proactive vulnerability detection,1,Continuous anomaly monitoring and safety tripwires,50
25,Misaligned Superintelligent AI Existential Risk,5,Enhanced model transparency enabling proactive vulnerability detection,4,Pre-deployment safety gates and controlled release,50
20,Deceptive alignment and hidden objectives,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,50
25,Misaligned Superintelligent AI Existential Risk,16,Robust policy optimization under reward uncertainty,26,Reward-guided RL fine-tuning with safety constraints,49
10,Existential catastrophe from misaligned AI,17,alignment of learned reward signals with human intent,19,Demonstration-Based Policy Pretraining,49
9,Deployed AI Misalignment Causes Societal Harm,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,48
6,Reward Misspecification and Reward Hacking,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,48
4,Unsafe and Sample-Inefficient RL Exploration,2,Robust feature alignment through adversarial optimization,36,Robustness-Oriented Training Data Augmentation,48
6,Reward Misspecification and Reward Hacking,8,exposing hidden model cognition through mechanistic analysis,15,Pre-deployment mechanistic interpretability audits,47
16,Insufficient AI safety research capacity,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,47
21,Catastrophic AI misalignment and loss of control,7,Aggregated human-aligned iterative model refinement,18,Critique-guided fine-tuning and human feedback,47
26,Misaligned AGI existential catastrophe,14,Alignment via human preference propagation,4,Pre-deployment safety gates and controlled release,46
21,Catastrophic AI misalignment and loss of control,12,Scaling AI Safety Research Capacity and Awareness,1,Continuous anomaly monitoring and safety tripwires,46
26,Misaligned AGI existential catastrophe,8,exposing hidden model cognition through mechanistic analysis,17,Runtime control and coordination modules,46
12,Catastrophic risks from misaligned advanced AI,12,Scaling AI Safety Research Capacity and Awareness,10,Governed AI oversight and compliance regimes,46
21,Catastrophic AI misalignment and loss of control,16,Robust policy optimization under reward uncertainty,13,Multi-objective recommender ranking with safety penalties,46
9,Deployed AI Misalignment Causes Societal Harm,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,46
6,Reward Misspecification and Reward Hacking,17,alignment of learned reward signals with human intent,35,Human-preference reward model fine-tuning,46
21,Catastrophic AI misalignment and loss of control,14,Alignment via human preference propagation,1,Continuous anomaly monitoring and safety tripwires,46
35,Advanced AI value misalignment risk,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,45
18,Catastrophic Superintelligent AI Misalignment,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,45
21,Catastrophic AI misalignment and loss of control,12,Scaling AI Safety Research Capacity and Awareness,5,Pre-deployment adversarial red-teaming and robustness testing,45
35,Advanced AI value misalignment risk,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,45
2,AI arms race causing unsafe deployment,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,45
4,Unsafe and Sample-Inefficient RL Exploration,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,44
4,Unsafe and Sample-Inefficient RL Exploration,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,44
14,Unsafe AI Decisions in High-Stakes Settings,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,44
21,Catastrophic AI misalignment and loss of control,2,Robust feature alignment through adversarial optimization,26,Reward-guided RL fine-tuning with safety constraints,43
18,Catastrophic Superintelligent AI Misalignment,8,exposing hidden model cognition through mechanistic analysis,15,Pre-deployment mechanistic interpretability audits,43
