risk_meta_id,risk_meta_name,meta_family_id,meta_family_name,interv_meta_id,interv_meta_name,n_triplet_paths
5,Algorithmic discrimination in high-stakes decisions,22,B203,6,Expand AI Safety Research Funding and Capacity,46
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,8,B133,6,Expand AI Safety Research Funding and Capacity,43
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,1,B111,6,Expand AI Safety Research Funding and Capacity,43
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,17,Expanding AI safety research and implementation capacity,3,Reward-guided RL fine-tuning with safety constraints,41
9,Unverified or computationally infeasible HCH-style alignment guarantees,18,Funding and training to build AI safety capacity,6,Expand AI Safety Research Funding and Capacity,37
5,Algorithmic discrimination in high-stakes decisions,9,B334,6,Expand AI Safety Research Funding and Capacity,37
6,Unsafe and Sample-Inefficient RL Exploration,18,Funding and training to build AI safety capacity,6,Expand AI Safety Research Funding and Capacity,36
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,23,Human feedback loops for objective alignment,6,Expand AI Safety Research Funding and Capacity,35
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,18,Funding and training to build AI safety capacity,10,ROME-based factual knowledge editing,31
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,26,B126,6,Expand AI Safety Research Funding and Capacity,28
3,Existential catastrophe from misaligned AI,8,B133,6,Expand AI Safety Research Funding and Capacity,26
3,Existential catastrophe from misaligned AI,25,Robust reward learning and specification gaming,6,Expand AI Safety Research Funding and Capacity,26
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,22,B203,6,Expand AI Safety Research Funding and Capacity,25
3,Existential catastrophe from misaligned AI,31,B297,3,Reward-guided RL fine-tuning with safety constraints,24
3,Existential catastrophe from misaligned AI,30,B113,3,Reward-guided RL fine-tuning with safety constraints,22
3,Existential catastrophe from misaligned AI,32,B486,3,Reward-guided RL fine-tuning with safety constraints,21
5,Algorithmic discrimination in high-stakes decisions,31,B297,3,Reward-guided RL fine-tuning with safety constraints,20
3,Existential catastrophe from misaligned AI,8,B133,3,Reward-guided RL fine-tuning with safety constraints,20
5,Algorithmic discrimination in high-stakes decisions,22,B203,3,Reward-guided RL fine-tuning with safety constraints,19
5,Algorithmic discrimination in high-stakes decisions,32,B486,3,Reward-guided RL fine-tuning with safety constraints,18
7,Out-of-distribution generalization failure,23,Human feedback loops for objective alignment,3,Reward-guided RL fine-tuning with safety constraints,18
3,Existential catastrophe from misaligned AI,11,Mechanistic interpretability for hidden model cognition,3,Reward-guided RL fine-tuning with safety constraints,18
5,Algorithmic discrimination in high-stakes decisions,3,B394,6,Expand AI Safety Research Funding and Capacity,17
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,29,Preference learning and reward alignment mechanisms,4,Periodic target networks for stable Q-learning,17
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,18,Funding and training to build AI safety capacity,1,International treaty banning autonomous weapons,16
9,Unverified or computationally infeasible HCH-style alignment guarantees,23,Human feedback loops for objective alignment,3,Reward-guided RL fine-tuning with safety constraints,15
5,Algorithmic discrimination in high-stakes decisions,20,B454,6,Expand AI Safety Research Funding and Capacity,15
3,Existential catastrophe from misaligned AI,25,Robust reward learning and specification gaming,3,Reward-guided RL fine-tuning with safety constraints,14
3,Existential catastrophe from misaligned AI,7,B79,3,Reward-guided RL fine-tuning with safety constraints,14
5,Algorithmic discrimination in high-stakes decisions,19,Global governance enables coordinated AI safety controls,1,International treaty banning autonomous weapons,14
3,Existential catastrophe from misaligned AI,21,Human-feedback alignment and goal specification,3,Reward-guided RL fine-tuning with safety constraints,14
3,Existential catastrophe from misaligned AI,15,Corrigible transparency and secure oversight mechanisms,6,Expand AI Safety Research Funding and Capacity,14
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,27,B431,8,"Neuroscience validation platforms for cognition, emulation, and alignment research",13
5,Algorithmic discrimination in high-stakes decisions,7,B79,3,Reward-guided RL fine-tuning with safety constraints,12
10,Unreliable and costly RL alignment transfer,23,Human feedback loops for objective alignment,3,Reward-guided RL fine-tuning with safety constraints,10
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,13,B167,6,Expand AI Safety Research Funding and Capacity,10
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,28,B166,6,Expand AI Safety Research Funding and Capacity,10
10,Unreliable and costly RL alignment transfer,19,Global governance enables coordinated AI safety controls,6,Expand AI Safety Research Funding and Capacity,10
10,Unreliable and costly RL alignment transfer,19,Global governance enables coordinated AI safety controls,3,Reward-guided RL fine-tuning with safety constraints,10
10,Unreliable and costly RL alignment transfer,15,Corrigible transparency and secure oversight mechanisms,6,Expand AI Safety Research Funding and Capacity,10
5,Algorithmic discrimination in high-stakes decisions,27,B431,6,Expand AI Safety Research Funding and Capacity,9
8,AI-driven personal data privacy breaches,18,Funding and training to build AI safety capacity,6,Expand AI Safety Research Funding and Capacity,8
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,27,B431,6,Expand AI Safety Research Funding and Capacity,8
5,Algorithmic discrimination in high-stakes decisions,18,Funding and training to build AI safety capacity,3,Reward-guided RL fine-tuning with safety constraints,8
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,31,B297,3,Reward-guided RL fine-tuning with safety constraints,8
7,Out-of-distribution generalization failure,4,Adversarial robustness through PGD training,3,Reward-guided RL fine-tuning with safety constraints,8
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,29,Preference learning and reward alignment mechanisms,5,Uniform Experience Replay for RL Training,8
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,29,Preference learning and reward alignment mechanisms,6,Expand AI Safety Research Funding and Capacity,7
3,Existential catastrophe from misaligned AI,21,Human-feedback alignment and goal specification,6,Expand AI Safety Research Funding and Capacity,6
3,Existential catastrophe from misaligned AI,10,B114,3,Reward-guided RL fine-tuning with safety constraints,6
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,20,B454,3,Reward-guided RL fine-tuning with safety constraints,6
3,Existential catastrophe from misaligned AI,2,B83,6,Expand AI Safety Research Funding and Capacity,5
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,12,B1533,6,Expand AI Safety Research Funding and Capacity,5
3,Existential catastrophe from misaligned AI,17,Expanding AI safety research and implementation capacity,6,Expand AI Safety Research Funding and Capacity,5
5,Algorithmic discrimination in high-stakes decisions,3,B394,3,Reward-guided RL fine-tuning with safety constraints,5
5,Algorithmic discrimination in high-stakes decisions,29,Preference learning and reward alignment mechanisms,6,Expand AI Safety Research Funding and Capacity,5
9,Unverified or computationally infeasible HCH-style alignment guarantees,4,Adversarial robustness through PGD training,3,Reward-guided RL fine-tuning with safety constraints,5
9,Unverified or computationally infeasible HCH-style alignment guarantees,7,B79,6,Expand AI Safety Research Funding and Capacity,5
