risk_cid,bfamily_id,n_paths_r2c,interv_cid,n_paths_c2i,n_triplet_paths,risk_name,chain_name,interv_name
17,33,3,22,9,3,Adversarial Image Classification Misclassification,,Deployment-time confidence filtering and rejection sampling
25,49,3,8,8,3,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
9,8,5,10,17,3,Deployed AI Misalignment Causes Societal Harm,,Governed AI oversight and compliance regimes
17,4,21,5,4,3,Adversarial Image Classification Misclassification,,Pre-deployment adversarial red-teaming and robustness testing
17,15,3,36,14,3,Adversarial Image Classification Misclassification,,Robustness-Oriented Training Data Augmentation
9,10,3,39,16,3,Deployed AI Misalignment Causes Societal Harm,,Export controls on advanced AI hardware
15,62,3,25,6,3,Opaque AI decision-making undermines oversight and safety,,Explainable decision support with uncertainty and counterfactuals
0,95,5,0,3,3,Out-of-distribution generalization failure,,Training-time regularization for robust generalization
4,28,12,9,3,3,Unsafe and Sample-Inefficient RL Exploration,,Choose robust model architectures at design time
4,28,12,30,3,3,Unsafe and Sample-Inefficient RL Exploration,,Periodic target networks for stable Q-learning
1,10,3,39,16,3,Malicious misuse of frontier AI for large-scale harm,,Export controls on advanced AI hardware
21,22,5,8,7,3,Catastrophic AI misalignment and loss of control,,Expand AI Safety Research Funding and Capacity
34,16,3,4,13,3,Instrumental power-seeking by advanced AI agents,,Pre-deployment safety gates and controlled release
25,57,3,5,7,3,Misaligned Superintelligent AI Existential Risk,,Pre-deployment adversarial red-teaming and robustness testing
9,4,3,6,30,3,Deployed AI Misalignment Causes Societal Harm,,PGD Adversarial Training for Robust Fine-Tuning
16,69,6,8,3,3,Insufficient AI safety research capacity,,Expand AI Safety Research Funding and Capacity
16,69,6,11,3,3,Insufficient AI safety research capacity,,Public AI risk outreach and educational dissemination
28,68,6,12,3,3,Algorithmic discrimination in high-stakes decisions,,Pre-deployment bias auditing and fairness mitigation
20,26,2,35,12,2,Deceptive alignment and hidden objectives,,Human-preference reward model fine-tuning
2,84,4,4,3,2,AI arms race causing unsafe deployment,,Pre-deployment safety gates and controlled release
16,59,3,8,6,2,Insufficient AI safety research capacity,,Expand AI Safety Research Funding and Capacity
24,90,2,24,4,2,Objective Misspecification and Misaligned Optimization,,RLHF fine-tuning for aligned language models
33,54,2,21,7,2,AI-driven personal data privacy breaches,,Formal Verification for Pre-Deployment AI Safety
12,4,2,6,30,2,Catastrophic risks from misaligned advanced AI,,PGD Adversarial Training for Robust Fine-Tuning
2,103,4,28,2,2,AI arms race causing unsafe deployment,,International treaty banning autonomous weapons
2,103,4,4,3,2,AI arms race causing unsafe deployment,,Pre-deployment safety gates and controlled release
12,20,2,6,12,2,Catastrophic risks from misaligned advanced AI,,PGD Adversarial Training for Robust Fine-Tuning
25,11,2,35,17,2,Misaligned Superintelligent AI Existential Risk,,Human-preference reward model fine-tuning
25,30,2,35,11,2,Misaligned Superintelligent AI Existential Risk,,Human-preference reward model fine-tuning
2,84,4,11,3,2,AI arms race causing unsafe deployment,,Public AI risk outreach and educational dissemination
25,43,2,35,8,2,Misaligned Superintelligent AI Existential Risk,,Human-preference reward model fine-tuning
9,98,5,1,2,2,Deployed AI Misalignment Causes Societal Harm,,Continuous anomaly monitoring and safety tripwires
16,78,2,10,5,2,Insufficient AI safety research capacity,,Governed AI oversight and compliance regimes
12,82,2,8,6,2,Catastrophic risks from misaligned advanced AI,,Expand AI Safety Research Funding and Capacity
10,0,32,11,18,2,Existential catastrophe from misaligned AI,,Public AI risk outreach and educational dissemination
9,12,2,35,16,2,Deployed AI Misalignment Causes Societal Harm,,Human-preference reward model fine-tuning
0,39,8,34,2,2,Out-of-distribution generalization failure,,Large-scale pretraining before task fine-tuning
9,17,2,4,14,2,Deployed AI Misalignment Causes Societal Harm,,Pre-deployment safety gates and controlled release
5,53,2,34,8,2,Compute and data inefficiency in AI training,,Large-scale pretraining before task fine-tuning
10,12,2,35,16,2,Existential catastrophe from misaligned AI,,Human-preference reward model fine-tuning
10,27,2,8,12,2,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
21,22,5,11,6,2,Catastrophic AI misalignment and loss of control,,Public AI risk outreach and educational dissemination
19,4,3,6,30,2,Misaligned AI takeover and human disempowerment,,PGD Adversarial Training for Robust Fine-Tuning
6,79,2,35,6,2,Reward Misspecification and Reward Hacking,,Human-preference reward model fine-tuning
25,19,2,24,14,2,Misaligned Superintelligent AI Existential Risk,,RLHF fine-tuning for aligned language models
20,11,2,35,17,2,Deceptive alignment and hidden objectives,,Human-preference reward model fine-tuning
20,25,2,4,12,2,Deceptive alignment and hidden objectives,,Pre-deployment safety gates and controlled release
4,76,5,26,2,2,Unsafe and Sample-Inefficient RL Exploration,,Reward-guided RL fine-tuning with safety constraints
9,8,5,4,3,2,Deployed AI Misalignment Causes Societal Harm,,Pre-deployment safety gates and controlled release
35,26,2,35,12,2,Advanced AI value misalignment risk,,Human-preference reward model fine-tuning
33,6,5,22,10,2,AI-driven personal data privacy breaches,,Deployment-time confidence filtering and rejection sampling
35,25,2,4,12,2,Advanced AI value misalignment risk,,Pre-deployment safety gates and controlled release
35,24,2,24,12,2,Advanced AI value misalignment risk,,RLHF fine-tuning for aligned language models
4,5,30,26,2,2,Unsafe and Sample-Inefficient RL Exploration,,Reward-guided RL fine-tuning with safety constraints
10,19,2,24,14,2,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
21,17,2,4,14,2,Catastrophic AI misalignment and loss of control,,Pre-deployment safety gates and controlled release
21,11,2,35,17,2,Catastrophic AI misalignment and loss of control,,Human-preference reward model fine-tuning
26,89,2,35,5,2,Misaligned AGI existential catastrophe,,Human-preference reward model fine-tuning
26,64,2,18,6,2,Misaligned AGI existential catastrophe,,Critique-guided fine-tuning and human feedback
16,0,91,38,2,2,Insufficient AI safety research capacity,,Incentivized AI forecasting and prediction systems
2,7,2,38,25,2,AI arms race causing unsafe deployment,,Incentivized AI forecasting and prediction systems
25,67,2,15,6,2,Misaligned Superintelligent AI Existential Risk,,Pre-deployment mechanistic interpretability audits
22,90,3,24,4,2,Deceptive and Harmful Language Model Outputs,,RLHF fine-tuning for aligned language models
25,23,2,24,12,2,Misaligned Superintelligent AI Existential Risk,,RLHF fine-tuning for aligned language models
26,1,9,11,13,2,Misaligned AGI existential catastrophe,,Public AI risk outreach and educational dissemination
30,23,2,24,12,2,Existential catastrophe and human extinction risks,,RLHF fine-tuning for aligned language models
12,0,2,8,165,2,Catastrophic risks from misaligned advanced AI,,Expand AI Safety Research Funding and Capacity
25,59,2,8,6,2,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
30,9,2,4,20,2,Existential catastrophe and human extinction risks,,Pre-deployment safety gates and controlled release
20,24,2,24,12,2,Deceptive alignment and hidden objectives,,RLHF fine-tuning for aligned language models
9,62,3,25,6,2,Deployed AI Misalignment Causes Societal Harm,,Explainable decision support with uncertainty and counterfactuals
34,11,2,35,17,2,Instrumental power-seeking by advanced AI agents,,Human-preference reward model fine-tuning
0,81,6,22,2,2,Out-of-distribution generalization failure,,Deployment-time confidence filtering and rejection sampling
21,63,2,15,5,2,Catastrophic AI misalignment and loss of control,,Pre-deployment mechanistic interpretability audits
6,85,3,32,4,2,Reward Misspecification and Reward Hacking,,Attainable Utility Preservation reward penalty
4,76,5,20,2,2,Unsafe and Sample-Inefficient RL Exploration,,Uniform Experience Replay for RL Training
19,50,2,8,8,2,Misaligned AI takeover and human disempowerment,,Expand AI Safety Research Funding and Capacity
10,24,2,24,12,2,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
4,85,3,32,4,2,Unsafe and Sample-Inefficient RL Exploration,,Attainable Utility Preservation reward penalty
0,52,2,9,8,2,Out-of-distribution generalization failure,,Choose robust model architectures at design time
28,68,6,36,2,2,Algorithmic discrimination in high-stakes decisions,,Robustness-Oriented Training Data Augmentation
10,25,2,4,12,2,Existential catastrophe from misaligned AI,,Pre-deployment safety gates and controlled release
10,26,2,35,12,2,Existential catastrophe from misaligned AI,,Human-preference reward model fine-tuning
10,1,10,11,13,2,Existential catastrophe from misaligned AI,,Public AI risk outreach and educational dissemination
10,60,2,10,7,2,Existential catastrophe from misaligned AI,,Governed AI oversight and compliance regimes
10,61,2,10,7,2,Existential catastrophe from misaligned AI,,Governed AI oversight and compliance regimes
10,35,2,24,8,2,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
19,35,2,24,8,2,Misaligned AI takeover and human disempowerment,,RLHF fine-tuning for aligned language models
10,50,2,8,8,2,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
10,51,2,5,8,2,Existential catastrophe from misaligned AI,,Pre-deployment adversarial red-teaming and robustness testing
26,37,2,24,9,2,Misaligned AGI existential catastrophe,,RLHF fine-tuning for aligned language models
10,44,2,8,8,2,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
10,14,2,8,15,2,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
19,9,2,4,20,2,Misaligned AI takeover and human disempowerment,,Pre-deployment safety gates and controlled release
26,9,2,4,20,2,Misaligned AGI existential catastrophe,,Pre-deployment safety gates and controlled release
19,37,2,24,9,2,Misaligned AI takeover and human disempowerment,,RLHF fine-tuning for aligned language models
19,11,2,35,17,2,Misaligned AI takeover and human disempowerment,,Human-preference reward model fine-tuning
19,16,2,4,13,2,Misaligned AI takeover and human disempowerment,,Pre-deployment safety gates and controlled release
15,75,2,8,6,2,Opaque AI decision-making undermines oversight and safety,,Expand AI Safety Research Funding and Capacity
9,44,2,8,8,2,Deployed AI Misalignment Causes Societal Harm,,Expand AI Safety Research Funding and Capacity
9,14,2,8,15,2,Deployed AI Misalignment Causes Societal Harm,,Expand AI Safety Research Funding and Capacity
9,21,2,23,13,2,Deployed AI Misalignment Causes Societal Harm,,Human-aware predictive robot control and safety planning
35,67,2,15,6,2,Advanced AI value misalignment risk,,Pre-deployment mechanistic interpretability audits
10,23,2,24,12,2,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
19,51,2,5,8,2,Misaligned AI takeover and human disempowerment,,Pre-deployment adversarial red-teaming and robustness testing
12,30,2,35,11,2,Catastrophic risks from misaligned advanced AI,,Human-preference reward model fine-tuning
12,19,2,24,14,2,Catastrophic risks from misaligned advanced AI,,RLHF fine-tuning for aligned language models
25,37,2,24,9,2,Misaligned Superintelligent AI Existential Risk,,RLHF fine-tuning for aligned language models
12,17,2,4,14,2,Catastrophic risks from misaligned advanced AI,,Pre-deployment safety gates and controlled release
3,63,2,15,5,2,Opaque Transformer Reasoning Undermines Safety Oversight,,Pre-deployment mechanistic interpretability audits
10,17,2,4,14,2,Existential catastrophe from misaligned AI,,Pre-deployment safety gates and controlled release
7,9,2,4,20,2,Human extinction from misaligned superintelligent AI,,Pre-deployment safety gates and controlled release
10,56,2,15,7,2,Existential catastrophe from misaligned AI,,Pre-deployment mechanistic interpretability audits
7,37,2,24,9,2,Human extinction from misaligned superintelligent AI,,RLHF fine-tuning for aligned language models
4,13,16,9,2,2,Unsafe and Sample-Inefficient RL Exploration,,Choose robust model architectures at design time
34,23,2,24,12,2,Instrumental power-seeking by advanced AI agents,,RLHF fine-tuning for aligned language models
38,2,2,8,39,2,Catastrophic AGI Misalignment Risk,,Expand AI Safety Research Funding and Capacity
12,12,2,35,16,2,Catastrophic risks from misaligned advanced AI,,Human-preference reward model fine-tuning
9,59,2,8,6,2,Deployed AI Misalignment Causes Societal Harm,,Expand AI Safety Research Funding and Capacity
19,12,2,35,16,2,Misaligned AI takeover and human disempowerment,,Human-preference reward model fine-tuning
21,49,1,8,8,1,Catastrophic AI misalignment and loss of control,,Expand AI Safety Research Funding and Capacity
25,50,1,8,8,1,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
12,67,1,15,6,1,Catastrophic risks from misaligned advanced AI,,Pre-deployment mechanistic interpretability audits
25,51,1,5,8,1,Misaligned Superintelligent AI Existential Risk,,Pre-deployment adversarial red-teaming and robustness testing
33,6,5,18,5,1,AI-driven personal data privacy breaches,,Critique-guided fine-tuning and human feedback
12,57,1,5,7,1,Catastrophic risks from misaligned advanced AI,,Pre-deployment adversarial red-teaming and robustness testing
33,6,5,6,5,1,AI-driven personal data privacy breaches,,PGD Adversarial Training for Robust Fine-Tuning
25,56,1,15,7,1,Misaligned Superintelligent AI Existential Risk,,Pre-deployment mechanistic interpretability audits
16,49,1,8,8,1,Insufficient AI safety research capacity,,Expand AI Safety Research Funding and Capacity
26,56,1,15,7,1,Misaligned AGI existential catastrophe,,Pre-deployment mechanistic interpretability audits
2,10,8,8,1,1,AI arms race causing unsafe deployment,,Expand AI Safety Research Funding and Capacity
12,43,1,35,8,1,Catastrophic risks from misaligned advanced AI,,Human-preference reward model fine-tuning
26,16,1,4,13,1,Misaligned AGI existential catastrophe,,Pre-deployment safety gates and controlled release
25,20,1,5,1,1,Misaligned Superintelligent AI Existential Risk,,Pre-deployment adversarial red-teaming and robustness testing
30,64,1,18,6,1,Existential catastrophe and human extinction risks,,Critique-guided fine-tuning and human feedback
19,60,1,10,7,1,Misaligned AI takeover and human disempowerment,,Governed AI oversight and compliance regimes
19,61,1,10,7,1,Misaligned AI takeover and human disempowerment,,Governed AI oversight and compliance regimes
25,58,1,35,7,1,Misaligned Superintelligent AI Existential Risk,,Human-preference reward model fine-tuning
12,18,2,35,7,1,Catastrophic risks from misaligned advanced AI,,Human-preference reward model fine-tuning
12,18,2,24,7,1,Catastrophic risks from misaligned advanced AI,,RLHF fine-tuning for aligned language models
22,8,1,10,17,1,Deceptive and Harmful Language Model Outputs,,Governed AI oversight and compliance regimes
9,51,1,5,8,1,Deployed AI Misalignment Causes Societal Harm,,Pre-deployment adversarial red-teaming and robustness testing
25,46,1,5,8,1,Misaligned Superintelligent AI Existential Risk,,Pre-deployment adversarial red-teaming and robustness testing
9,50,1,8,8,1,Deployed AI Misalignment Causes Societal Harm,,Expand AI Safety Research Funding and Capacity
12,58,1,35,7,1,Catastrophic risks from misaligned advanced AI,,Human-preference reward model fine-tuning
10,49,1,8,8,1,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
17,80,2,34,5,1,Adversarial Image Classification Misclassification,,Large-scale pretraining before task fine-tuning
33,6,5,5,6,1,AI-driven personal data privacy breaches,,Pre-deployment adversarial red-teaming and robustness testing
4,85,3,30,2,1,Unsafe and Sample-Inefficient RL Exploration,,Periodic target networks for stable Q-learning
7,93,1,35,5,1,Human extinction from misaligned superintelligent AI,,Human-preference reward model fine-tuning
7,32,2,24,5,1,Human extinction from misaligned superintelligent AI,,RLHF fine-tuning for aligned language models
7,32,2,35,5,1,Human extinction from misaligned superintelligent AI,,Human-preference reward model fine-tuning
7,60,1,10,7,1,Human extinction from misaligned superintelligent AI,,Governed AI oversight and compliance regimes
7,61,1,10,7,1,Human extinction from misaligned superintelligent AI,,Governed AI oversight and compliance regimes
1,78,1,10,5,1,Malicious misuse of frontier AI for large-scale harm,,Governed AI oversight and compliance regimes
20,16,1,4,13,1,Deceptive alignment and hidden objectives,,Pre-deployment safety gates and controlled release
20,56,1,15,7,1,Deceptive alignment and hidden objectives,,Pre-deployment mechanistic interpretability audits
20,50,1,8,8,1,Deceptive alignment and hidden objectives,,Expand AI Safety Research Funding and Capacity
20,51,1,5,8,1,Deceptive alignment and hidden objectives,,Pre-deployment adversarial red-teaming and robustness testing
10,66,2,33,3,1,Existential catastrophe from misaligned AI,,Deployment-time prompt engineering for aligned behavior
10,66,2,27,3,1,Existential catastrophe from misaligned AI,,KL-Regularized RLHF Fine-Tuning
2,8,2,10,17,1,AI arms race causing unsafe deployment,,Governed AI oversight and compliance regimes
26,49,1,8,8,1,Misaligned AGI existential catastrophe,,Expand AI Safety Research Funding and Capacity
5,39,1,9,6,1,Compute and data inefficiency in AI training,,Choose robust model architectures at design time
4,13,16,26,1,1,Unsafe and Sample-Inefficient RL Exploration,,Reward-guided RL fine-tuning with safety constraints
19,48,2,35,2,1,Misaligned AI takeover and human disempowerment,,Human-preference reward model fine-tuning
6,20,1,6,12,1,Reward Misspecification and Reward Hacking,,PGD Adversarial Training for Robust Fine-Tuning
6,45,1,6,2,1,Reward Misspecification and Reward Hacking,,PGD Adversarial Training for Robust Fine-Tuning
9,62,3,33,1,1,Deployed AI Misalignment Causes Societal Harm,,Deployment-time prompt engineering for aligned behavior
10,93,1,35,5,1,Existential catastrophe from misaligned AI,,Human-preference reward model fine-tuning
10,32,2,24,5,1,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
10,32,2,35,5,1,Existential catastrophe from misaligned AI,,Human-preference reward model fine-tuning
10,37,1,24,9,1,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
26,8,1,10,17,1,Misaligned AGI existential catastrophe,,Governed AI oversight and compliance regimes
1,8,2,10,17,1,Malicious misuse of frontier AI for large-scale harm,,Governed AI oversight and compliance regimes
2,78,1,10,5,1,AI arms race causing unsafe deployment,,Governed AI oversight and compliance regimes
2,8,2,4,3,1,AI arms race causing unsafe deployment,,Pre-deployment safety gates and controlled release
30,103,1,4,3,1,Existential catastrophe and human extinction risks,,Pre-deployment safety gates and controlled release
30,84,2,4,3,1,Existential catastrophe and human extinction risks,,Pre-deployment safety gates and controlled release
7,34,1,35,9,1,Human extinction from misaligned superintelligent AI,,Human-preference reward model fine-tuning
