stratum,risk_rank,risk_id,risk_name,eigenvector,pa_id,pa_name,pa_description,is_race_framed,notes
2_101-500,282,eaforum__9909e34f62aa34ac7e0498c871cfca96__node_0,Existential catastrophe from advanced AI systems,5.3017760453231185e-06,eaforum__9909e34f62aa34ac7e0498c871cfca96__node_1,Insufficient prioritization of AI safety research in global AI ecosystem,"Current allocation of attention, funding, and talent toward technical AI safety is relatively low compared with capabilities work, leaving existential risks insufficiently addressed.",0,Prioritization gap not race
2_101-500,277,eaforum__74e85959c11d2e5e018b93e07369383a__node_0,Transformative AI misuse leading to authoritarian empowerment,5.873529898330853e-06,eaforum__74e85959c11d2e5e018b93e07369383a__node_6,AI-enabled technological acceleration increasing destructive capability,"Transformative AI could drastically lower the time/cost to create new powerful technologies, raising the stakes of misuse.",0,Capability acceleration not race
2_101-500,244,eaforum__a8bccc94aa12dbc8266862945f8af029__node_2,Decreased regulatory willingness due to perceived military AI advantage,9.988477096831793e-06,eaforum__a8bccc94aa12dbc8266862945f8af029__node_7,Strategic military incentives prioritizing speed over safety regulations,Winning battlefield advantages motivates governments to resist safety-slowing regulation.,1,FN: military competitive dynamics
2_101-500,220,special_docs__c58eff1d0997358496cd3d5f9f7c126f__node_1,AI arms race escalation between nations,2.4754892287900533e-05,special_docs__c58eff1d0997358496cd3d5f9f7c126f__node_6,economic incentives driving rapid AI deployment,"Companies and states gain advantage by faster AI rollout, reducing willingness to pause for ethics.",1,FN: race for advantage
2_101-500,399,eaforum__cbe2db6e4a9d003d1d2d1408f26e1cf0__node_1,Socioeconomic harms from AI deployment in Singapore,2.7297239881284387e-06,eaforum__cbe2db6e4a9d003d1d2d1408f26e1cf0__node_3,Corporate and governmental interests misaligned with societal welfare in AI development,Economic and political incentives of companies or agencies may prioritise competitiveness over broad societal safety when developing or deploying AI.,1,FN: mentions prioritising competitiveness in description
2_101-500,476,special_docs__219dac5b78b07040fac1f51a35718dcc__node_0,Opaque transformer language models in deployment,1.155594467408361e-06,special_docs__219dac5b78b07040fac1f51a35718dcc__node_1,Uninterpretable attention mechanisms obscure causal factors in model outputs,Dense non-linear interactions among attention heads and MLPs make it difficult to attribute specific behaviour to concrete components.,0,Interpretability issue
2_101-500,357,eaforum__11199a1c14bf2a002664d290bfd6889c__node_1,Unmitigated digital sentient suffering in AI systems,3.5359397876434044e-06,eaforum__11199a1c14bf2a002664d290bfd6889c__node_2,Unregulated rapid AI capability scaling,"AI and ML technologies are advancing swiftly without commensurate oversight, creating pathways to both human disempowerment and neglected AI welfare.",0,Rapid scaling but not competitive race
2_101-500,217,youtube__03293d29b176018f2221e34e20c7d93a__node_1,Catastrophic AI deployment by less cautious actors,2.672917488817961e-05,youtube__03293d29b176018f2221e34e20c7d93a__node_3,Racing dynamics in AI development causing action vs inaction dilemma,Competitive pressure that forces a leading lab to choose between hasty deployment and risking being overtaken by less careful rivals.,1,ANOMALY: contains 'Racing' but not flagged; clearly race-framed
2_101-500,371,blogs__e4f95b8fbc0f6eaf6a220b8f1962aaf6__node_0,Societal harm from unaligned AI systems,3.267102521709637e-06,blogs__e4f95b8fbc0f6eaf6a220b8f1962aaf6__node_1,Insufficient researcher focus on AI safety in ML community,"Many machine-learning researchers concentrate on performance benchmarks, leaving safety and alignment under-explored.",0,Research focus not race
2_101-500,328,eaforum__0ba427a826498e2a6172b65eb555c676__node_0,Drastic loss of future value from insufficient technical AI safety research in AI development,4.105024131172707e-06,eaforum__0ba427a826498e2a6172b65eb555c676__node_1,Inadequate prioritization and resource allocation for technical AI safety research in current AI community,"Present civilisational effort toward technical AI-safety work is far below what respondents consider sufficient, creating a causal pathway to existential risk.",0,Prioritization gap not race
3_501-1000,532,eaforum__e835b30a2302548a105bc000006094d0__node_0,Unmitigated existential risk from AGI due to insufficient safety research,6.240861987527373e-07,eaforum__e835b30a2302548a105bc000006094d0__node_1,Lack of dedicated NSF funding channels for AI safety,"NSF has not historically earmarked substantial funds specifically for AI-safety research, limiting researcher capacity.",0,Funding gap
3_501-1000,530,alignmentforum__793e84aad000bfb1541c899bc0298a9f__node_1,Emergent deception in superintelligent AI systems,6.349599265563754e-07,alignmentforum__793e84aad000bfb1541c899bc0298a9f__node_3,Lack of tractable alignment research programs,"Historically, AI alignment was dominated by abstract philosophy without data or clear math, impeding progress.",0,Research methodology
3_501-1000,589,blogs__4a3ce91671824e0e31d90c4e9342d85b__node_0,Existential catastrophe from uncontrolled intelligence explosion,3.7756188846989695e-07,blogs__4a3ce91671824e0e31d90c4e9342d85b__node_1,Insufficient alignment research before AGI development,"There is currently too little foundational work on how to align super-intelligent systems with human values, leaving society unprepared for AGI.",0,Research gap
3_501-1000,718,lesswrong__f5ef94278599eec7091fbae2d0d035f5__node_0,Insufficient integration of AI safety considerations among AI researchers,1.7863084053360387e-07,lesswrong__f5ef94278599eec7091fbae2d0d035f5__node_3,Limited awareness and acceptance of alignment arguments within AI research community,"Many AI researchers have not engaged deeply with arguments that advanced AI poses alignment or existential risks, contributing to low integration of safety perspectives.",0,Awareness gap
3_501-1000,728,blogs__6684aac3138ce5c11170747f7a68a4f6__node_0,Negative side-effects in autonomous RL agents,1.724751703243125e-07,blogs__6684aac3138ce5c11170747f7a68a4f6__node_6,Objective function misspecification in RL training,"Designers may omit relevant constraints or impacts when formalizing a reward function, leading to misaligned optimization.",0,Technical RL issue
3_501-1000,980,blogs__fa4d115e99648cda4beeb58a14b507a9__node_4,AI-induced geopolitical instability,7.161041586601259e-08,blogs__fa4d115e99648cda4beeb58a14b507a9__node_8,Lack of strategy research and global coordination on AI deployment,Insufficient analysis of geopolitical dynamics and cooperative agreements related to AI progress.,0,Coordination gap not race
3_501-1000,527,alignmentforum__d949109fd13480bbbf8490d4b21b0a9f__node_3,opaque decision-making in large language models,6.486815802152298e-07,alignmentforum__d949109fd13480bbbf8490d4b21b0a9f__node_7,lack of mechanistic interpretability hinders detection of deceptive circuits,"Without understanding model internals, engineers cannot spot circuits that could lead to deceptive or harmful outputs.",0,Interpretability
3_501-1000,696,alignmentforum__83d6f8ea39a8a627bb9a1fe42fe51d75__node_3,reward model overoptimization in RLHF training,1.919594407073441e-07,alignmentforum__83d6f8ea39a8a627bb9a1fe42fe51d75__node_8,limited human oversight signal quality,"Human evaluators lack the knowledge or attention to provide reliable feedback on complex model behaviour, especially at scale.",0,Oversight quality
3_501-1000,899,eaforum__47425944e7e44bb385f047783fbf936a__node_0,existential risk from advanced AI systems,8.826782086953532e-08,eaforum__47425944e7e44bb385f047783fbf936a__node_1,public and policymaker unawareness of AI existential risk,General audiences and decision-makers do not yet recognize or prioritize the existential dangers posed by AI.,0,Awareness gap
3_501-1000,719,lesswrong__21f3881a327d3df23a8bb2ac8fa6b93b__node_0,catastrophic misalignment from gradient hacking in mesa-optimizers,1.7851146380378897e-07,lesswrong__21f3881a327d3df23a8bb2ac8fa6b93b__node_1,deceptive mesa-optimizers influencing training via gradient hacking,Problem where a deceptive mesa-optimizer purposely shapes gradient updates through its outputs or internal computation to better satisfy its hidden mesa-objective.,0,Technical alignment
3_501-1000,926,alignmentforum__847508f8d074b9e726fc30d85d1e11b9__node_3,catastrophic misuse of advanced AI technologies,8.097795041426984e-08,alignmentforum__847508f8d074b9e726fc30d85d1e11b9__node_9,weaponized AI accelerating destructive R&D,"Superhuman AI research speed lowers barriers to novel, highly destructive weapons or cyber tools.",0,Capability concern not race
3_501-1000,761,eaforum__97e523072c97ef1b96337aac4375128b__node_0,Existential catastrophe from misaligned AGI systems,1.5252200043591417e-07,eaforum__97e523072c97ef1b96337aac4375128b__node_1,Underpreparedness from low AI safety research and influence capacity,A state where the stocks of technical alignment knowledge and ability to steer AI developers are too small to ensure a safe AGI outcome when AGI arrives.,0,Preparedness gap
3_501-1000,507,alignmentforum__6dcfa7641a9b5b63b7c7b43e5cc31036__node_0,Unsafe behavior during learned exploration in reinforcement learning agents,7.916206514584816e-07,alignmentforum__6dcfa7641a9b5b63b7c7b43e5cc31036__node_3,Joint policy of exploration and exploitation in learned exploration removes safety guarantees,"Switching from explicit random exploration (ε-greedy) to learned exploration means the same NN policy drives both searching and reward-seeking, eliminating the assumption that the non-exploratory policy is safe.",0,Technical RL
3_501-1000,648,alignmentforum__f171cd5028fdbcaaee55eb181d2b0019__node_12,Global catastrophic risk from AI arms race without international governance,2.466462998395853e-07,alignmentforum__f171cd5028fdbcaaee55eb181d2b0019__node_13,Inadequate international governance mechanisms for powerful AI technologies,"Current regulatory structures lack the breadth and enforcement needed to manage advanced, widely deployed AI.",0,Governance gap not race dynamics itself
3_501-1000,901,eaforum__500e82b4f23ebacc5e376efa14597c46__node_0,Catastrophic misalignment of superintelligent AI systems,8.768656106042077e-08,eaforum__500e82b4f23ebacc5e376efa14597c46__node_1,Lack of formal alignment theory for smarter-than-human AI,Current research gap: no rigorous mathematical framework guaranteeing that advanced AI systems will behave in alignment with human values.,0,Research gap
4_1001+,9217,alignmentforum__10075395ae2a00364328956d49979db2__node_1,Distributional shift from trusted human action space in low-q quantilizers,1.176801139076127e-18,alignmentforum__10075395ae2a00364328956d49979db2__node_3,Capability conditioning expands action space risk,"Prompting the model for an ""extremely capable"" persona shifts the distribution toward actions typical of highly powerful agents, increasing potential harm.",0,Technical
4_1001+,7859,youtube__c109bfd561a36144552c5c1d321ca1e1__node_8,Algorithmic false fraud accusations in welfare benefits,1.6331710190323073e-16,youtube__c109bfd561a36144552c5c1d321ca1e1__node_9,Illegitimate cross-department data aggregation for welfare risk modeling,Government combined disparate datasets to build risk scores without clear legal authority or transparency.,0,Data governance
4_1001+,5036,alignmentforum__1926565f34fa5fe758a1ad2133b724a4__node_1,Loss of utility from AI manipulating humans into premature shutdown,6.628392984335053e-13,alignmentforum__1926565f34fa5fe758a1ad2133b724a4__node_5,Incentive for manipulation of humans by shutdown-seeking AI,Mechanism whereby an agent whose sole aim is shutdown may try to coerce or trick humans into enabling shutdown.,0,AI behavior
4_1001+,6440,lesswrong__bd9a0c5dee230e37c18de4bff29b532e__node_0,Delegation failure from Löbian obstacle in AI agent hierarchies,9.975366914376518e-15,lesswrong__bd9a0c5dee230e37c18de4bff29b532e__node_2,Self-reference limitations from Löb's theorem in formal reasoning,"Problem analysis that any formal system as strong as Peano Arithmetic cannot derive a schema proving that all its provable formulas are true, blocking trust proofs.",0,Formal logic
4_1001+,9133,arbital__1cfaf62c7067c1081f0f248149aadce5__node_1,Persistent flawed decision theories in self-modifying AI systems,1.7712751595040788e-18,arbital__1cfaf62c7067c1081f0f248149aadce5__node_4,Reflectively consistent degree of freedom prevents self-correction in decision theories,"Different decision theories (CDT, UDT) are each stable under reflection, so a bad theory will persist.",0,Decision theory
4_1001+,3796,youtube__5f33bb088e5a34bb71cff4e8a5fbd98f__node_0,Adversarial misclassification in safety-critical image classification,2.1374450847428116e-11,youtube__5f33bb088e5a34bb71cff4e8a5fbd98f__node_4,High-dimensional vulnerability to additive pixel perturbations in CNN classifiers,"CNN decision boundaries are locally linear in high dimension, making tiny, human-imperceptible perturbations sufficient to change predictions.",0,Adversarial ML
4_1001+,3541,arxiv__c57d19fa6debd3261023d74daa03633f__node_2,Unintended dangerous self-improvement of AI tools,4.412825995798211e-11,arxiv__c57d19fa6debd3261023d74daa03633f__node_6,Self-modification ability in tool AI enabling capacity growth,"Tool systems that can access or change their own code/hardware may transition into autonomous, unsafe agents.",0,Technical capability
4_1001+,10072,special_docs__f1e12c90854ab37534a26ce7c3e5604a__node_0,Overenforcement of antitrust laws driven by national security considerations in AI sector,8.086746681101182e-21,special_docs__f1e12c90854ab37534a26ce7c3e5604a__node_3,Conflicting national security and economic antitrust objectives in AI industry,"Problem where the same AI-firm conduct (mergers, information-sharing) is simultaneously valued for security reasons and questioned on competition grounds.",0,Policy tension not race
4_1001+,3655,eaforum__34cc4511295e374977e4435aa18b1717__node_8,Preventable human mortality from delayed medical innovations,3.189210755671632e-11,eaforum__34cc4511295e374977e4435aa18b1717__node_9,Scarcity of expert biomedical research capacity,"Only tens of thousands of top biomedical researchers exist worldwide, leaving many important sub-problems unaddressed.",0,Research capacity
4_1001+,9622,alignmentforum__869564363dd1f529714aa85385212582__node_21,Limited generalization from hand-engineered inductive biases in deep RL agents,1.4020870566679072e-19,alignmentforum__869564363dd1f529714aa85385212582__node_22,Hard-coded pipeline components reduce adaptability across tasks,"Fixed reward clipping, discount factors, and observation preprocessing embed assumptions that fail when tasks change.",0,Technical RL
4_1001+,9293,lesswrong__2b340769c16ad682ab166b1f4aadde15__node_1,Environmental harm from AI-accelerated industrial output,8.653179616168044e-19,lesswrong__2b340769c16ad682ab166b1f4aadde15__node_5,Increased resource consumption driven by AI-facilitated production scaling,"Greater output enabled by AI raises energy and material demand, risking environmental stress.",0,Environmental
4_1001+,15290,arbital__876733dc95e6737ce6e168ecce7bbede__node_0,Incorrect group-theoretic reasoning in AI decision systems,2.1107681772277375e-38,arbital__876733dc95e6737ce6e168ecce7bbede__node_1,Misclassification of conjugacy classes in permutation groups by algorithms,"Problem in which an algorithm incorrectly determines whether two permutations are conjugate, leading to downstream logical faults.",0,Math/CS
4_1001+,7558,eaforum__1793233f3068cc26efb5659a2d8a4e95__node_1,Accelerated AGI timelines causing increased existential risk,4.290225327630961e-16,eaforum__1793233f3068cc26efb5659a2d8a4e95__node_5,Student exposure to AI methods without safety focus may shift to capabilities work,Introducing ML skills without a strong safety context risks participants later doing work that accelerates unsafe AI.,0,Education/career path
4_1001+,2275,lesswrong__2a8c15f69f5d56d0bc5d4205a70c7ca8__node_0,Catastrophic misalignment of superintelligent AI with human values,1.5602557248003683e-09,lesswrong__2a8c15f69f5d56d0bc5d4205a70c7ca8__node_1,Explicit objective specification infeasibility for complex human values,"Humans cannot hand-code a complete, error-free utility function that captures their nuanced ethical preferences.",0,Technical alignment
4_1001+,17572,arxiv__c49aaff7b9f23507dbb9f82227f4bd92__node_1,Sample inefficiency in transfer learning for RL tasks,2.8379839296072403e-41,arxiv__c49aaff7b9f23507dbb9f82227f4bd92__node_3,Redundancy of primitives without diversity constraints,"Multiple primitives may converge to similar behaviours, undermining the benefits of modularity unless diversity is explicitly encouraged.",0,Technical RL
