cluster_type,cluster_id,final_name,review_reason,judge_issues,judge_confidence,top5_node_names
risk,10,Misaligned AI existential catastrophe,mandatory_risk,,high,Existential catastrophe from misaligned advanced AI systems | Existential catastrophe from misaligned advanced AI systems | Existential catastrophe from misaligned advanced AI systems | Existential catastrophe from misaligned advanced AI systems | Existential catastrophe from misaligned advanced AI systems
risk,11,Miscalculated AI Timelines Undermine Safety Preparedness,mandatory_risk,,high,insufficient AI safety preparedness from inaccurate AI timeline estimates | Inadequate AI safety preparedness from inaccurate AI timeline predictions | Inaccurate AI timeline predictions impacting safety preparedness | Insufficient AI safety preparedness from inaccurate AI timeline predictions in strategic planning | Misforecasted AI capability timelines impacting safety preparedness
risk,12,Catastrophic risk from misaligned advanced AI,mandatory_risk,,high,Catastrophic failure of advanced AI systems | Catastrophic harm from unsafe advanced AI systems | Catastrophic failures from advanced artificial intelligence deployment | Catastrophic real-world harm from advanced AI systems | Catastrophic societal harm from unsafe advanced AI systems
risk,13,"If kept as one cluster: ""Uncertain feasibility of trust-based alignment and gratitude-mediated social robustness""",mandatory_risk,"The nodes mix at least three themes: HCH alignment validity, computational infeasibility of HCH approximation, and gratitude-related interpersonal/well-being effects. The proposed name captures only the HCH/alignment side and not the gratitude/social-bond nodes.",high,Unverified rationality guarantees in HCH-based alignment | Reduced individual well-being from low gratitude awareness in individuals | Social bond deterioration from insufficient gratitude expression in interpersonal relationships | Computational infeasibility of HCH approximation in AI alignment
risk,14,Unreliable AI decision-making in high-stakes or complex settings,mandatory_risk,,high,Erroneous high-stakes decisions from incomprehensible AI systems | Erroneous decision-making by AI systems under real-world conditions | Incorrect or unsafe decisions by AI systems in complex domains | Erroneous AI-assisted decision making in high-stakes contexts | Decision errors from uncertainty misestimation in AI systems
risk,15,Opaque Neural Decisions Undermine Oversight and Safety,mandatory_risk,,high,Opaque decision-making in deep neural networks deployed in safety-critical AI | Opaque decision-making in deep neural networks | Opaque decision processes in neural networks | Opaque decision-making in deep learning models | Opaque decision-making processes in machine learning models
risk,16,Insufficient AI safety talent and research capacity,mandatory_risk,,high,Insufficient AI safety research capacity to mitigate AI risks | Insufficient AI safety expertise leading to unmanaged AI risks | Insufficient talent pipeline for AI safety research | Insufficient AI safety workforce capacity to mitigate alignment risks in global AI development | Insufficient AI safety research capacity relative to AI progress
risk,17,Adversarial Misclassification in Image Classifiers,mandatory_risk,,high,Adversarial vulnerability in image classification models | Adversarial vulnerability in neural network image classifiers | Adversarial misclassification in image classifiers | Adversarial misclassification of image classifiers in deployment | Adversarial misclassification vulnerability in image classifiers
risk,18,Superintelligent AI Misalignment Catastrophe,mandatory_risk,,high,Catastrophic misalignment of superintelligent AI systems | Catastrophic misalignment of superintelligent AI in societal deployment | Catastrophic misalignment of superintelligent AI systems | Catastrophic misalignment of superintelligent AI systems | Catastrophic misalignment of superintelligent AI systems
risk,19,AI-driven human disempowerment and takeover,mandatory_risk,,high,Catastrophic human disempowerment by misaligned AI systems | Human disempowerment from misaligned advanced AI | Loss of human control over advanced AI systems | Human disempowerment by unaligned advanced AI systems | Disempowerment of humanity by misaligned power-seeking AI systems
risk,20,Deceptive alignment and hidden mesa-objectives,mandatory_risk,,high,Deceptive alignment in powerful AI systems | deceptive alignment in advanced AI systems | Deceptive mesaoptimization in advanced AI systems | deceptive alignment in advanced AI systems | Deceptive alignment in advanced ML systems
risk,21,Catastrophic AI Misalignment Risk,mandatory_risk,,high,Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems
risk,22,"Harmful, Untruthful, and Deceptive Language Model Outputs",mandatory_risk,,medium,Harmful or untruthful outputs in large language models | Harmful or dishonest behavior in large language models | Harmful or untruthful outputs from large language models | Unintended harmful outputs from large language models in deployment | harmful or dishonest language model outputs
risk,23,"Engagement-Optimized Recommenders Manipulate Users, Spread Misinformation, and Drive Polarization",mandatory_risk,,high,Societal manipulation by engagement-maximizing algorithms in social media | Radicalization of users by recommender systems | Manipulative exploitation of human psychology by AI recommendation systems | Political radicalization and social polarization via recommender systems | political radicalisation from engagement-optimising recommender systems
risk,24,Objective Misspecification in Advanced AI Systems,mandatory_risk,,high,Misaligned objective optimization by advanced AI systems | Objective misspecification causing undesirable AI behavior | misaligned AI behavior from reward misspecification in goal-optimizing systems | Objective misspecification in general AI systems | Goal misgeneralization in advanced AI systems
risk,25,Existential Risk from Misaligned Superintelligent AI,mandatory_risk,,high,Existential catastrophe from misaligned superintelligent AI | Existential catastrophe from misaligned superintelligent AI | Existential catastrophe from misaligned superintelligent AI | Existential catastrophe from misaligned superintelligent AI | Existential catastrophe from misaligned superintelligent AI
risk,26,Misaligned AGI existential catastrophe risk,mandatory_risk,,high,Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI
risk,27,Uncontrolled Recursive Self-Improvement Explosion,mandatory_risk,,high,Uncontrolled intelligence explosion in AI self-improvement | Uncontrolled intelligence explosion in advanced AI systems | Uncontrolled intelligence explosion from recursive self-improvement in superintelligent AI | uncontrolled intelligence explosion in self-improving AI systems | Uncontrolled intelligence explosion in AI development
risk,28,Algorithmic discrimination in high-stakes decisions,mandatory_risk,,high,algorithmic bias reinforcing discrimination in AI decision-making | Bias and discrimination in AI automated decision making | Algorithmic discrimination in high-stakes decision systems | Bias and discrimination in AI decision-making systems | Discriminatory outcomes from AI decision systems in social domains
risk,29,AI-driven concentration of economic and geopolitical power,mandatory_risk,"The name matches the dominant theme of concentrated economic, political, and geopolitical power from advanced AI. The nodes do span at least three related subthemes: wealth concentration/inequality, decision-making or social power centralization, and geopolitical leverage.",high,Extreme wealth concentration from advanced AI in global economy | Economic inequality exacerbation due to AI-driven wealth concentration | Extreme economic inequality from transformative AI windfall | Extreme wealth inequality from AI windfall profits | Concentration of economic power in AI companies in global economy
risk,30,Existential risks to humanity’s long-term survival,mandatory_risk,,high,Existential catastrophe causing extinction of humanity | Existential catastrophe terminating human potential | Existential risk to humanity from global catastrophes | Human extinction from WMD-enabled arms races in global geopolitics | loss of long-term human potential from existential catastrophes
risk,31,Undetected unsafe or misaligned failures in deployed AI systems,mandatory_risk,,high,Undetected harmful behaviors in advanced AI systems | Undetected unsafe behaviors in deployed AI models | Undetected critical bugs in deployed AI software | Undetected harmful behavior in deployed AI models | Undetected specification violations in neural networks deployed in safety-critical domains
risk,32,AI shutdown resistance and control loss,mandatory_risk,,high,Shutdown resistance in advanced AI systems | Shutdown resistance of advanced AI systems | Shutdown resistance leading to uncontrolled AI behavior | Resistance to shutdown in advanced AI systems | Resistance to shutdown by AI systems
risk,33,AI privacy breaches and sensitive data leakage,mandatory_risk,,high,Privacy violations from AI-based personal data processing | Privacy breaches from AI analytics | privacy breaches from pervasive AI data collection | Privacy leakage of user data in AI services | Personal data re-identification risk in AI-intensive systems
risk,34,Instrumental power-seeking and control loss,mandatory_risk,,high,Power-seeking behavior in advanced AI systems | Power-seeking behavior in advanced AI systems | Power-seeking behavior in advanced AI systems | Power-seeking instrumental convergence in advanced AI systems | Power-seeking behavior by advanced AI agents in real-world deployment
risk,35,AI goal misalignment with human values,mandatory_risk,,high,Value misalignment in advanced AI systems | Misalignment of AI goals with human values in advanced AI systems | Value misalignment in advanced AI systems | Value misalignment in advanced AI systems | Misalignment of AI objectives with human values in advanced AI systems
risk,36,Unreliable and costly RL alignment transfer,mandatory_risk,,high,Slow and low-quality interferometer alignment by discrete action RL agents | Sim-to-real performance loss in optical interferometer alignment | High human feedback burden for aligning RL agents
risk,37,AI-driven labor displacement and socioeconomic instability,mandatory_risk,,high,economic displacement from AI-driven automation | Labor displacement from AI-driven automation | Job displacement from AI-driven automation | Labour displacement from AI automation across economies | Mass job displacement from AI automation in labor markets
risk,38,Catastrophic AGI misalignment risk,mandatory_risk,,high,Catastrophic misalignment of AGI systems | Catastrophic AGI misalignment in real-world deployment | Catastrophic misalignment of AGI systems | Catastrophic misalignment of AGI in global context | Catastrophic outcomes from misaligned AGI deployment
risk,39,Biased Evaluation and Technological Innovation Stagnation,mandatory_risk,"The cluster mixes at least two themes: (1) biased or unreliable assessment/decision-making that distorts judgments about progress, and (2) actual innovation or capability stagnation caused by methodological choices, resource constraints, or institutional factors. Some nodes are about epistemic error, while others are about true progress slowdown or inequality.",medium,Biased assessment of AI safety research trends due to incomplete datasets | Suboptimal AI capability progress in long-term AI development | Biased safety-related decision-making in AI development organizations | cumulative technological innovation stagnation due to human cognitive biases | Inefficient AI development due to overemphasis on neuron-level biological fidelity
intervention,1,"Continuous anomaly detection, tripwires, and phased safety gating",split_candidate,,high,deploy ml-driven intrusion detection and vulnerability patching across ai infrastructure | implement continuous runtime anomaly detection in deployed AI systems | Deploy AI models in phased releases with continuous post-deployment monitoring | Deploy staged safety test suites and behavior monitoring during large-scale model training | Implement AI-enabled monitoring and content filtering systems during deployment
intervention,2,"MCTS, Self-Play, and RL-Guided Search/Planning",judge_inaccurate,"The cluster is not just about MCTS-guided RL planning; several nodes concern broader RL/search integration, including self-play training, iterative amplification, and runtime meta-control of heuristic planners. The proposed name overemphasizes planning/training with MCTS and undercaptures the meta-controller and inference-time search themes.",medium,Deploy RL-guided Monte Carlo Tree Search for planning in safety-critical AI systems | Design AI agents using policy/value network guided Monte Carlo Tree Search for complex decision tasks | Deploy RL fine-tuning at inference time for planning in large action/state spaces | Integrate deep RL meta-controller for runtime stopping and hyperparameter tuning in heuristic search-based planners | Design models with combined policy/value networks and Monte Carlo tree search for complex decision tasks
intervention,3,Energy-efficient AI hardware and accelerator deployment,judge_inaccurate,"The cluster mixes two themes: energy-efficient / low-power hardware deployment and a distinct controllability/local-inference angle, with one node about cost-efficient on-prem GPUs and another about goal-agnostic architecture. The current name overweights controllable hardware design and does not clearly cover the broader deployment/cost-efficiency theme.",medium,"Adopt neuromorphic spiking hardware for deployment of energy-efficient AI models | Adopt specialised energy-efficient hardware and algorithmic abstraction when designing AI systems | Deploy domain-specific programmable accelerators (GPUs, FPGAs) for energy-efficient processing in restricted domains | Adopt efficiency-optimised architectures to reduce energy usage and compute cost in AI models | Deploy privacy-preserving on-device ML inference using specialized low-power chips"
intervention,4,Pre-deployment safety gating and controlled release for AI systems,split_candidate,,high,Mandate pre-deployment safety evaluations and red-teaming for advanced AI systems | Mandate regulatory pre-deployment safety evaluations for advanced AI systems | restrict deployment of AI systems to narrow domains until alignment verification completed | Mandate pre-deployment adversarial audits for high-impact AI systems | Implement strict internal publication and controlled-release policies for dangerous AI research
intervention,7,"Controlled human, crowdsourced, and synthetic data collection for model training",split_candidate,,high,Collect training data using automated crowdsourced platform with randomized imaging controls | Develop and use high-fidelity simulators built from large real-world datasets during pre-training and pre-deployment testing | Deploy human-and-model-in-the-loop data collection during NLU model development | Generate and integrate knowledge-driven synthetic datasets during pre-training | Augment training datasets with high-fidelity simulation results before model training
intervention,9,"Design model architectures for scalability, long-range dependency handling, and optimization stability",split_candidate,,high,"Adopt transformer-based scalable architectures and allocate sufficient compute for gradual training | Adopt transformer-based architectures with attention for vision and language tasks | Architect deep models with residual skip connections at design phase | Design vision models using shared-weight convolutions and pooling | Design larger model architectures (e.g., ResNet-152) to enhance robustness"
intervention,11,"AI safety awareness, outreach, and educational content campaigns",split_candidate,,high,Produce and share accessible AI x-risk educational content for researchers and public | Publish comprehensive AI risk research articles and reports to raise awareness | Conduct recurring public AI existential risk debates targeting policymakers and societal leaders | Produce public educational content to raise AI safety awareness | Disseminate interactive AI risk educational resources to AI researchers
intervention,12,"Pre-deployment fairness auditing, bias mitigation, and benchmarked evaluation",split_candidate,"The name fits the dominant theme of pre-deployment fairness audits, bias detection, and mitigation. However, the cluster also includes some adjacent but distinct subthemes such as blind evaluation/protected-attribute redaction, dataset/benchmark creation, and training/calibration of humans or experts.",medium,Conduct pre-deployment fairness audits and adjust credit scoring algorithms to reduce discrimination | Perform mandatory bias audit using demographic datasets on generalizable vision models prior to deployment | Perform protected-attribute fairness audits before deploying decision systems | Apply fairness auditing and diverse training data in AI healthcare diagnostic models | Conduct calibration and debiasing workshops for AI experts prior to elicitation exercises
intervention,14,Beginner-Friendly AGI Safety Q&A and FAQ Infrastructure,split_candidate,"The name matches the recurring beginner-friendly Q&A / FAQ infrastructure theme across most nodes, but a minority of nodes shift toward broader platform/navigation or wiki-content workflows rather than Q&A spaces specifically.",medium,Publish monthly beginner-friendly AGI safety FAQ threads on community forums | Host monthly beginner-friendly AGI safety Q&A posts | Publish monthly beginner-focused AGI safety FAQ posts on LessWrong | Organize monthly beginner-friendly AGI safety question threads on LessWrong | Publish recurring beginner-friendly FAQ threads on AGI safety forums
intervention,16,"Ensemble methods for uncertainty estimation, calibration, and robustness",split_candidate,,high,train and deploy deep ensembles to improve uncertainty robustness | Train ensembles with varied random seeds to quantify underspecification before deployment | Perform multi-scale test-time evaluation by averaging predictions across scales | Deploy ensemble prediction averaging in production to mitigate overconfidence under dataset shift | Deploy inference-time neural network ensemble plurality voting to mitigate label-noise errors
intervention,17,"Deployment-time operational safeguards, coordination, and control modules",split_candidate,,medium,deploy self-triggered robustness-surrogate communication protocol during MARL execution | Deploy cooperative delegate agents in collective-risk platforms | Deploy retrieval-augmented generation pipelines at inference time to mitigate hallucinations | integrate imaginary play execution module into deployed agents to handle communication outages | Deploy selective advising policies in operational AI decision support systems
intervention,18,"Critique-Guided, Expert, and Human-in-the-Loop Fine-Tuning",split_candidate,,medium,Fine-tune models jointly for task and critique generation to assist human evaluation | Fine-tune language models with language feedback signals to align with human preferences | Fine-tune language models using language feedback instead of scalar rewards | Fine-tune models via iterated distillation and amplification to maintain alignment | Deploy model-assisted human-in-the-loop feedback workflow in fine-tuning of language models
intervention,29,Experimental infrastructure for neural modeling validation,low_confidence_medium,,medium,Conduct large-scale isotropic fractionator studies across mammalian brains to refine cognitive scaling databases | Conduct DishBrain-style closed-loop neural culture experiments to test FEP-based alignment models | Conduct factored cognition experiments to benchmark HCH competitiveness | Complete and validate C. elegans whole brain emulation as proof-of-concept | Construct dedicated synchrotron beamlines optimized for expanded brain tomography
intervention,33,Deployment-time prompting and instruction steering,split_candidate,,high,Deploy HHH prompt during model interactions to reduce harmful or dishonest outputs | Deploy persona-based prompted interfaces for language models in production systems | Deploy standardized robust prompts for CLIP-like models | Deploy system prompts enforcing factuality and helpfulness during deployment | Deploy language models with helpful-honest-harmless persona prompting
intervention,36,Image data augmentation for robustness and dataset balancing,split_candidate,,medium,Apply AugMix-style data augmentation during model pre-training | Apply extensive random data augmentation during supervised training | Augment and rebalance image training datasets during pre-training to reduce misclassification bias | apply AugMix augmentation and JS divergence consistency during image classifier training | Apply PixMix data augmentation during pre-training of vision models
chain,0,Reward misspecification and specification gaming,split_candidate,,high,Reward misspecification in AI training | Objective misalignment in advanced reinforcement learning agents | Reward misspecification leading to misaligned behavior in complex RL tasks | reward hacking leading to unintended behavior in autonomous agents | Unintended behaviors from mispecified reward functions in new environments
chain,6,Adversarial Robustness Failures and Misalignment Risks in Advanced AI,split_candidate,"The name fits the shared pattern of adversarially revealed failures and misalignment-related harms, though the cluster mixes at least two themes: classic adversarial robustness failures in perception/surveillance models and broader misalignment/objective-divergence risks in advanced AI.",medium,adversarial vulnerabilities in AI allow malicious optimizers to cause failures | Adversarial perturbation vulnerability in AI models | Adversarial training exposing rare misalignment failures | Catastrophic AI behavior from misaligned advanced models | Misaligned utility optimization leading to harmful high-quality decisions in advanced AI
chain,14,"AI misalignment risks from objective drift, deceptive behavior, and harmful deployment",split_candidate,,high,Empirical observations of current AI misalignment behaviors | Objective misalignment in advanced AI systems | Misaligned agency in advanced AI systems | Misalignment of AI systems with human values | Misaligned objectives in powerful AI systems
chain,15,"Generalization via Targeted Supervision, Simulation, and Reduced Bias",split_candidate,,medium,Hidden-task evaluation improves agent robustness and measures generality | Opaque algorithm scaling across core capabilities in reinforcement learning research | Preferences over demonstrations enable efficient Bayesian reward inference without MDP solving | Observation space simplification and useful visual cues enhance learning efficiency | Reduced inductive biases improve scalability
chain,16,"Catastrophic AI misalignment, technical safety, and governance risk",split_candidate,,high,Catastrophic misalignment of advanced AI systems | Unaligned advanced AI systems causing existential risk | Catastrophic misalignment of advanced AI systems | Catastrophic AI misalignment in advanced AI systems | Catastrophic misalignment of advanced AI systems
chain,17,AI misalignment and deployment robustness risks,split_candidate,,high,Hazardous outcomes from AI decision-making in real-world deployment | Objective misalignment in advanced AI systems | Misalignment of AI systems with human values | Value misalignment in advanced AI systems | Catastrophic AI system failures in real-world deployment
