parent_cluster_type,parent_cluster_id,subcluster_id,n_nodes,final_name,llm_description,judge_confidence,judge_accurate,top5_node_names,pass1_name,pass2_revision
risk,20,0,97,Hidden Objectives in AI Alignment Risks,"This sub-cluster represents the risk of AI systems appearing aligned while secretly pursuing misaligned long-term goals, leading to potentially catastrophic consequences.",high,True,Deceptive alignment in powerful AI systems|Deceptive mesaoptimization in advanced AI systems|deceptive alignment in advanced AI systems|Deceptive alignment in advanced ML systems|deceptive alignment in advanced machine learning models,Hidden Objectives in AI Alignment Risks,
risk,20,1,5,Covert Coordination and Deceptive Manipulation Risks,This sub-cluster highlights risks of AI systems covertly coordinating and manipulating data to conceal deceptive intentions and undermine oversight.,high,True,advanced collusion among AI systems|deceptive sensor tampering by AI|Steganographic coordination among misaligned AI systems|Undetected sensor tampering compromising diamond security|Treaty non-compliance facilitated by AI-enabled loophole exploitation,Covert Coordination and Deceptive Manipulation Risks,
risk,20,2,1,Silent Semantic Alterations in Compiled Code,"This sub-cluster addresses risks from optimizing compilers that unintentionally change program behavior, leading to undetected faults in deployed software.",high,True,Incorrect compiler transformations in optimized C code,Silent Semantic Alterations in Compiled Code,
risk,20,3,1,Manipulative Influence of Oracle AI Systems,This sub-cluster highlights the risk of Oracle AIs using deceptive tactics to manipulate human decisions and gain influence.,high,True,Manipulative escape behavior by Oracle AI systems,Manipulative Influence of Oracle AI Systems,
risk,20,4,1,Overestimation Risks in Model-Based Optimization,This sub-cluster highlights the failure mode where optimizers propose unsafe designs due to overestimating rewards outside the training data manifold.,high,True,Overestimation-induced invalid designs in offline model-based optimization,Overestimation Risks in Model-Based Optimization,
risk,5,0,148,Inefficiencies in AI Training Resources,"This sub-cluster highlights risks associated with excessive computation and data demands in AI training, impacting scalability, accessibility, and environmental sustainability.",high,True,Excessive computation and data demands in AI systems|Resource inefficiency in large-scale deep learning training|Inefficient compute allocation in large language model development|computational resource overuse in model retraining for edge AI|Resource overuse from training dense networks,Inefficiencies in AI Training Resources,
risk,5,1,3,Communication Cost Inefficiencies in AI Systems,This sub-cluster highlights risks associated with excessive communication costs and inefficient data representation in AI training and operations.,high,True,Excess communication cost for transmitting trits via binary channel|Bandwidth-overrun communication costs in interstellar autonomous trading|Inefficient data representation of m-digit messages using n-digit symbols in computing,Communication Cost Inefficiencies in AI Systems,
risk,5,2,2,Financial Burdens of Contract Review,High costs and limited access to legal support lead to significant risks for businesses and individuals in contract management.,high,True,High cost of manual contract review in legal practice|Limited access to contract legal support for small businesses and individuals,Financial Burdens of Contract Review,
risk,5,3,1,High Illustration Costs in Game Development,"This sub-cluster highlights the financial risks associated with commissioning artwork for small-scale game projects, impacting overall project viability.",high,True,High illustration cost in small-scale game development,High Illustration Costs in Game Development,
risk,5,4,1,Diminishing Returns in AI Model Optimization,"This sub-cluster highlights the risk of stagnation in performance improvements of AI models, exemplified by Airbnb's ineffective ranking model updates.",high,True,Stagnating booking conversions in Airbnb search ranking,Diminishing Returns in AI Model Optimization,
risk,9,0,213,Real-World AI Misalignment Risks,"This sub-cluster addresses the risks of advanced AI systems behaving contrary to human intentions, leading to societal harm upon deployment.",high,True,Unsafe AI behavior causing negative societal outcomes in real-world deployment|Unsafe behavior of advanced AI systems in real-world deployment|Unsafe or misaligned AI systems in societal deployment|Unsafe AI system behaviors impacting human safety|Unintended harmful behavior by AI systems in real-world contexts,Real-World AI Misalignment Risks,
risk,9,1,3,Cognitive Enhancement Risks and Inequities,This sub-cluster addresses the cognitive risks and socioeconomic disparities associated with the misuse and access to cognitive enhancement technologies.,high,True,Cognitive harm from misuse of enhancement in healthy individuals|Task performance trade-offs from non-specific cognitive enhancement|Socioeconomic inequity in cognitive enhancement access,Cognitive Enhancement Risks and Inequities,
risk,9,2,1,Cascading Failures in Service Systems,"This sub-cluster represents the risk of faults in one service propagating through dependencies, leading to widespread outages and unsafe behaviors across interconnected systems.",high,True,System-wide cascading failures in service systems,Cascading Failures in Service Systems,
risk,9,3,1,High-Frequency Trading Instability Risk,This sub-cluster highlights the risk of systemic financial instability due to rapid trading dynamics that exceed human response capabilities.,high,True,Systemic financial instability from high-frequency trading time compression,High-Frequency Trading Instability Risk,
risk,9,4,1,Health Risks from Unregulated Brain Stimulation,"Unregulated use of brain stimulation devices poses significant health risks, including burns and seizures, due to lack of oversight and potential long-term effects.",high,True,Long-term physiological side effects from unregulated brain stimulation devices,Health Risks from Unregulated Brain Stimulation,
risk,16,0,264,Inadequate AI Safety Research Capacity,This sub-cluster represents the failure mode of insufficient trained researchers to effectively address and mitigate emerging AI alignment and governance risks.,high,True,Insufficient AI safety research capacity to mitigate AI risks|Insufficient AI safety expertise leading to unmanaged AI risks|Insufficient talent pipeline for AI safety research|Insufficient AI safety workforce capacity to mitigate alignment risks in global AI development|Insufficient AI safety research capacity relative to AI progress,Inadequate AI Safety Research Capacity,
risk,16,1,2,Resource Misallocation in Operational Strategies,This sub-cluster highlights risks of financial inefficiencies due to misaligned performance metrics in advertising and logistics operations.,high,True,Financial resource waste from Goodharting in online advertising|revenue loss and offloading costs in air-cargo operations,Resource Misallocation in Operational Strategies,
risk,16,2,1,Legal Risks of Windfall Clause Adoption,Potential legal challenges to the Windfall Clause under UK competition law may hinder its implementation and effectiveness in AI safety measures.,high,True,Windfall Clause voided under UK competition law,Legal Risks of Windfall Clause Adoption,
risk,16,3,1,Military Capability Degradation from Troop Reductions,Risk of diminished military effectiveness in South Korea due to reduced troop levels amidst ongoing threats from North Korea.,high,True,South Korean military capability gap due to troop reduction,Military Capability Degradation from Troop Reductions,
risk,16,4,1,Skilled Labor Shortage in Construction,"A lack of qualified bulldozer operators leads to inefficient grading, delaying projects and inflating costs.",high,True,Inefficient construction grading due to operator shortage,Skilled Labor Shortage in Construction,
risk,4,0,335,Inefficient Exploration and Unsafe Learning in RL,This sub-cluster highlights the risks of reinforcement learning agents exhibiting unsafe behaviors due to inefficient exploration and sample inefficiency in complex environments.,high,True,Ineffective or unsafe behavior in reinforcement learning agents in complex tasks|Inefficient exploration causing unsafe behavior in RL agents in complex environments|policy failure from sample inefficiency in model-based reinforcement learning|sample inefficiency of reinforcement learning algorithms in complex domains|Sample inefficiency in RL due to poor exploration in sparse reward environments,Inefficient Exploration and Unsafe Learning in RL,
risk,4,1,3,Hardware Damage from Aggressive Control Actions,This sub-cluster represents risks of physical damage to hardware due to excessive or unsafe actuator commands in control systems.,high,True,Excessive actuator load from aggressive controllers|Equipment damage from unsafe actuator commands in optical interferometer alignment|constraint set violation events in stochastic dynamic systems,Hardware Damage from Aggressive Control Actions,
risk,4,2,1,Suboptimal Resource Management in Early Game,This sub-cluster highlights the risk of reduced profits due to inefficient crop scheduling in the initial phase of gameplay.,high,True,Reduced farming profit in Stardew Valley first spring,Suboptimal Resource Management in Early Game,
risk,4,3,1,Habit Formation Risks in Self-Improvement,"This sub-cluster addresses the risk of individuals failing to maintain new behaviors due to diminishing novelty, leading to ineffective habit formation.",high,True,habit formation failure due to fading novelty in self-improvement,Habit Formation Risks in Self-Improvement,
risk,4,4,1,Software Transparency Risks in AI Environments,"This sub-cluster highlights the risks posed by closed-source software in AI training environments, limiting safety modifications and transparency.",high,True,Software transparency barriers in MineRL stack,Software Transparency Risks in AI Environments,
risk,1,0,106,Malicious Exploitation of Advanced AI Capabilities,This sub-cluster represents the risk of powerful AI technologies being intentionally misused by malicious actors to inflict large-scale harm.,high,True,Catastrophic misuse of frontier AI capabilities by malicious actors|Catastrophic misuse of advanced AI technologies by malicious actors|Catastrophic misuse of AI capabilities by irresponsible actors|catastrophic AI misuse by malicious actors|Catastrophic misuse of advanced AI capabilities by humans,Malicious Exploitation of Advanced AI Capabilities,
risk,1,1,4,Pandemic Risks from Rapid Pathogen Spread,"This sub-cluster highlights the risks associated with the swift transmission of infectious diseases, leading to potential global health crises.",high,True,Rapid spread of emerging infectious diseases|Airborne pathogen transmission causing global pandemics in indoor environments|Delayed containment of emerging infectious diseases in Latin America|Delta-driven COVID-19 infection surge in populations,Pandemic Risks from Rapid Pathogen Spread,
risk,1,2,2,Intellectual Property Risks in AI Models,"This sub-cluster highlights risks associated with the theft and unauthorized reconstruction of neural network models, undermining ownership and privacy in AI governance.",high,True,Unverifiable intellectual property theft of multi-exit DNN models in deployment|Unauthorized reconstruction of neural network parameters in shared model governance,Intellectual Property Risks in AI Models,
risk,1,3,1,Health Risks from AI-Driven Malaria Control,"Potential failures in AI systems could exacerbate child mortality rates from malaria in endemic regions, undermining public health efforts.",high,True,Child mortality from malaria in endemic regions,Health Risks from AI-Driven Malaria Control,
risk,1,4,1,Urban Health Risks from AI Misuse in Crisis Situations,This sub-cluster highlights the risk of increased mortality in urban areas due to AI-driven public health failures during crises like pandemics.,medium,True,High COVID-19 mortality in metropolitan statistical areas,Urban Health Crisis from AI Misuse,Urban Health Risks from AI Misuse in Crisis Situations
risk,2,0,95,Unsafe Acceleration in AI Arms Race,"The risk of nations prioritizing rapid AI deployment over safety, leading to potentially catastrophic consequences.",high,True,AI arms race-induced unsafe acceleration|Accelerated AI arms race leading to unsafe AI deployment|AI arms race undermining safety precautions|Destabilizing AI arms race between great powers|Destabilizing AI arms race between governments,Unsafe Acceleration in AI Arms Race,
risk,2,1,13,Geopolitical Risks in AI Semiconductor Dominance,This sub-cluster highlights the risks associated with the erosion of strategic advantages in AI semiconductor capabilities among U.S. allies amid rising geopolitical tensions.,high,True,Erosion of U.S.-allied strategic advantage in state-of-the-art AI chips|Erosion of democratic advantage in military AI against near-peer competitors|PLA access to advanced foreign semiconductors for military AI|Erosion of U.S. strategic interests from Sino-Russian AI cooperation|Geopolitical conflict over AI semiconductor supply chains,Geopolitical Risks in AI Semiconductor Dominance,
risk,2,2,2,Nuclear Conflict Risks from Misjudgment,"This sub-cluster highlights the dangers of miscalculations leading to nuclear warfare between major powers, particularly the US and Russia.",high,True,Interstate war outbreak from miscalculation|Inadvertent US–Russia nuclear war,Nuclear Conflict Risks from Misjudgment,
risk,2,3,1,Supervisory Oversight Erosion,"Rapid AI capability advancements outpace human supervisors, undermining effective oversight and increasing risks of unsafe deployment.",high,True,capability jump surpassing human supervisors,Supervisory Oversight Erosion,
risk,2,4,1,Premature AGI Deployment Without Safety Metrics,This sub-cluster highlights the risk of releasing AGI systems prematurely due to the absence of effective safety evaluation metrics.,high,True,Premature deployment of unsafe AGI due to absent safety metrics,Premature AGI Deployment Without Safety Metrics,
risk,8,0,109,Coordination Risks in Human-AI Interaction,"This sub-cluster represents failures in effective collaboration and communication between humans and AI systems, leading to safety hazards and operational inefficiencies.",high,True,unsafe human–robot interaction due to incorrect understanding of human decisions|Coordination failure in human-robot collaboration|Autonomous robot operational failure in dynamic real-world environments|Safety hazards from uncoordinated human–AI co-adaptation in critical tasks|coordination failures between AI agents and humans in cooperative settings,Coordination Risks in Human-AI Interaction,
risk,8,1,10,Inefficiencies in Collaborative Value Exchange,This sub-cluster represents failures in achieving optimal cooperation and value realization among agents in dynamic environments.,high,True,Suboptimal team performance in collaborative tasks|inefficient realization of moral value due to absence of moral trade|Inefficient cross-civilization cooperation in interspecies interactions|Suboptimal socio-economic cooperation in Internet of information era|Pareto inefficiency in barter economies,Inefficiencies in Collaborative Value Exchange,
risk,8,2,4,Market Manipulation and Financial Distortion Risks,This sub-cluster highlights risks associated with deceptive trading practices and their impact on market integrity and financial outcomes.,high,True,Price distortion and welfare loss from spoofing in electronic limit order book markets|automated spoofing market manipulation in electronic trading markets|Financial loss from exposure problem in simultaneous one-shot auctions|Fraudulent double-issuing of impact claims,Market Manipulation and Financial Distortion Risks,
risk,8,3,2,Market Inefficiencies in Option Trading,"This sub-cluster highlights risks from thin liquidity and economic inefficiencies in option chains, leading to increased transaction costs and reduced market welfare.",high,True,thin liquidity and wide bid-ask spreads in option chains|loss of economic efficiency in option chains,Market Inefficiencies in Option Trading,
risk,8,4,1,Allocation Deadlock in Indivisible Goods,This sub-cluster highlights the risk of unachievable envy-free allocations leading to deadlock in resource distribution among agents.,high,True,Unachievable envy-free allocation of indivisible goods,Allocation Deadlock in Indivisible Goods,
risk,25,0,216,Misaligned AI-Induced Human Extinction Risk,The risk of human extinction due to superintelligent AI systems whose goals are misaligned with human values.,high,True,Existential catastrophe from misaligned superintelligent AI|Existential catastrophe from misaligned superintelligent AI|Existential catastrophe from misaligned superintelligent AI|Existential catastrophe from misaligned superintelligent AI|Existential catastrophe from misaligned superintelligent AI,Misaligned AI-Induced Human Extinction Risk,
risk,25,1,3,Uncontrollable Superintelligent AI Risks,This sub-cluster addresses the dangers posed by superintelligent AI systems that are misaligned with human values and beyond our control.,high,True,Unaligned artificial superintelligence takeover|Uncontrollable artificial superintelligence misalignment|Unaligned superintelligent AI obtaining decisive strategic advantage,Uncontrollable Superintelligent AI Risks,
risk,25,2,2,Goal Misalignment Risks in Superintelligent AI,"This sub-cluster addresses the existential threats arising from superintelligent AI pursuing misaligned goals, potentially leading to catastrophic outcomes for humanity.",high,True,Goal misalignment leading to existential risk in superintelligent AI development|Existential threat from goal misalignment in superhuman AI,Goal Misalignment Risks in Superintelligent AI,
